Time [ms],Corrected Value
"20.0","5.7649"
"40.0","5.6885"
"60.0","5.6573"
"80.0","5.6838"
"100.0","5.9157"
"120.0","5.7125"
"140.0","5.7602"
"160.0","5.7739"
"180.0","5.6536"
"200.0","5.7574"
"220.0","5.8790"
"240.0","5.8777"
"260.0","5.6733"
"280.0","5.6847"
"300.0","5.7936"
"320.0","5.8666"
"340.0","5.7921"
"360.0","5.7580"
"380.0","5.9657"
"400.0","5.8064"
"420.0","5.6904"
"440.0","5.8162"
"460.0","5.8254"
"480.0","5.8777"
"500.0","5.7400"
"520.0","5.7604"
"540.0","5.8050"
"560.0","5.9234"
"580.0","5.7483"
"600.0","5.8415"
"620.0","5.8545"
"640.0","5.7380"
"660.0","5.7385"
"680.0","5.7392"
"700.0","5.7188"
"720.0","5.8030"
"740.0","5.6309"
"760.0","5.8367"
"780.0","5.7763"
"800.0","5.7841"
"820.0","5.6424"
"840.0","5.5471"
"860.0","5.6028"
"880.0","5.1626"
"900.0","5.4163"
"920.0","5.4050"
"940.0","5.2988"
"960.0","5.2192"
"980.0","5.2860"
"1000.0","5.2962"
"1020.0","5.3873"
"1040.0","5.2836"
"1060.0","5.1797"
"1080.0","5.4123"
"1100.0","5.3062"
"1120.0","5.3406"
"1140.0","5.4632"
"1160.0","5.6629"
"1180.0","5.8484"
"1200.0","5.7486"
"1220.0","6.2428"
"1240.0","6.6077"
"1260.0","6.4194"
"1280.0","6.3267"
"1300.0","6.2074"
"1320.0","6.2135"
"1340.0","6.3060"
"1360.0","6.3216"
"1380.0","6.1179"
"1400.0","5.8393"
"1420.0","5.7681"
"1440.0","5.7328"
"1460.0","5.6085"
"1480.0","5.8264"
"1500.0","5.6621"
"1520.0","5.8759"
"1540.0","5.6861"
"1560.0","5.6830"
"1580.0","5.6139"
"1600.0","5.7843"
"1620.0","5.7964"
"1640.0","5.7751"
"1660.0","5.6195"
"1680.0","5.6722"
"1700.0","5.6403"
"1720.0","5.5724"
"1740.0","5.7770"
"1760.0","5.7025"
"1780.0","5.7526"
"1800.0","5.6808"
"1820.0","5.6878"
"1840.0","5.8689"
"1860.0","5.8744"
"1880.0","5.7243"
"1900.0","5.7178"
"1920.0","5.8372"
"1940.0","5.7599"
"1960.0","5.4991"
"1980.0","5.7233"
"2000.0","5.8399"
