Time [ms],Timestamp,Raw Value,Corrected Value,Temperature Value,LD20 Flow,LD20 Temperature,LD20 Status,Heater Voltage,Thermistor Voltage,Heater Current,Thermistor Current,Series R Voltage
"10.0","11:55:43.720","2227106.0000","3.0114","60924.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"20.0","11:55:43.730","2234899.0000","4.0612","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"30.0","11:55:43.740","2227822.0000","3.1079","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"40.0","11:55:43.750","2226389.0000","2.9148","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"50.0","11:55:43.760","2237874.0000","4.4619","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"60.0","11:55:43.770","2229590.0000","3.3460","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"70.0","11:55:43.780","2236041.0000","4.2150","60937.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"80.0","11:55:43.790","2228292.0000","3.1712","60939.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"90.0","11:55:43.800","2225634.0000","2.8131","60939.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"100.0","11:55:43.810","2234808.0000","4.0489","60939.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"110.0","11:55:43.820","2240727.0000","4.8462","60934.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"120.0","11:55:43.830","2239522.0000","4.6839","60934.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"130.0","11:55:43.840","2242688.0000","5.1104","60934.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"140.0","11:55:43.850","2259487.0000","7.3898","60934.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"150.0","11:55:43.860","2250558.0000","6.1705","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"160.0","11:55:43.870","2258957.0000","7.3144","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"170.0","11:55:43.880","2251528.0000","6.3011","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"180.0","11:55:43.890","2245676.0000","5.5129","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"190.0","11:55:43.900","2252862.0000","6.4808","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"200.0","11:55:43.910","2237434.0000","4.4026","60931.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
