Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","3.5353","3.5353","3.5353"
"40.0","2.6510","2.6510","3.3745"
"60.0","3.1325","3.1325","3.3305"
"80.0","3.3020","3.3020","3.3253"
"100.0","3.8836","3.8836","3.4268"
"120.0","3.2924","3.2924","3.4024"
"140.0","2.5342","2.5342","3.2445"
"160.0","1.7227","1.7227","2.9678"
"180.0","1.6671","1.6671","2.7313"
"200.0","2.4643","2.8185","2.6828"
"220.0","2.3243","2.6974","2.6176"
"240.0","1.4187","2.5742","2.3996"
"260.0","1.3538","2.3963","2.2095"
"280.0","1.5319","2.2193","2.0863"
"300.0","2.1924","2.0502","2.1056"
"320.0","1.9271","1.9136","2.0731"
"340.0","1.0889","1.7691","1.8942"
"360.0","0.8818","1.6850","1.7101"
"380.0","0.4574","1.5641","1.4823"
"400.0","0.3157","1.3492","1.2702"
"420.0","0.3550","1.1523","1.1038"
"440.0","0.8410","1.0945","1.0560"
"460.0","1.2021","1.0793","1.0826"
"480.0","0.8924","1.0154","1.0480"
"500.0","0.2372","0.8199","0.9006"
"520.0","0.1425","0.6414","0.7627"
"540.0","0.3772","0.5702","0.6926"
"560.0","1.3174","0.6138","0.8062"
"580.0","0.6624","0.6343","0.7801"
"600.0","0.1781","0.6205","0.6706"
"620.0","1.8693","0.7719","0.8886"
"640.0","2.8954","0.9774","1.2534"
"660.0","2.9787","1.1550","1.5671"
"680.0","1.7713","1.2429","1.6043"
"700.0","0.4431","1.2635","1.3931"
"720.0","0.8952","1.3388","1.3026"
"740.0","1.9431","1.4954","1.4191"
"760.0","2.8191","1.6456","1.6736"
"780.0","2.2983","1.8092","1.7872"
"800.0","1.5553","1.9469","1.7450"
"820.0","1.5758","1.9175","1.7142"
"840.0","2.2144","1.8494","1.8052"
"860.0","3.1756","1.8691","2.0544"
"880.0","3.4244","2.0344","2.3035"
"900.0","2.7100","2.2611","2.3774"
"920.0","2.6831","2.4399","2.4330"
"940.0","3.8417","2.6298","2.6891"
"960.0","4.4833","2.7962","3.0153"
"980.0","4.3900","3.0054","3.2653"
"1000.0","4.1933","3.2692","3.4340"
"1020.0","4.1401","3.5256","3.5624"
"1040.0","4.8599","3.7902","3.7983"
"1060.0","5.8324","4.0558","4.1681"
"1080.0","6.0963","4.3230","4.5187"
"1100.0","5.2424","4.5763","4.6503"
"1120.0","5.0869","4.8166","4.7297"
"1140.0","5.7727","5.0097","4.9193"
"1160.0","6.0494","5.1663","5.1248"
"1180.0","5.9129","5.3186","5.2681"
"1200.0","5.3038","5.4297","5.2746"
"1220.0","5.1270","5.5284","5.2477"
"1240.0","6.1212","5.6545","5.4065"
"1260.0","5.9194","5.6632","5.4998"
"1280.0","5.1253","5.5661","5.4317"
"1300.0","5.0577","5.5476","5.3637"
"1320.0","5.4184","5.5808","5.3736"
"1340.0","5.9189","5.5954","5.4728"
"1360.0","5.8988","5.5803","5.5502"
"1380.0","4.9486","5.4839","5.4408"
"1400.0","4.7324","5.4268","5.3120"
"1420.0","5.0903","5.4231","5.2717"
"1440.0","5.4885","5.3598","5.3111"
"1460.0","5.0980","5.2777","5.2724"
"1480.0","4.3752","5.2027","5.1092"
"1500.0","4.3369","5.1306","4.9688"
"1520.0","4.5384","5.0426","4.8906"
"1540.0","5.2094","4.9716","4.9485"
"1560.0","4.9778","4.8795","4.9539"
"1580.0","3.9236","4.7771","4.7665"
"1600.0","3.5781","4.6616","4.5505"
