Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","5.0670","5.0670","5.0670"
"40.0","4.5978","4.5978","4.9817"
"60.0","5.3700","5.3700","5.0523"
"80.0","6.0684","6.0684","5.2370"
"100.0","5.7963","5.7963","5.3387"
"120.0","4.7735","4.7735","5.2359"
"140.0","4.5501","4.5501","5.1113"
"160.0","4.5915","4.5915","5.0168"
"180.0","3.7558","3.7558","4.7875"
"200.0","3.3664","4.7937","4.5291"
"220.0","3.4578","4.6328","4.3343"
"240.0","4.0829","4.5813","4.2886"
"260.0","3.7719","4.4215","4.1947"
"280.0","3.0486","4.1195","3.9863"
"300.0","2.5720","3.7971","3.7291"
"320.0","2.8577","3.6055","3.5707"
"340.0","3.7632","3.5268","3.6057"
"360.0","3.5796","3.4256","3.6010"
"380.0","2.7381","3.3238","3.4441"
"400.0","2.3529","3.2225","3.2457"
"420.0","2.8350","3.1602","3.1710"
"440.0","3.7868","3.1306","3.2830"
"460.0","3.5592","3.1093","3.3332"
"480.0","2.8196","3.0864","3.2398"
"500.0","2.7055","3.0998","3.1427"
"520.0","3.0171","3.1157","3.1198"
"540.0","4.0007","3.1394","3.2800"
"560.0","3.8888","3.1704","3.3907"
"580.0","2.9147","3.1880","3.3041"
"600.0","2.8396","3.2367","3.2197"
"620.0","3.2353","3.2767","3.2225"
"640.0","3.9931","3.2974","3.3626"
"660.0","3.7299","3.3144","3.4294"
"680.0","3.0583","3.3383","3.3619"
"700.0","2.1514","3.2829","3.1418"
"720.0","2.0526","3.1864","2.9438"
"740.0","2.6257","3.0489","2.8859"
"760.0","2.2254","2.8826","2.7659"
"780.0","1.9172","2.7828","2.6116"
"800.0","1.3153","2.6304","2.3759"
"820.0","1.5805","2.4649","2.2313"
"840.0","2.3040","2.2960","2.2445"
"860.0","2.0219","2.1252","2.2040"
"880.0","1.4191","1.9613","2.0613"
"900.0","0.8905","1.8352","1.8484"
"920.0","1.2355","1.7535","1.7370"
"940.0","1.9239","1.6833","1.7710"
"960.0","1.7758","1.6384","1.7719"
"980.0","1.1463","1.5613","1.6581"
"1000.0","0.8634","1.5161","1.5136"
"1020.0","1.8012","1.5382","1.5659"
"1040.0","1.6340","1.4712","1.5783"
"1060.0","0.7894","1.3479","1.4349"
"1080.0","0.4665","1.2527","1.2588"
"1100.0","0.7557","1.2392","1.1673"
"1120.0","1.3485","1.2505","1.2003"
"1140.0","1.3457","1.1927","1.2267"
"1160.0","0.3189","1.0470","1.0617"
"1180.0","0.1472","0.9471","0.8954"
"1200.0","0.4704","0.9078","0.8181"
"1220.0","1.1299","0.8406","0.8748"
"1240.0","0.8707","0.7643","0.8741"
"1260.0","0.5849","0.7438","0.8215"
"1280.0","0.9082","0.7880","0.8373"
"1300.0","2.6414","0.9766","1.1653"
"1320.0","3.5563","1.1974","1.6000"
"1340.0","2.3702","1.2998","1.7400"
"1360.0","1.0432","1.3722","1.6133"
"1380.0","0.6498","1.4225","1.4381"
"1400.0","1.5420","1.5297","1.4570"
"1420.0","2.6879","1.6855","1.6808"
"1440.0","2.4753","1.8459","1.8253"
"1460.0","1.8876","1.9762","1.8366"
"1480.0","1.6779","2.0531","1.8077"
"1500.0","2.2847","2.0175","1.8945"
"1520.0","3.2836","1.9902","2.1470"
"1540.0","3.4723","2.1004","2.3880"
"1560.0","3.0626","2.3024","2.5106"
"1580.0","2.7717","2.5145","2.5581"
"1600.0","3.3107","2.6914","2.6949"
"1620.0","4.4635","2.8690","3.0165"
"1640.0","4.5976","3.0812","3.3040"
"1660.0","4.0238","3.2948","3.4349"
"1680.0","3.9398","3.5210","3.5267"
"1700.0","4.8412","3.7767","3.7657"
