Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"1.0","0.4216","0.4216","0.4216","0.0000"
"2.0","0.0194","0.0194","0.2205","0.0000"
"3.0","-0.3372","-0.3372","-0.0583","0.0000"
"4.0","-0.4908","-0.4908","-0.2746","0.0000"
"5.0","-0.3501","-0.3501","-0.3124","0.0000"
"6.0","-0.3093","-0.3093","-0.3108","0.0000"
"7.0","-0.3434","-0.3434","-0.3271","0.0000"
"8.0","-0.2785","-0.2785","-0.3028","0.0000"
"9.0","-0.1521","-0.1521","-0.2275","0.0000"
"10.0","-0.1593","-0.1980","-0.1934","0.0000"
"11.0","-0.0877","-0.2489","-0.1405","0.0000"
"12.0","-0.0622","-0.2571","-0.1014","0.0000"
"13.0","0.1406","-0.2093","0.0196","0.0000"
"14.0","0.6203","-0.0982","0.3199","0.0000"
"15.0","0.7665","0.0135","0.5432","0.0000"
"16.0","0.7347","0.1179","0.6389","0.0000"
"17.0","0.5605","0.2083","0.5997","0.0000"
"18.0","0.1765","0.2538","0.3881","0.0000"
"19.0","-0.2927","0.2397","0.0477","0.0000"
"20.0","-0.4290","0.2127","-0.1907","0.0000"
"21.0","-0.4796","0.1735","-0.3351","0.0000"
"22.0","-0.3504","0.1447","-0.3428","0.0000"
"23.0","-0.3245","0.0982","-0.3336","0.0000"
"24.0","-0.3211","0.0041","-0.3274","0.0000"
"25.0","-0.3030","-0.1029","-0.3152","0.0000"
"26.0","-0.2436","-0.2007","-0.2794","0.0000"
"27.0","-0.2034","-0.2771","-0.2414","0.0000"
"28.0","-0.1755","-0.3123","-0.2084","0.0000"
"29.0","0.1244","-0.2706","-0.0420","0.0000"
"30.0","0.5771","-0.1699","0.2676","0.0000"
"31.0","0.7692","-0.0451","0.5184","0.0000"
"32.0","0.7668","0.0666","0.6426","0.0000"
"33.0","0.6840","0.1675","0.6633","0.0000"
"34.0","0.3046","0.2301","0.4839","0.0000"
"35.0","0.3046","0.2908","0.3943","0.0000"
"36.0","-0.1285","0.3023","0.1329","0.0000"
"37.0","-0.3842","0.2842","-0.1257","0.0000"
"38.0","-0.3987","0.2619","-0.2622","0.0000"
"39.0","-0.3635","0.2131","-0.3129","0.0000"
"40.0","-0.2674","0.1287","-0.2901","0.0000"
"41.0","-0.3596","0.0158","-0.3248","0.0000"
"42.0","-0.2531","-0.0862","-0.2890","0.0000"
"43.0","-0.2521","-0.1798","-0.2705","0.0000"
"44.0","-0.1592","-0.2262","-0.2149","0.0000"
"45.0","-0.1768","-0.2743","-0.1958","0.0000"
"46.0","-0.0667","-0.2681","-0.1312","0.0000"
"47.0","0.3399","-0.1957","0.1043","0.0000"
"48.0","0.5681","-0.0990","0.3362","0.0000"
"49.0","0.6915","0.0065","0.5138","0.0000"
"50.0","0.7100","0.1042","0.6119","0.0000"
"51.0","0.3349","0.1737","0.4734","0.0000"
"52.0","0.0170","0.2007","0.2452","0.0000"
"53.0","-0.3196","0.1939","-0.0372","0.0000"
"54.0","-0.4728","0.1626","-0.2550","0.0000"
"55.0","-0.3587","0.1444","-0.3069","0.0000"
"56.0","-0.3461","0.1164","-0.3265","0.0000"
"57.0","-0.3937","0.0431","-0.3601","0.0000"
"58.0","-0.3380","-0.0476","-0.3490","0.0000"
"59.0","-0.3165","-0.1483","-0.3328","0.0000"
"60.0","-0.3018","-0.2495","-0.3173","0.0000"
"61.0","-0.2566","-0.3087","-0.2870","0.0000"
"62.0","-0.1966","-0.3301","-0.2418","0.0000"
"63.0","0.1211","-0.2860","-0.0603","0.0000"
"64.0","0.5579","-0.1829","0.2488","0.0000"
"65.0","0.6409","-0.0830","0.4448","0.0000"
"66.0","0.6053","0.0122","0.5251","0.0000"
"67.0","0.4477","0.0963","0.4864","0.0000"
"68.0","0.0397","0.1341","0.2630","0.0000"
"69.0","-0.4418","0.1216","-0.0894","0.0000"
"70.0","-0.5912","0.0926","-0.3403","0.0000"
"71.0","-0.4496","0.0733","-0.3949","0.0000"
"72.0","-0.3351","0.0595","-0.3650","0.0000"
"73.0","-0.4471","0.0027","-0.4060","0.0000"
"74.0","-0.4206","-0.0952","-0.4133","0.0000"
"75.0","-0.2802","-0.1873","-0.3468","0.0000"
"76.0","-0.2768","-0.2755","-0.3118","0.0000"
"77.0","-0.1705","-0.3373","-0.2412","0.0000"
"78.0","-0.2861","-0.3699","-0.2636","0.0000"
"79.0","-0.0115","-0.3269","-0.1376","0.0000"
"80.0","0.4810","-0.2197","0.1717","0.0000"
"81.0","0.4810","-0.1266","0.3263","0.0000"
"82.0","0.7406","-0.0190","0.5335","0.0000"
"83.0","0.7770","0.1034","0.6552","0.0000"
"84.0","0.6839","0.2138","0.6696","0.0000"
"85.0","0.2832","0.2702","0.4764","0.0000"
"86.0","-0.1188","0.2860","0.1788","0.0000"
"87.0","-0.3147","0.2716","-0.0679","0.0000"
"88.0","-0.3581","0.2643","-0.2130","0.0000"
"89.0","-0.3193","0.2336","-0.2662","0.0000"
"90.0","-0.2875","0.1567","-0.2768","0.0000"
"91.0","-0.2576","0.0829","-0.2672","0.0000"
"92.0","-0.1310","-0.0043","-0.1991","0.0000"
"93.0","-0.0779","-0.0898","-0.1385","0.0000"
"94.0","-0.0515","-0.1633","-0.0950","0.0000"
"95.0","-0.1374","-0.2054","-0.1162","0.0000"
"96.0","0.0693","-0.1866","-0.0234","0.0000"
"97.0","0.5022","-0.1049","0.2394","0.0000"
"98.0","0.7933","0.0103","0.5163","0.0000"
"99.0","0.9532","0.1375","0.7347","0.0000"
"100.0","0.6978","0.2360","0.7163","0.0000"
"101.0","0.4255","0.3044","0.5709","0.0000"
"102.0","0.0112","0.3186","0.2910","0.0000"
"103.0","-0.3173","0.2946","-0.0131","0.0000"
"104.0","-0.3793","0.2618","-0.1962","0.0000"
"105.0","-0.2516","0.2504","-0.2239","0.0000"
"106.0","-0.3079","0.2127","-0.2659","0.0000"
"107.0","-0.3538","0.1271","-0.3099","0.0000"
"108.0","-0.3870","0.0091","-0.3484","0.0000"
"109.0","-0.1201","-0.0983","-0.2343","0.0000"
"110.0","-0.1152","-0.1796","-0.1747","0.0000"
"111.0","-0.3252","-0.2546","-0.2500","0.0000"
"112.0","-0.1581","-0.2716","-0.2040","0.0000"
"113.0","0.3068","-0.2091","0.0514","0.0000"
"114.0","0.5541","-0.1158","0.3028","0.0000"
"115.0","0.6910","-0.0215","0.4969","0.0000"
"116.0","0.5946","0.0687","0.5458","0.0000"
"117.0","0.4158","0.1457","0.4808","0.0000"
"118.0","0.0945","0.1938","0.2876","0.0000"
"119.0","-0.3521","0.1706","-0.0322","0.0000"
"120.0","-0.5175","0.1304","-0.2749","0.0000"
"121.0","-0.4367","0.1193","-0.3558","0.0000"
"122.0","-0.4159","0.0935","-0.3859","0.0000"
"123.0","-0.4327","0.0195","-0.4093","0.0000"
"124.0","-0.4268","-0.0786","-0.4180","0.0000"
"125.0","-0.2482","-0.1725","-0.3331","0.0000"
"126.0","-0.2502","-0.2570","-0.2917","0.0000"
"127.0","-0.2502","-0.3236","-0.2709","0.0000"
"128.0","-0.1634","-0.3494","-0.2172","0.0000"
"129.0","-0.1885","-0.3330","-0.2028","0.0000"
"130.0","0.0679","-0.2745","-0.0674","0.0000"
"131.0","0.5296","-0.1778","0.2311","0.0000"
"132.0","0.6619","-0.0701","0.4465","0.0000"
"133.0","0.7550","0.0487","0.6007","0.0000"
"134.0","0.5678","0.1482","0.5843","0.0000"
"135.0","0.1958","0.1926","0.3901","0.0000"
"136.0","-0.2018","0.1974","0.0941","0.0000"
"137.0","-0.4432","0.1781","-0.1745","0.0000"
"138.0","-0.3814","0.1563","-0.2780","0.0000"
"139.0","-0.2122","0.1540","-0.2451","0.0000"
"140.0","-0.2519","0.1220","-0.2485","0.0000"
"141.0","-0.2717","0.0418","-0.2601","0.0000"
"142.0","-0.2822","-0.0526","-0.2711","0.0000"
"143.0","-0.2407","-0.1521","-0.2559","0.0000"
"144.0","-0.2654","-0.2355","-0.2607","0.0000"
"145.0","-0.2464","-0.2797","-0.2535","0.0000"
"146.0","-0.0030","-0.2598","-0.1283","0.0000"
"147.0","0.3930","-0.1762","0.1324","0.0000"
"148.0","0.6908","-0.0690","0.4116","0.0000"
"149.0","0.6550","0.0178","0.5333","0.0000"
"150.0","0.4896","0.0919","0.5114","0.0000"
"151.0","0.2348","0.1426","0.3731","0.0000"
"152.0","-0.1940","0.1514","0.0896","0.0000"
"153.0","-0.4549","0.1300","-0.1827","0.0000"
"154.0","-0.4702","0.1095","-0.3264","0.0000"
"155.0","-0.3719","0.0969","-0.3492","0.0000"
"156.0","-0.3659","0.0606","-0.3575","0.0000"
"157.0","-0.4399","-0.0227","-0.3987","0.0000"
"158.0","-0.3549","-0.1272","-0.3768","0.0000"
"159.0","-0.3473","-0.2275","-0.3620","0.0000"
"160.0","-0.3081","-0.3072","-0.3351","0.0000"
"161.0","-0.2938","-0.3601","-0.3145","0.0000"
"162.0","-0.1953","-0.3602","-0.2549","0.0000"
"163.0","0.2984","-0.2849","0.0218","0.0000"
"164.0","0.5257","-0.1853","0.2737","0.0000"
"165.0","0.8710","-0.0610","0.5724","0.0000"
"166.0","0.8271","0.0583","0.6997","0.0000"
"167.0","0.5372","0.1560","0.6185","0.0000"
"168.0","0.0947","0.2010","0.3566","0.0000"
"169.0","-0.3667","0.1990","-0.0051","0.0000"
"170.0","-0.4569","0.1841","-0.2310","0.0000"
"171.0","-0.3951","0.1740","-0.3130","0.0000"
"172.0","-0.1602","0.1775","-0.2366","0.0000"
"173.0","-0.1602","0.1317","-0.1984","0.0000"
"174.0","-0.3089","0.0482","-0.2537","0.0000"
"175.0","-0.3077","-0.0697","-0.2807","0.0000"
"176.0","-0.1536","-0.1677","-0.2171","0.0000"
"177.0","-0.1269","-0.2342","-0.1720","0.0000"
"178.0","-0.2036","-0.2640","-0.1878","0.0000"
"179.0","-0.1304","-0.2403","-0.1591","0.0000"
"180.0","0.2414","-0.1705","0.0412","0.0000"
"181.0","0.5248","-0.0785","0.2830","0.0000"
"182.0","0.7476","0.0123","0.5153","0.0000"
"183.0","0.8384","0.1121","0.6769","0.0000"
"184.0","0.5272","0.1957","0.6020","0.0000"
"185.0","0.2130","0.2478","0.4075","0.0000"
"186.0","-0.2120","0.2420","0.0978","0.0000"
"187.0","-0.3319","0.2215","-0.1171","0.0000"
"188.0","-0.3285","0.2090","-0.2228","0.0000"
"189.0","-0.2895","0.1931","-0.2561","0.0000"
"190.0","-0.2148","0.1474","-0.2355","0.0000"
"191.0","-0.2768","0.0673","-0.2561","0.0000"
"192.0","-0.2073","-0.0282","-0.2317","0.0000"
"193.0","-0.0917","-0.1212","-0.1617","0.0000"
"194.0","-0.1613","-0.1901","-0.1615","0.0000"
"195.0","-0.1494","-0.2263","-0.1555","0.0000"
"196.0","0.1104","-0.1941","-0.0226","0.0000"
"197.0","0.4937","-0.1115","0.2356","0.0000"
"198.0","0.8015","0.0015","0.5185","0.0000"
"199.0","0.9579","0.1262","0.7382","0.0000"
"200.0","0.6967","0.2173","0.7174","0.0000"
"201.0","0.2900","0.2740","0.5037","0.0000"
"202.0","-0.1820","0.2766","0.1609","0.0000"
"203.0","-0.4537","0.2404","-0.1464","0.0000"
"204.0","-0.4532","0.2112","-0.2998","0.0000"
"205.0","-0.3288","0.1932","-0.3143","0.0000"
"206.0","-0.3095","0.1513","-0.3119","0.0000"
"207.0","-0.3645","0.0654","-0.3382","0.0000"
"208.0","-0.2357","-0.0383","-0.2870","0.0000"
"209.0","-0.2692","-0.1610","-0.2781","0.0000"
"210.0","-0.1675","-0.2474","-0.2228","0.0000"
"211.0","-0.1926","-0.2957","-0.2077","0.0000"
"212.0","-0.0597","-0.2834","-0.1337","0.0000"
"213.0","0.3937","-0.1987","0.1300","0.0000"
"214.0","0.7436","-0.0790","0.4368","0.0000"
"215.0","0.7858","0.0324","0.6113","0.0000"
"216.0","0.6064","0.1240","0.6089","0.0000"
"217.0","0.3983","0.2003","0.5036","0.0000"
"218.0","0.3983","0.2637","0.4509","0.0000"
"219.0","0.0096","0.2916","0.2303","0.0000"
"220.0","-0.3408","0.2743","-0.0553","0.0000"
"221.0","-0.4099","0.2525","-0.2326","0.0000"
"222.0","-0.3910","0.2194","-0.3118","0.0000"
"223.0","-0.3500","0.1450","-0.3309","0.0000"
"224.0","-0.3588","0.0348","-0.3449","0.0000"
"225.0","-0.3280","-0.0766","-0.3364","0.0000"
"226.0","-0.2374","-0.1610","-0.2869","0.0000"
"227.0","-0.1548","-0.2163","-0.2208","0.0000"
"228.0","-0.1278","-0.2689","-0.1743","0.0000"
"229.0","-0.1133","-0.2812","-0.1438","0.0000"
"230.0","0.3230","-0.2148","0.0896","0.0000"
"231.0","0.5103","-0.1228","0.3000","0.0000"
"232.0","0.7374","-0.0099","0.5187","0.0000"
"233.0","0.7247","0.0975","0.6217","0.0000"
"234.0","0.4386","0.1773","0.5302","0.0000"
"235.0","0.0342","0.2135","0.2822","0.0000"
"236.0","-0.3929","0.1979","-0.0554","0.0000"
"237.0","-0.4887","0.1646","-0.2720","0.0000"
"238.0","-0.4471","0.1326","-0.3596","0.0000"
"239.0","-0.4165","0.1023","-0.3881","0.0000"
"240.0","-0.3473","0.0353","-0.3677","0.0000"
"241.0","-0.3129","-0.0471","-0.3403","0.0000"
"242.0","-0.2726","-0.1481","-0.3065","0.0000"
"243.0","-0.2560","-0.2461","-0.2812","0.0000"
"244.0","-0.1994","-0.3099","-0.2403","0.0000"
"245.0","-0.2044","-0.3338","-0.2223","0.0000"
"246.0","0.0603","-0.2885","-0.0810","0.0000"
"247.0","0.3915","-0.2005","0.1552","0.0000"
"248.0","0.6417","-0.0916","0.3985","0.0000"
"249.0","0.6261","0.0127","0.5123","0.0000"
"250.0","0.5127","0.0987","0.5125","0.0000"
"251.0","0.2395","0.1539","0.3760","0.0000"
"252.0","-0.2668","0.1545","0.0546","0.0000"
"253.0","-0.5693","0.1232","-0.2573","0.0000"
"254.0","-0.4903","0.0941","-0.3738","0.0000"
"255.0","-0.3165","0.0829","-0.3452","0.0000"
"256.0","-0.2750","0.0494","-0.3101","0.0000"
"257.0","-0.4701","-0.0368","-0.3901","0.0000"
"258.0","-0.3900","-0.1400","-0.3901","0.0000"
"259.0","-0.2191","-0.2245","-0.3046","0.0000"
"260.0","-0.1070","-0.2865","-0.2058","0.0000"
"261.0","-0.1509","-0.3255","-0.1783","0.0000"
"262.0","-0.0166","-0.3005","-0.0975","0.0000"
"263.0","0.2988","-0.2137","0.1007","0.0000"
"264.0","0.2988","-0.1348","0.1998","0.0000"
"265.0","0.6008","-0.0430","0.4003","0.0000"
"266.0","0.6873","0.0532","0.5438","0.0000"
"267.0","0.5992","0.1601","0.5715","0.0000"
"268.0","0.3811","0.2372","0.4763","0.0000"
"269.0","-0.1341","0.2457","0.1711","0.0000"
"270.0","-0.4111","0.2153","-0.1200","0.0000"
"271.0","-0.6024","0.1702","-0.3612","0.0000"
"272.0","-0.4647","0.1254","-0.4130","0.0000"
"273.0","-0.3131","0.0642","-0.3630","0.0000"
"274.0","-0.3106","0.0032","-0.3368","0.0000"
"275.0","-0.3529","-0.0921","-0.3449","0.0000"
"276.0","-0.1812","-0.1790","-0.2630","0.0000"
"277.0","-0.1001","-0.2489","-0.1816","0.0000"
"278.0","-0.1849","-0.3055","-0.1832","0.0000"
"279.0","-0.0711","-0.2992","-0.1272","0.0000"
"280.0","0.2381","-0.2343","0.0555","0.0000"
"281.0","0.5541","-0.1187","0.3048","0.0000"
"282.0","0.6918","-0.0030","0.4983","0.0000"
"283.0","0.6748","0.0958","0.5865","0.0000"
"284.0","0.4462","0.1715","0.5164","0.0000"
