Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","5.4792","5.4792","5.4792"
"40.0","4.7937","4.7937","5.3545"
"60.0","4.2515","4.2515","5.1540"
"80.0","4.6381","4.6381","5.0602"
"100.0","5.0968","5.0968","5.0668"
"120.0","4.9699","4.9699","5.0492"
"140.0","4.3660","4.3660","4.9250"
"160.0","3.7206","3.7206","4.7060"
"180.0","3.7685","3.7685","4.5356"
"200.0","4.4256","4.5510","4.5156"
"220.0","4.1443","4.4175","4.4480"
"240.0","3.4448","4.2826","4.2656"
"260.0","2.6658","4.1240","3.9747"
"280.0","3.0634","3.9666","3.8091"
"300.0","3.5540","3.8123","3.7627"
"320.0","3.4824","3.6635","3.7117"
"340.0","2.9923","3.5262","3.5809"
"360.0","2.4109","3.3952","3.3682"
"380.0","2.5412","3.2725","3.2178"
"400.0","3.3789","3.1678","3.2471"
"420.0","3.2982","3.0832","3.2564"
"440.0","2.9401","3.0327","3.1989"
"460.0","3.6876","3.1349","3.2878"
"480.0","3.8572","3.2143","3.3913"
"500.0","3.1524","3.1741","3.3479"
"520.0","2.8816","3.1141","3.2631"
"540.0","3.1907","3.1339","3.2499"
"560.0","3.5985","3.2527","3.3133"
"580.0","2.9100","3.2895","3.2400"
"600.0","2.3447","3.1861","3.0772"
"620.0","1.3853","2.9948","2.7696"
"640.0","1.7245","2.8732","2.5795"
"660.0","2.4749","2.7520","2.5605"
"680.0","2.1356","2.5798","2.4833"
"700.0","1.7424","2.4388","2.3486"
"720.0","1.1485","2.2655","2.1304"
"740.0","1.2091","2.0673","1.9629"
"760.0","1.9108","1.8986","1.9534"
"780.0","1.8133","1.7889","1.9279"
"800.0","1.4183","1.6963","1.8353"
"820.0","0.8524","1.6430","1.6566"
"840.0","0.9896","1.5695","1.5353"
"860.0","1.9251","1.5145","1.6062"
"880.0","1.6146","1.4624","1.6077"
"900.0","1.1288","1.4010","1.5206"
"920.0","0.7495","1.3611","1.3804"
"940.0","0.7946","1.3197","1.2739"
"960.0","1.5406","1.2827","1.3224"
"980.0","1.4043","1.2418","1.3373"
"1000.0","0.9999","1.1999","1.2759"
"1020.0","0.2886","1.1436","1.0964"
"1040.0","0.5391","1.0985","0.9951"
"1060.0","1.3655","1.0425","1.0624"
"1080.0","1.3064","1.0117","1.1068"
"1100.0","0.4773","0.9466","0.9923"
"1120.0","0.1341","0.8850","0.8363"
"1140.0","0.3450","0.8401","0.7470"
"1160.0","0.9081","0.7768","0.7763"
"1180.0","1.7253","0.8089","0.9488"
"1200.0","3.0937","1.0183","1.3388"
"1220.0","3.3479","1.3242","1.7041"
"1240.0","2.2816","1.4985","1.8091"
"1260.0","1.6298","1.5249","1.7765"
"1280.0","1.4229","1.5366","1.7122"
"1300.0","1.7205","1.6609","1.7137"
"1320.0","1.6547","1.8130","1.7030"
"1340.0","1.9850","1.9770","1.7543"
"1360.0","2.6679","2.1529","1.9204"
"1380.0","2.6942","2.2498","2.0611"
"1400.0","2.3492","2.1754","2.1135"
"1420.0","2.0964","2.0502","2.1104"
"1440.0","2.4094","2.0630","2.1647"
"1460.0","3.7823","2.2783","2.4588"
"1480.0","3.9466","2.5306","2.7293"
"1500.0","3.2827","2.6868","2.8300"
"1520.0","3.2516","2.8465","2.9066"
"1540.0","3.7217","3.0202","3.0548"
"1560.0","5.0291","3.2563","3.4138"
"1580.0","5.2724","3.5142","3.7517"
"1600.0","4.8750","3.7667","3.9560"
"1620.0","4.6089","4.0180","4.0747"
"1640.0","5.1937","4.2964","4.2781"
"1660.0","6.1520","4.5334","4.6188"
"1680.0","6.2479","4.7635","4.9150"
"1700.0","5.4019","4.9754","5.0036"
"1720.0","5.0686","5.1571","5.0154"
"1740.0","5.3854","5.3235","5.0827"
"1760.0","6.0134","5.4219","5.2519"
"1780.0","5.9303","5.4877","5.3752"
"1800.0","5.2880","5.5290","5.3594"
"1820.0","5.0502","5.5732","5.3032"
"1840.0","5.3741","5.5912","5.3161"
"1860.0","5.9216","5.5681","5.4262"
"1880.0","6.0899","5.5523","5.5468"
"1900.0","5.6670","5.5789","5.5687"
"1920.0","5.0741","5.5794","5.4788"
"1940.0","5.3194","5.5728","5.4498"
"1960.0","6.0307","5.5745","5.5554"
"1980.0","5.8405","5.5655","5.6072"
"2020.0","4.5601","5.5087","5.3577"
"2040.0","4.6722","5.4385","5.2330"
"2060.0","5.6977","5.4161","5.3175"
"2080.0","5.4075","5.3479","5.3339"
"2100.0","4.8300","5.2642","5.2423"
"2120.0","4.1266","5.1694","5.0394"
"2140.0","4.2404","5.0615","4.8942"
"2160.0","5.0772","4.9662","4.9274"
"2180.0","4.8162","4.8638","4.9072"
"2200.0","3.8545","4.7283","4.7158"
"2220.0","3.4476","4.6170","4.4852"
"2240.0","3.6136","4.5111","4.3267"
"2260.0","4.2141","4.3628","4.3063"
"2280.0","3.9428","4.2163","4.2402"
"2300.0","3.1208","4.0454","4.0366"
"2320.0","2.5355","3.8863","3.7637"
"2340.0","2.9202","3.7542","3.6104"
"2360.0","3.4345","3.5900","3.5784"
"2380.0","3.4405","3.4524","3.5533"
"2400.0","2.5921","3.3262","3.3785"
"2420.0","2.3174","3.2131","3.1856"
"2440.0","2.8472","3.1365","3.1241"
"2460.0","3.4607","3.0612","3.1853"
"2480.0","3.5599","3.0229","3.2534"
"2500.0","3.1041","3.0212","3.2263"
"2520.0","2.6763","3.0353","3.1263"
"2540.0","3.0068","3.0440","3.1045"
"2560.0","3.9813","3.0986","3.2640"
"2580.0","3.6387","3.1185","3.3321"
"2600.0","3.0974","3.1690","3.2894"
"2620.0","2.7003","3.2073","3.1823"
"2640.0","3.0204","3.2246","3.1529"
"2660.0","4.0256","3.2811","3.3115"
"2680.0","4.0516","3.3303","3.4461"
"2700.0","3.4193","3.3618","3.4412"
"2720.0","2.9031","3.3845","3.3434"
"2740.0","2.7602","3.3598","3.2374"
"2760.0","3.0831","3.2700","3.2093"
"2780.0","2.6496","3.1711","3.1076"
"2800.0","1.8228","3.0436","2.8740"
"2820.0","1.4800","2.9216","2.6205"
"2840.0","1.7899","2.7985","2.4695"
"2860.0","2.5519","2.6512","2.4845"
"2880.0","2.2590","2.4719","2.4435"
"2900.0","1.4350","2.2735","2.2601"
"2920.0","1.0135","2.0845","2.0335"
"2940.0","1.4876","1.9572","1.9342"
"2960.0","2.1476","1.8637","1.9730"
"2980.0","1.8335","1.7821","1.9476"
"3000.0","1.1030","1.7101","1.7941"
"3020.0","0.8307","1.6452","1.6189"
"3040.0","1.1963","1.5858","1.5421"
"3060.0","1.9374","1.5243","1.6140"
"3080.0","1.7783","1.4763","1.6438"
"3100.0","0.6878","1.4016","1.4700"
"3120.0","0.4792","1.3481","1.2899"
"3140.0","0.9246","1.2918","1.2235"
"3160.0","1.5503","1.2321","1.2829"
"3180.0","1.2123","1.1700","1.2701"
"3200.0","0.7178","1.1315","1.1697"
"3220.0","0.3289","1.0813","1.0168"
"3240.0","0.6035","1.0220","0.9416"
"3260.0","1.2169","0.9500","0.9917"
"3280.0","0.9542","0.8676","0.9849"
"3300.0","0.4372","0.8425","0.8853"
"3320.0","0.1366","0.8082","0.7492"
"3340.0","0.2591","0.7417","0.6601"
"3360.0","2.4469","0.8313","0.9849"
"3380.0","4.1581","1.1259","1.5619"
"3400.0","3.3679","1.3909","1.8903"
"3420.0","1.3770","1.4957","1.7969"
"3440.0","0.7019","1.5056","1.5978"
"3460.0","2.0422","1.5881","1.6786"
"3480.0","2.5207","1.7448","1.8317"
"3500.0","1.8807","1.8891","1.8406"
"3520.0","1.6568","2.0411","1.8072"
"3540.0","2.0434","2.2196","1.8502"
"3560.0","2.8797","2.2629","2.0374"
"3580.0","2.8379","2.1308","2.1829"
"3600.0","2.2500","2.0190","2.1951"
"3620.0","2.3046","2.1118","2.2150"
"3640.0","3.0402","2.3456","2.3651"
"3660.0","4.1656","2.5580","2.6924"
"3680.0","4.0818","2.7141","2.9450"
"3700.0","3.4643","2.8724","3.0394"
"3720.0","3.6168","3.0684","3.1444"
"3740.0","4.3551","3.2996","3.3645"
"3760.0","5.3817","3.5498","3.7313"
"3780.0","5.4764","3.8136","4.0486"
"3800.0","4.8267","4.0713","4.1901"
"3820.0","5.0582","4.3467","4.3479"
"3840.0","5.6551","4.6082","4.5856"
"3860.0","6.3049","4.8221","4.8982"
"3880.0","6.1570","5.0296","5.1271"
"3900.0","5.6393","5.2471","5.2202"
"3920.0","5.1462","5.4001","5.2067"
"3940.0","5.6989","5.5344","5.2962"
"3960.0","6.3732","5.6336","5.4920"
"3980.0","6.1288","5.6988","5.6078"
"4020.0","5.1504","5.7591","5.4844"
"4040.0","5.2600","5.7196","5.4436"
"4060.0","6.3382","5.7230","5.6063"
"4080.0","6.1220","5.7195","5.7000"
"4100.0","5.3187","5.6874","5.6307"
"4120.0","4.9820","5.6710","5.5128"
"4140.0","5.2061","5.6217","5.4570"
"4160.0","6.2238","5.6068","5.5964"
"4180.0","5.7118","5.5651","5.6174"
"4200.0","4.6409","5.4954","5.4399"
"4220.0","4.3913","5.4195","5.2492"
"4240.0","4.8607","5.3796","5.1786"
"4260.0","5.5597","5.3017","5.2479"
"4280.0","5.4103","5.2306","5.2774"
"4300.0","4.2388","5.1226","5.0886"
"4320.0","4.1184","5.0362","4.9122"
"4340.0","4.2036","4.9359","4.7833"
"4360.0","4.8686","4.8004","4.7988"
"4380.0","4.6490","4.6941","4.7716"
"4400.0","3.4806","4.5781","4.5369"
"4420.0","3.3516","4.4741","4.3214"
"4440.0","3.5115","4.3392","4.1741"
"4460.0","4.1502","4.1983","4.1698"
"4480.0","3.7297","4.0302","4.0897"
"4500.0","2.9554","3.9018","3.8835"
"4520.0","2.4473","3.7347","3.6224"
"4540.0","2.9967","3.6141","3.5086"
"4560.0","3.7127","3.4985","3.5457"
"4580.0","3.2791","3.3615","3.4972"
"4600.0","2.7590","3.2893","3.3630"
"4620.0","2.4516","3.1993","3.1973"
"4640.0","2.7097","3.1191","3.1086"
"4660.0","3.8609","3.0902","3.2454"
"4680.0","3.3550","3.0527","3.2653"
"4700.0","2.9717","3.0544","3.2120"
"4720.0","2.8320","3.0928","3.1429"
"4740.0","3.2117","3.1143","3.1554"
"4760.0","4.3114","3.1742","3.3656"
"4780.0","3.9221","3.2385","3.4668"
"4800.0","3.1743","3.2800","3.4136"
"4820.0","2.9377","3.3287","3.3271"
"4840.0","3.5323","3.4109","3.3644"
"4860.0","4.2193","3.4468","3.5198"
"4880.0","4.0120","3.5125","3.6093"
"4900.0","2.8375","3.4990","3.4690"
"4920.0","2.1997","3.4358","3.2382"
"4940.0","2.2607","3.3407","3.0605"
"4960.0","2.6961","3.1792","2.9942"
"4980.0","2.5820","3.0452","2.9193"
"5000.0","1.5251","2.8802","2.6658"
"5020.0","1.2348","2.7100","2.4056"
"5040.0","1.8395","2.5407","2.3027"
"5060.0","2.2710","2.3458","2.2969"
"5080.0","1.9467","2.1393","2.2333"
"5100.0","1.0221","1.9578","2.0131"
"5120.0","1.2984","1.8677","1.8831"
"5140.0","1.7642","1.8180","1.8615"
"5160.0","2.2439","1.7728","1.9310"
"5180.0","1.7163","1.6862","1.8920"
"5200.0","1.1292","1.6466","1.7533"
"5220.0","0.8297","1.6061","1.5854"
"5240.0","1.3111","1.5533","1.5355"
"5260.0","1.7410","1.5003","1.5729"
"5280.0","1.3780","1.4434","1.5374"
"5300.0","0.7668","1.4179","1.3973"
"5320.0","0.5922","1.3472","1.2509"
"5340.0","0.6879","1.2396","1.1486"
"5360.0","1.5974","1.1750","1.2302"
"5380.0","1.2167","1.1250","1.2277"
"5400.0","0.5493","1.0670","1.1044"
"5420.0","0.3773","1.0218","0.9722"
"5440.0","0.6370","0.9544","0.9112"
"5460.0","1.2581","0.9061","0.9743"
"5480.0","0.8568","0.8540","0.9529"
"5500.0","0.1759","0.7949","0.8117"
"5520.0","0.2474","0.7604","0.7091"
"5540.0","2.3568","0.9273","1.0086"
"5560.0","4.4258","1.2101","1.6300"
"5580.0","3.6068","1.4491","1.9894"
"5600.0","0.9524","1.4894","1.8008"
"5620.0","0.4967","1.5014","1.5637"
"5640.0","1.5476","1.5924","1.5608"
"5660.0","2.9508","1.7617","1.8135"
"5680.0","2.6540","1.9414","1.9663"
"5700.0","1.7320","2.0970","1.9237"
"5720.0","1.7875","2.2510","1.8990"
"5740.0","2.4058","2.2560","1.9911"
"5760.0","3.2632","2.1397","2.2224"
"5780.0","3.1219","2.0912","2.3859"
"5800.0","2.5848","2.2544","2.4221"
"5820.0","2.6539","2.4702","2.4642"
"5840.0","3.5345","2.6688","2.6588"
"5860.0","4.2639","2.8002","2.9507"
"5880.0","4.2240","2.9572","3.1822"
"5900.0","3.8134","3.1653","3.2970"
"5920.0","3.9102","3.3776","3.4085"
"5940.0","4.5906","3.5960","3.6234"
"5960.0","5.6125","3.8310","3.9850"
"5980.0","5.7688","4.0957","4.3094"
"6020.0","5.1700","4.5929","4.5747"
"6040.0","5.4983","4.7893","4.7426"
"6060.0","6.0705","4.9699","4.9841"
"6080.0","6.0425","5.1518","5.1765"
"6100.0","5.0190","5.2723","5.1479"
"6120.0","4.9812","5.3794","5.1176"
"6140.0","5.4776","5.4681","5.1830"
"6160.0","6.2486","5.5318","5.3768"
"6180.0","5.9024","5.5451","5.4723"
"6200.0","5.0960","5.5506","5.4039"
"6220.0","5.0790","5.5415","5.3448"
"6240.0","5.5826","5.5499","5.3881"
"6260.0","6.0443","5.5473","5.5074"
"6280.0","5.7995","5.5230","5.5605"
"6300.0","4.9454","5.5156","5.4487"
"6320.0","4.8986","5.5074","5.3486"
"6340.0","5.3694","5.4966","5.3524"
"6360.0","5.6877","5.4405","5.4134"
"6380.0","5.2578","5.3760","5.3851"
"6400.0","4.1701","5.2834","5.1642"
"6420.0","4.3555","5.2111","5.0172"
"6440.0","4.8563","5.1385","4.9879"
"6460.0","5.2122","5.0553","5.0287"
"6480.0","4.8706","4.9624","4.9999"
"6500.0","3.9538","4.8632","4.8097"
"6520.0","3.6524","4.7386","4.5993"
"6540.0","4.1476","4.6164","4.5172"
"6560.0","4.4656","4.4942","4.5078"
"6580.0","3.9353","4.3619","4.4037"
"6600.0","3.1995","4.2649","4.1848"
"6620.0","2.9485","4.1242","3.9600"
"6640.0","3.0172","3.9403","3.7886"
"6660.0","3.5345","3.7725","3.7424"
"6680.0","3.2476","3.6102","3.6524"
"6700.0","2.4678","3.4616","3.4370"
"6720.0","2.4736","3.3437","3.2619"
"6740.0","2.7008","3.1990","3.1598"
"6760.0","3.5159","3.1041","3.2246"
"6780.0","3.1688","3.0274","3.2144"
"6800.0","2.1472","2.9222","3.0204"
"6820.0","2.3549","2.8628","2.8994"
"6840.0","2.8536","2.8464","2.8910"
"6860.0","3.6223","2.8552","3.0240"
"6880.0","3.4732","2.8778","3.1057"
"6900.0","2.5224","2.8833","2.9996"
"6920.0","2.5831","2.8942","2.9239"
"6940.0","3.3048","2.9546","2.9931"
"6960.0","3.9239","2.9954","3.1624"
"6980.0","3.7732","3.0558","3.2734"
"7000.0","2.7405","3.1152","3.1765"
"7020.0","2.8323","3.1629","3.1139"
"7040.0","3.4989","3.2275","3.1839"
"7060.0","3.5489","3.2201","3.2503"
"7080.0","3.0532","3.1781","3.2145"
"7100.0","1.8277","3.1086","2.9623"
