Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100088.0","-3.4976","-3.6558","-3.6476","-3.6617","0.0000"
"100089.0","-3.5463","-3.6449","-3.6475","-3.6617","0.0000"
"100090.0","-3.6294","-3.6370","-3.6475","-3.6617","0.0000"
"100091.0","-3.6208","-3.6249","-3.6475","-3.6617","0.0000"
"100092.0","-3.5999","-3.6110","-3.6474","-3.6617","0.0000"
"100093.0","-3.6267","-3.5936","-3.6474","-3.6617","0.0000"
"100094.0","-3.7436","-3.5929","-3.6475","-3.6617","0.0000"
"100095.0","-3.7197","-3.6034","-3.6476","-3.6617","0.0000"
"100096.0","-3.8005","-3.6292","-3.6477","-3.6617","0.0000"
"100097.0","-3.7931","-3.6578","-3.6479","-3.6617","0.0000"
"100098.0","-3.8137","-3.6894","-3.6480","-3.6617","0.0000"
"100099.0","-3.8497","-3.7197","-3.6482","-3.6617","0.0000"
"100100.0","-3.7065","-3.7274","-3.6483","-3.6617","0.0000"
"100101.0","-3.6531","-3.7307","-3.6483","-3.6617","0.0000"
"100102.0","-3.6474","-3.7354","-3.6483","-3.6474","0.0000"
"100103.0","-3.5352","-3.7263","-3.6482","-3.6474","0.0000"
"100104.0","-3.5366","-3.7056","-3.6481","-3.6474","0.0000"
"100105.0","-3.4788","-3.6815","-3.6479","-3.6474","0.0000"
"100106.0","-3.6386","-3.6653","-3.6479","-3.6474","0.0000"
"100107.0","-3.5697","-3.6429","-3.6478","-3.6474","0.0000"
"100108.0","-3.4647","-3.6080","-3.6476","-3.6474","0.0000"
"100109.0","-3.5047","-3.5735","-3.6475","-3.6474","0.0000"
"100110.0","-3.6343","-3.5663","-3.6475","-3.6474","0.0000"
"100111.0","-3.8137","-3.5824","-3.6476","-3.6474","0.0000"
"100112.0","-3.6011","-3.5777","-3.6476","-3.6474","0.0000"
"100113.0","-3.7987","-3.6041","-3.6478","-3.6474","0.0000"
"100114.0","-3.6874","-3.6192","-3.6478","-3.6474","0.0000"
"100115.0","-3.7721","-3.6485","-3.6479","-3.6474","0.0000"
"100116.0","-3.8051","-3.6652","-3.6481","-3.6474","0.0000"
"100117.0","-3.7795","-3.6861","-3.6482","-3.6474","0.0000"
"100118.0","-3.7795","-3.7176","-3.6483","-3.6474","0.0000"
"100119.0","-3.7577","-3.7429","-3.6484","-3.6474","0.0000"
"100120.0","-3.6569","-3.7452","-3.6485","-3.6474","0.0000"
"100121.0","-3.5408","-3.7179","-3.6483","-3.6474","0.0000"
"100122.0","-3.5940","-3.7172","-3.6483","-3.6474","0.0000"
"100123.0","-3.5758","-3.6949","-3.6482","-3.6474","0.0000"
"100124.0","-3.6018","-3.6863","-3.6482","-3.6474","0.0000"
"100125.0","-3.6275","-3.6719","-3.6482","-3.6474","0.0000"
"100126.0","-3.7007","-3.6614","-3.6482","-3.6474","0.0000"
"100127.0","-3.7818","-3.6616","-3.6483","-3.6474","0.0000"
"100128.0","-3.8377","-3.6675","-3.6485","-3.6474","0.0000"
"100129.0","-3.8717","-3.6789","-3.6488","-3.6474","0.0000"
"100130.0","-3.8874","-3.7019","-3.6490","-3.6474","0.0000"
"100131.0","-3.9218","-3.7400","-3.6493","-3.6474","0.0000"
"100132.0","-3.8710","-3.7677","-3.6495","-3.6474","0.0000"
"100133.0","-3.8710","-3.7972","-3.6497","-3.6474","0.0000"
"100134.0","-3.7199","-3.8090","-3.6498","-3.6474","0.0000"
"100135.0","-3.7749","-3.8238","-3.6499","-3.6474","0.0000"
"100136.0","-3.5648","-3.8102","-3.6498","-3.6474","0.0000"
"100137.0","-3.5126","-3.7833","-3.6497","-3.6474","0.0000"
"100138.0","-3.5719","-3.7567","-3.6496","-3.6474","0.0000"
"100139.0","-3.5305","-3.7226","-3.6495","-3.6474","0.0000"
"100140.0","-3.6300","-3.6968","-3.6495","-3.6474","0.0000"
"100141.0","-3.6175","-3.6664","-3.6494","-3.6474","0.0000"
"100142.0","-3.6115","-3.6405","-3.6494","-3.6474","0.0000"
"100143.0","-3.6002","-3.6134","-3.6493","-3.6474","0.0000"
"100144.0","-3.7218","-3.6136","-3.6494","-3.6474","0.0000"
"100145.0","-3.7916","-3.6152","-3.6496","-3.6474","0.0000"
"100146.0","-3.8497","-3.6437","-3.6498","-3.6474","0.0000"
"100147.0","-3.9475","-3.6872","-3.6501","-3.6474","0.0000"
"100148.0","-3.9898","-3.7290","-3.6504","-3.6474","0.0000"
"100149.0","-3.8975","-3.7657","-3.6506","-3.6474","0.0000"
"100150.0","-3.9008","-3.7928","-3.6509","-3.6474","0.0000"
"100151.0","-3.8989","-3.8209","-3.6511","-3.6474","0.0000"
"100152.0","-3.5480","-3.8146","-3.6510","-3.6474","0.0000"
"100153.0","-3.5730","-3.8119","-3.6510","-3.6474","0.0000"
