Time [ms],Timestamp,Raw Value,Corrected Value,Temperature Value,LD20 Flow,LD20 Temperature,LD20 Status,Heater Voltage,Thermistor Voltage,Heater Current,Thermistor Current,Series R Voltage
"1.0","15:13:09.936","2222845.0000","1.5118","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2.0","15:13:09.937","2223933.0000","1.6304","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"3.0","15:13:09.938","2224387.0000","1.6799","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"4.0","15:13:09.939","2224140.0000","1.6530","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"5.0","15:13:09.940","2224561.0000","1.6989","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"6.0","15:13:09.941","2223336.0000","1.5653","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"7.0","15:13:09.942","2223904.0000","1.6273","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"8.0","15:13:09.943","2223592.0000","1.5932","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"9.0","15:13:09.944","2224120.0000","1.6508","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"10.0","15:13:09.945","2224674.0000","1.7112","60566.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"11.0","15:13:09.946","2224998.0000","1.7465","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"12.0","15:13:09.947","2225093.0000","1.7568","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"13.0","15:13:09.948","2224874.0000","1.7330","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"14.0","15:13:09.949","2225381.0000","1.7883","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"15.0","15:13:09.950","2226228.0000","1.8806","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"16.0","15:13:09.951","2225029.0000","1.7499","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"17.0","15:13:09.952","2226494.0000","1.9096","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"18.0","15:13:09.953","2226398.0000","1.8991","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"19.0","15:13:09.954","2226194.0000","1.8769","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"20.0","15:13:09.955","2225321.0000","1.7817","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"21.0","15:13:09.956","2224769.0000","1.7215","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"22.0","15:13:09.957","2224769.0000","1.7215","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"23.0","15:13:09.958","2224030.0000","1.6410","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"24.0","15:13:09.959","2223924.0000","1.6294","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"25.0","15:13:09.960","2222942.0000","1.5224","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"26.0","15:13:09.961","2222693.0000","1.4952","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"27.0","15:13:09.962","2222254.0000","1.4474","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"28.0","15:13:09.963","2220742.0000","1.2825","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"29.0","15:13:09.964","2220814.0000","1.2904","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"30.0","15:13:09.965","2219938.0000","1.1949","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"31.0","15:13:09.966","2220345.0000","1.2393","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"32.0","15:13:09.967","2219504.0000","1.1476","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"33.0","15:13:09.968","2220014.0000","1.2031","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"34.0","15:13:09.969","2218435.0000","1.0310","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"35.0","15:13:09.970","2217990.0000","0.9825","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"36.0","15:13:09.971","2218276.0000","1.0137","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"37.0","15:13:09.972","2218126.0000","0.9973","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"38.0","15:13:09.973","2217916.0000","0.9744","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"39.0","15:13:09.974","2218012.0000","0.9849","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"40.0","15:13:09.975","2218334.0000","1.0200","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"41.0","15:13:09.976","2217970.0000","0.9803","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"42.0","15:13:09.977","2218582.0000","1.0470","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"43.0","15:13:09.978","2219334.0000","1.1290","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"44.0","15:13:09.979","2218090.0000","0.9934","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"45.0","15:13:09.980","2219396.0000","1.1358","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"46.0","15:13:09.981","2220348.0000","1.2396","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"47.0","15:13:09.982","2220205.0000","1.2240","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"48.0","15:13:09.983","2221014.0000","1.3122","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"49.0","15:13:09.984","2220554.0000","1.2620","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"50.0","15:13:09.985","2221772.0000","1.3948","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"51.0","15:13:09.986","2222788.0000","1.5056","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"52.0","15:13:09.987","2220903.0000","1.3001","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"53.0","15:13:09.988","2220394.0000","1.2446","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"54.0","15:13:09.989","2221550.0000","1.3706","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"55.0","15:13:09.990","2220933.0000","1.3034","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"56.0","15:13:09.991","2220605.0000","1.2676","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"57.0","15:13:09.992","2220825.0000","1.2916","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"58.0","15:13:09.993","2220089.0000","1.2113","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"59.0","15:13:09.994","2219652.0000","1.1637","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"60.0","15:13:09.995","2219397.0000","1.1359","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"61.0","15:13:09.996","2219164.0000","1.1105","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"62.0","15:13:09.997","2218756.0000","1.0660","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"63.0","15:13:09.998","2218513.0000","1.0395","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"64.0","15:13:09.999","2220473.0000","1.2532","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"65.0","15:13:10.0","2220989.0000","1.3095","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"66.0","15:13:10.1","2222766.0000","1.5032","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"67.0","15:13:10.2","2222745.0000","1.5009","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"68.0","15:13:10.3","2224111.0000","1.6498","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"69.0","15:13:10.4","2224111.0000","1.6498","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"70.0","15:13:10.5","2226008.0000","1.8566","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"71.0","15:13:10.6","2226256.0000","1.8837","60572.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"72.0","15:13:10.7","2226085.0000","1.8650","60580.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"73.0","15:13:10.8","2224924.0000","1.7384","60580.0000","-0.0500","-0.0050","-1.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
