Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","2.2094","2.2094","2.2094"
"40.0","2.5421","2.5421","2.2159"
"60.0","2.9266","2.9266","2.2299"
"80.0","3.1056","3.1056","2.2471"
"100.0","3.3711","3.3711","2.2691"
"120.0","3.7244","3.7244","2.2976"
"140.0","4.0489","4.0489","2.3320"
"160.0","4.4475","4.4475","2.3734"
"180.0","4.5947","4.5947","2.4170"
"200.0","4.6803","4.6803","2.4614"
"220.0","4.9882","4.9882","2.5109"
"240.0","5.2469","5.2469","2.5646"
"260.0","5.3906","5.3906","2.6200"
"280.0","5.3675","5.3675","2.6739"
"300.0","5.0463","5.0463","2.7204"
"320.0","5.0491","5.0491","2.7660"
"340.0","5.3434","5.3434","2.8166"
"360.0","5.3818","5.3818","2.8669"
"380.0","5.1917","5.1917","2.9125"
"400.0","4.9765","4.9765","2.9529"
"420.0","5.1257","5.1257","2.9955"
"440.0","5.1831","5.1831","3.0384"
"460.0","5.1696","5.1696","3.0802"
"480.0","4.9860","4.9860","3.1176"
"500.0","4.8455","4.8455","3.1515"
"520.0","4.8620","4.8620","3.1850"
"540.0","5.0620","5.0620","3.2218"
"560.0","4.8772","4.8772","3.2543"
"580.0","4.6304","4.6304","3.2813"
"600.0","4.4045","4.4045","3.3033"
"620.0","4.5872","4.5872","3.3285"
"640.0","4.4115","4.4115","3.3497"
"660.0","4.2042","4.2042","3.3664"
"680.0","3.8755","3.8755","3.3764"
"700.0","3.5877","3.5877","3.3806"
"720.0","3.4881","3.4881","3.3827"
"740.0","3.6014","3.6014","3.3870"
"760.0","3.2998","3.2998","3.3853"
"780.0","2.9135","2.9135","3.3760"
"800.0","2.7363","2.7363","3.3635"
"820.0","2.2913","2.2913","3.3424"
"840.0","2.5772","2.5772","3.3274"
"860.0","2.4187","2.4187","3.3096"
"880.0","2.3857","2.3857","3.2915"
"900.0","2.6604","2.6604","3.2791"
"920.0","2.6821","2.6821","3.2674"
"940.0","2.6968","2.6968","3.2562"
"960.0","2.5017","2.5017","3.2414"
"980.0","2.6409","2.6409","3.2297"
"1000.0","2.9225","3.9852","3.2236"
"1020.0","2.9861","4.0008","3.2190"
"1040.0","2.7319","4.0046","3.2094"
"1060.0","2.5176","3.9964","3.1959"
"1080.0","2.2520","3.9793","3.1774"
"1100.0","1.8537","3.9490","3.1514"
"1120.0","1.4669","3.9038","3.1184"
"1140.0","1.3454","3.8497","3.0836"
"1160.0","1.2657","3.7861","3.0480"
"1180.0","0.9680","3.7136","3.0072"
"1200.0","1.0938","3.6418","2.9697"
"1220.0","0.9997","3.5621","2.9310"
"1240.0","0.6889","3.4709","2.8871"
"1260.0","0.6644","3.3764","2.8435"
"1280.0","0.6495","3.2820","2.8005"
"1300.0","0.7919","3.1969","2.7611"
"1320.0","0.7322","3.1106","2.7213"
"1340.0","0.5713","3.0152","2.6792"
"1360.0","0.4870","2.9173","2.6362"
"1380.0","0.4701","2.8228","2.5937"
"1400.0","0.5145","2.7336","2.5529"
"1420.0","0.4199","2.6395","2.5111"
"1440.0","0.1869","2.5396","2.4655"
"1460.0","0.1896","2.4399","2.4209"
"1480.0","0.1565","2.3434","2.3765"
"1500.0","0.2700","2.2518","2.3352"
"1520.0","0.2261","2.1591","2.2938"
"1540.0","0.0123","2.0581","2.2491"
"1560.0","-0.1134","1.9583","2.2028"
"1580.0","-0.1081","1.8636","2.1575"
"1600.0","-0.0487","1.7745","2.1142"
"1620.0","-0.0980","1.6808","2.0708"
"1640.0","-0.2099","1.5884","2.0261"
"1660.0","-0.2223","1.4998","1.9820"
"1680.0","1.7933","1.4582","1.9783"
"1700.0","4.0360","1.4671","2.0187"
"1720.0","0.2030","1.4014","1.9831"
"1740.0","0.8306","1.3460","1.9605"
"1760.0","1.4548","1.3091","1.9506"
"1780.0","1.3399","1.2777","1.9386"
"1800.0","0.8960","1.2408","1.9181"
"1820.0","1.3737","1.2225","1.9075"
"1840.0","1.8068","1.2071","1.9055"
"1860.0","1.7755","1.1942","1.9029"
"1880.0","2.1282","1.1891","1.9074"
"1900.0","2.4163","1.1842","1.9173"
"1920.0","2.5645","1.1818","1.9300"
"1940.0","2.7250","1.1824","1.9456"
"1960.0","2.9364","1.1911","1.9650"
"1980.0","3.4379","1.2070","1.9939"
"2000.0","4.0055","1.2287","2.0334"
"2020.0","3.8939","1.2469","2.0699"
"2040.0","4.2302","1.2768","2.1122"
"2060.0","4.5596","1.3177","2.1602"
"2080.0","4.8216","1.3691","2.2124"
"2100.0","5.2172","1.4363","2.2713"
"2120.0","5.2530","1.5120","2.3298"
"2140.0","5.1446","1.5880","2.3850"
"2160.0","5.3017","1.6687","2.4421"
"2180.0","5.2296","1.7540","2.4968"
"2200.0","5.2325","1.8368","2.5504"
"2220.0","5.2465","1.9217","2.6033"
"2240.0","5.1050","2.0100","2.6524"
"2260.0","5.2556","2.1018","2.7034"
"2280.0","5.4280","2.1974","2.7568"
"2300.0","5.2319","2.2862","2.8054"
"2320.0","5.1389","2.3743","2.8511"
"2340.0","4.9793","2.4625","2.8928"
"2360.0","5.0132","2.5530","2.9344"
"2380.0","5.2554","2.6487","2.9799"
"2400.0","5.1430","2.7413","3.0223"
"2420.0","4.8975","2.8308","3.0591"
"2440.0","4.5977","2.9191","3.0893"
"2460.0","4.5932","3.0071","3.1188"
"2480.0","4.7020","3.0980","3.1498"
"2500.0","4.6660","3.1860","3.1795"
