Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","3.5499","3.5499","3.5499"
"40.0","3.3427","3.3427","3.5123"
"60.0","2.9878","2.9878","3.4169"
"80.0","2.5955","2.5955","3.2676"
"100.0","2.9116","2.9116","3.2028"
"120.0","3.2602","3.2602","3.2133"
"140.0","1.4180","1.4180","2.8869"
"160.0","0.0295","0.0295","2.3674"
"180.0","1.1863","1.1863","2.1526"
"200.0","3.5310","2.4813","2.4032"
"220.0","5.3912","2.6654","2.9465"
"240.0","3.9724","2.7284","3.1330"
"260.0","2.6083","2.6904","3.0376"
"280.0","2.9407","2.7249","3.0200"
"300.0","2.4826","2.6820","2.9223"
"320.0","1.2492","2.4809","2.6181"
"340.0","1.1656","2.4557","2.3540"
"360.0","1.7627","2.6290","2.2465"
"380.0","2.5002","2.7604","2.2926"
"400.0","2.0131","2.6086","2.2418"
"420.0","1.4035","2.2098","2.0894"
"440.0","0.9217","1.9048","1.8771"
"460.0","1.8343","1.8274","1.8693"
"480.0","2.0778","1.7411","1.9072"
"500.0","1.9071","1.6835","1.9072"
"520.0","0.9025","1.6489","1.7245"
"540.0","0.7019","1.6025","1.5386"
"560.0","1.0355","1.5298","1.4471"
"580.0","1.7277","1.4525","1.4981"
"600.0","1.2313","1.3743","1.4496"
"620.0","0.5976","1.2937","1.2947"
"640.0","0.7185","1.2734","1.1899"
"660.0","1.1131","1.2013","1.1760"
"680.0","1.7754","1.1711","1.2850"
"700.0","1.1687","1.0972","1.2638"
"720.0","0.4673","1.0537","1.1190"
"740.0","0.4847","1.0320","1.0037"
"760.0","0.8496","1.0134","0.9757"
"780.0","1.0011","0.9407","0.9803"
"800.0","0.7538","0.8930","0.9391"
"820.0","-0.0334","0.8299","0.7623"
"840.0","0.5236","0.8104","0.7189"
"860.0","3.0588","1.0050","1.1443"
"880.0","4.7151","1.2989","1.7936"
"900.0","3.3106","1.5131","2.0694"
"920.0","0.8621","1.5526","1.8499"
"940.0","0.7407","1.5782","1.6482"
"960.0","1.8260","1.6759","1.6806"
