Time [ms],Corrected Value
"20.0","5.9032"
"40.0","5.9959"
"60.0","5.9380"
"80.0","5.9007"
"100.0","5.9520"
"120.0","5.9136"
"140.0","6.0290"
"160.0","6.0681"
"180.0","5.8068"
"200.0","5.9633"
"220.0","5.9605"
"240.0","5.9583"
"260.0","5.9531"
"280.0","5.9636"
"300.0","5.9766"
"320.0","5.7681"
"340.0","5.7755"
"360.0","5.8751"
"380.0","5.6694"
"400.0","5.7641"
"420.0","5.7463"
"440.0","5.6713"
"460.0","5.8150"
"480.0","5.5919"
"500.0","5.7370"
"520.0","5.8507"
"540.0","5.6900"
"560.0","5.8201"
"580.0","5.7952"
"600.0","5.7453"
"620.0","5.6406"
"640.0","5.8597"
"660.0","5.8785"
"680.0","5.9101"
"700.0","5.7436"
"720.0","5.8685"
"740.0","5.8057"
"760.0","5.8361"
"780.0","5.8359"
"800.0","5.7548"
"820.0","5.9703"
"840.0","5.7008"
"860.0","5.7174"
"880.0","5.7828"
"900.0","5.6749"
"920.0","5.7008"
"940.0","5.7731"
"960.0","5.7071"
"980.0","5.7714"
"1000.0","5.7169"
"1020.0","5.7249"
"1040.0","5.6659"
"1060.0","5.7708"
"1080.0","5.7941"
"1100.0","5.8130"
"1120.0","5.8096"
"1140.0","5.8883"
"1160.0","5.8559"
"1180.0","5.8353"
"1200.0","5.8368"
"1220.0","5.9843"
"1240.0","6.0429"
"1260.0","6.0210"
"1280.0","5.8300"
"1300.0","5.9342"
"1320.0","5.8967"
"1340.0","5.9769"
"1360.0","5.9264"
"1380.0","6.0199"
"1400.0","5.8274"
"1420.0","5.8999"
"1440.0","5.9052"
"1460.0","5.9830"
"1480.0","5.7482"
"1500.0","5.8624"
"1520.0","5.8425"
"1540.0","5.9531"
"1560.0","6.0242"
"1580.0","5.8587"
"1600.0","5.9558"
"1620.0","6.1912"
"1640.0","6.0571"
"1660.0","6.0525"
"1680.0","5.9475"
"1700.0","6.2226"
"1720.0","6.0222"
"1740.0","6.1651"
"1760.0","6.2544"
"1780.0","6.1187"
"1800.0","6.0972"
"1820.0","6.0798"
"1840.0","6.1877"
"1860.0","5.9345"
"1880.0","5.9228"
"1900.0","6.0207"
"1920.0","5.9156"
"1940.0","6.1113"
"1960.0","6.0499"
"1980.0","6.0053"
"2000.0","5.8555"
"2020.0","5.9411"
"2040.0","5.8943"
"2060.0","6.1050"
"2080.0","5.8551"
"2100.0","5.8963"
"2120.0","5.7133"
"2140.0","5.7591"
"2160.0","5.8029"
"2180.0","5.7408"
"2200.0","5.9331"
"2220.0","5.7478"
"2240.0","5.7637"
"2260.0","5.8403"
"2280.0","5.7986"
"2300.0","5.7890"
"2320.0","5.7860"
"2340.0","5.9081"
"2360.0","6.0715"
"2380.0","5.9963"
"2400.0","5.8120"
"2420.0","5.9357"
"2440.0","5.9306"
"2460.0","5.9524"
"2480.0","5.9853"
"2500.0","5.8892"
"2520.0","5.7237"
"2540.0","5.8104"
"2560.0","5.7956"
"2580.0","5.8450"
"2600.0","5.6830"
"2620.0","5.8035"
"2640.0","5.8791"
"2660.0","5.9431"
"2680.0","5.9411"
"2700.0","5.8297"
"2720.0","5.8684"
"2740.0","6.0525"
"2760.0","5.9216"
"2780.0","5.9395"
"2800.0","5.9748"
"2820.0","5.8786"
"2840.0","5.8817"
"2860.0","5.9226"
"2880.0","5.8671"
"2900.0","5.9746"
"2920.0","5.7994"
"2940.0","6.0140"
"2960.0","5.9931"
"2980.0","5.9931"
"3000.0","5.9541"
"3020.0","5.8967"
"3040.0","5.8007"
"3060.0","5.9851"
"3080.0","5.9210"
"3100.0","6.0335"
"3120.0","5.8469"
"3140.0","6.0517"
"3160.0","6.0459"
"3180.0","6.0770"
"3200.0","5.9608"
"3220.0","5.8003"
"3240.0","5.9883"
"3260.0","5.8982"
"3280.0","5.9547"
"3300.0","5.9105"
"3320.0","5.9323"
"3340.0","5.9125"
"3360.0","6.0425"
"3380.0","5.9673"
"3400.0","5.8921"
"3420.0","5.8273"
"3440.0","5.8326"
"3460.0","5.8566"
"3480.0","5.6842"
"3500.0","5.6687"
"3520.0","5.7324"
"3540.0","5.6384"
"3560.0","5.8786"
"3580.0","6.1554"
"3600.0","6.3504"
"3620.0","6.6901"
"3640.0","7.0490"
"3660.0","6.2700"
"3680.0","5.7224"
"3700.0","5.6411"
"3720.0","4.6199"
"3740.0","5.6329"
"3760.0","6.9752"
"3780.0","5.8903"
"3800.0","5.4133"
"3820.0","5.7538"
"3840.0","5.5918"
"3860.0","6.1627"
"3880.0","6.7326"
"3900.0","6.7851"
"3920.0","5.9781"
"3940.0","5.4085"
"3960.0","5.9684"
"3980.0","6.3693"
"4000.0","6.1141"
"4020.0","6.2233"
"4040.0","6.1788"
"4060.0","6.9734"
"4080.0","6.9504"
"4100.0","6.3850"
"4120.0","5.7697"
"4140.0","5.2287"
"4160.0","3.1539"
"4180.0","6.3083"
"4200.0","8.1237"
"4220.0","6.1828"
"4240.0","6.5146"
"4260.0","5.8332"
"4280.0","6.4070"
"4300.0","8.2385"
"4320.0","5.7691"
"4340.0","5.3982"
"4360.0","3.3036"
"4380.0","5.2452"
"4400.0","5.7988"
"4420.0","5.9466"
"4440.0","5.9939"
"4460.0","6.8693"
"4480.0","5.9796"
"4500.0","5.7268"
"4520.0","4.0721"
"4540.0","3.9736"
"4560.0","5.5463"
"4580.0","6.0315"
"4600.0","6.2748"
"4620.0","6.2315"
"4640.0","9.4260"
"4660.0","5.9832"
"4680.0","5.5912"
"4700.0","3.1241"
"4720.0","4.0948"
"4740.0","5.5856"
"4760.0","6.1642"
"4780.0","6.4491"
"4800.0","6.7825"
"4820.0","6.2373"
"4840.0","5.9543"
"4860.0","5.5393"
"4880.0","1.1548"
"4900.0","4.7125"
"4920.0","6.1080"
"4940.0","6.2742"
"4960.0","6.2373"
"4980.0","8.4502"
"5000.0","5.9943"
"5020.0","5.7502"
"5040.0","5.3192"
"5060.0","3.6087"
"5080.0","5.7999"
"5100.0","6.1105"
"5120.0","6.4044"
"5140.0","6.5948"
"5160.0","8.9786"
"5180.0","6.1288"
"5200.0","5.9197"
"5220.0","5.7835"
"5240.0","1.4172"
"5260.0","5.2465"
"5280.0","6.1337"
"5300.0","6.3926"
"5320.0","6.8571"
"5340.0","6.8321"
"5360.0","6.0771"
"5380.0","5.7281"
"5400.0","6.0439"
"5420.0","3.1469"
"5440.0","5.6901"
"5460.0","6.2712"
"5480.0","6.2963"
"5500.0","6.6364"
"5520.0","8.3109"
"5540.0","5.9358"
"5560.0","5.7155"
"5580.0","1.4433"
"5600.0","4.3183"
"5620.0","6.0557"
"5640.0","6.2212"
"5660.0","5.7716"
"5680.0","5.3253"
"5700.0","5.3519"
"5720.0","5.5623"
"5740.0","5.8001"
"5760.0","5.7566"
"5780.0","5.8225"
"5800.0","5.6761"
"5820.0","5.5876"
"5840.0","5.6776"
"5860.0","5.7161"
"5880.0","5.7161"
"5900.0","5.7362"
"5920.0","5.7867"
"5940.0","5.7444"
"5960.0","5.7897"
"5980.0","5.7216"
"6000.0","5.8073"
"6020.0","5.7909"
"6040.0","5.8205"
"6060.0","5.7262"
"6080.0","5.8449"
"6100.0","5.8403"
"6120.0","5.7912"
"6140.0","5.8071"
"6160.0","6.2945"
"6180.0","6.2972"
"6200.0","6.6291"
"6220.0","6.4681"
"6240.0","6.3965"
"6260.0","6.1993"
"6280.0","5.8876"
"6300.0","5.7588"
"6320.0","5.7090"
"6340.0","5.6629"
"6360.0","5.8588"
"6380.0","5.7986"
"6400.0","5.8642"
"6420.0","5.8029"
"6440.0","5.8970"
"6460.0","5.9119"
"6480.0","5.9432"
"6500.0","5.8992"
"6520.0","5.9504"
"6540.0","6.0033"
"6560.0","6.0280"
"6580.0","6.0387"
"6600.0","6.0410"
"6620.0","5.8814"
"6640.0","5.8856"
"6660.0","5.8842"
"6680.0","5.9393"
"6700.0","6.0934"
"6720.0","5.9676"
"6740.0","5.9153"
"6760.0","5.9875"
"6780.0","6.0537"
"6800.0","5.9355"
"6820.0","5.9891"
"6840.0","5.9758"
"6860.0","6.0775"
"6880.0","6.0096"
"6900.0","5.9594"
"6920.0","5.9285"
"6940.0","5.9709"
"6960.0","6.0453"
"6980.0","6.0471"
"7000.0","6.1282"
"7020.0","5.9656"
"7040.0","6.0102"
"7060.0","5.9614"
"7080.0","5.9649"
"7100.0","5.9760"
"7120.0","6.1111"
"7140.0","5.9644"
"7160.0","6.1493"
"7180.0","6.0805"
"7200.0","6.0522"
"7220.0","6.0908"
"7240.0","6.0600"
"7260.0","6.0490"
"7280.0","6.0277"
"7300.0","6.0309"
"7320.0","6.1274"
"7340.0","6.0666"
"7360.0","6.1610"
"7380.0","6.2411"
"7400.0","6.0327"
"7420.0","6.0289"
"7440.0","6.3292"
"7460.0","6.1489"
"7480.0","6.0847"
"7500.0","6.0075"
"7520.0","6.1023"
"7540.0","6.2289"
"7560.0","6.2630"
"7580.0","6.1743"
"7600.0","6.0892"
"7620.0","6.0427"
"7640.0","6.0130"
"7660.0","6.1621"
"7680.0","6.1410"
"7700.0","6.2617"
"7720.0","6.2442"
"7740.0","6.2879"
"7760.0","6.1060"
"7780.0","6.2008"
"7800.0","6.1264"
"7820.0","6.2097"
"7840.0","6.2171"
"7860.0","6.2617"
"7880.0","6.2847"
"7900.0","6.2689"
"7920.0","6.0781"
"7940.0","6.1330"
"7960.0","6.1764"
"7980.0","6.2052"
"8000.0","5.9970"
"8020.0","6.0029"
"8040.0","6.1456"
"8060.0","6.1080"
"8080.0","6.1749"
"8100.0","6.1499"
"8120.0","6.2001"
"8140.0","6.1722"
"8160.0","6.1061"
"8180.0","6.1380"
"8200.0","6.0122"
"8220.0","6.2342"
"8240.0","6.1363"
"8260.0","6.0625"
"8280.0","6.1639"
"8300.0","6.2179"
"8320.0","6.0859"
"8340.0","6.0587"
"8360.0","6.1197"
"8380.0","5.9899"
"8400.0","6.1246"
"8420.0","5.9782"
"8440.0","6.0738"
"8460.0","6.0436"
"8480.0","6.1231"
"8500.0","5.9952"
"8520.0","6.1740"
"8540.0","6.1953"
"8560.0","6.1438"
"8580.0","5.8919"
"8600.0","6.0440"
"8620.0","6.0738"
"8640.0","6.1086"
"8660.0","6.0854"
"8680.0","6.1097"
"8700.0","5.9149"
"8720.0","5.9205"
"8740.0","5.8970"
"8760.0","6.0024"
"8780.0","6.0316"
"8800.0","5.8632"
"8820.0","5.8009"
"8840.0","5.9562"
"8860.0","5.8615"
"8880.0","5.9066"
"8900.0","5.8934"
"8920.0","5.9257"
"8940.0","5.9537"
"8960.0","5.9900"
"8980.0","5.9031"
"9000.0","5.8684"
"9020.0","5.8787"
"9040.0","6.0133"
"9060.0","5.8457"
"9080.0","5.8833"
"9100.0","5.8337"
"9120.0","5.8026"
"9140.0","5.7494"
"9160.0","5.9098"
"9180.0","5.9598"
"9200.0","5.9431"
"9220.0","5.9770"
"9240.0","5.9756"
"9260.0","5.8389"
"9280.0","5.7451"
"9300.0","5.9287"
"9320.0","5.8987"
"9340.0","5.9663"
"9360.0","5.9264"
"9380.0","5.8386"
"9400.0","5.9527"
"9420.0","5.9232"
"9440.0","5.8523"
"9460.0","5.9258"
"9480.0","5.9446"
"9500.0","5.8895"
"9520.0","5.9655"
"9540.0","5.9479"
"9560.0","5.8558"
"9580.0","5.7905"
"9600.0","5.9309"
"9620.0","6.0790"
"9640.0","5.9987"
"9660.0","5.8411"
"9680.0","5.8681"
"9700.0","5.8698"
"9720.0","5.7284"
"9740.0","5.7122"
"9760.0","5.7351"
"9780.0","5.9226"
"9800.0","5.8705"
"9820.0","5.9841"
"9840.0","6.0385"
"9860.0","5.7507"
"9880.0","5.8454"
"9900.0","5.9410"
"9920.0","5.8612"
"9940.0","5.9467"
"9960.0","5.9221"
"9980.0","5.9923"
"10000.0","6.0304"
