Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","4.6365","4.6365","4.6365"
"40.0","5.4898","5.4898","4.7916"
"60.0","6.3950","6.3950","5.0831"
"80.0","4.5779","4.5779","4.9913"
"100.0","5.3490","5.3490","5.0563"
"120.0","5.5593","5.5593","5.1478"
"140.0","5.5427","5.5427","5.2196"
"160.0","6.7804","6.7804","5.5034"
"180.0","4.5123","4.5123","5.3232"
"200.0","6.0847","5.4928","5.4616"
"220.0","6.6053","5.6896","5.6696"
"240.0","4.8198","5.6226","5.5151"
"260.0","4.9428","5.4774","5.4110"
"280.0","5.3122","5.5508","5.3930"
"300.0","5.3625","5.5522","5.3875"
"320.0","6.3785","5.6341","5.5677"
"340.0","3.9756","5.4774","5.2782"
"360.0","4.6189","5.2612","5.1583"
"380.0","4.8383","5.2938","5.1001"
"400.0","5.2199","5.2074","5.1219"
"420.0","5.8546","5.1323","5.2551"
"440.0","3.4430","4.9946","4.9256"
"460.0","3.9340","4.8937","4.7453"
"480.0","4.0475","4.7673","4.6185"
"500.0","4.0837","4.6394","4.5212"
"520.0","4.9580","4.4973","4.6007"
"540.0","2.8301","4.3828","4.2787"
"560.0","3.0595","4.2269","4.0571"
"580.0","3.2529","4.0683","3.9109"
"600.0","3.3152","3.8779","3.8025"
"620.0","4.2262","3.7150","3.8796"
"640.0","2.3042","3.6011","3.5931"
"660.0","2.5578","3.4635","3.4049"
"680.0","2.7544","3.3342","3.2866"
"700.0","3.0225","3.2281","3.2386"
"720.0","4.1447","3.1467","3.4033"
"740.0","2.1906","3.0828","3.1828"
"760.0","2.5777","3.0346","3.0728"
"780.0","2.9303","3.0023","3.0469"
"800.0","3.5240","3.0232","3.1336"
"820.0","4.4813","3.0487","3.3787"
"840.0","2.4381","3.0621","3.2077"
"860.0","2.6716","3.0735","3.1102"
"880.0","3.1510","3.1132","3.1176"
"900.0","4.0040","3.2113","3.2788"
"920.0","4.8269","3.2796","3.5603"
"940.0","2.4090","3.3014","3.3509"
"960.0","3.1053","3.3542","3.3063"
"980.0","3.3037","3.3915","3.3058"
"1000.0","3.1007","3.3492","3.2685"
"1020.0","3.6348","3.2645","3.3351"
"1040.0","1.1679","3.1375","2.9411"
"1060.0","1.6469","3.0350","2.7058"
"1080.0","2.0509","2.9250","2.5867"
"1100.0","2.9037","2.8150","2.6443"
"1120.0","0.9723","2.4295","2.3403"
"1140.0","1.2061","2.3092","2.1341"
"1160.0","1.6125","2.1600","2.0393"
"1180.0","2.0305","2.0326","2.0377"
"1200.0","2.5794","1.9805","2.1362"
"1220.0","0.7714","1.6942","1.8881"
"1240.0","1.0850","1.6859","1.7421"
"1260.0","1.2483","1.6460","1.6523"
"1280.0","1.8123","1.6222","1.6814"
"1300.0","2.4870","1.5805","1.8279"
"1320.0","0.3963","1.5229","1.5676"
"1340.0","0.8783","1.4901","1.4422"
"1360.0","0.9871","1.4276","1.3595"
"1380.0","1.6663","1.3912","1.4153"
"1400.0","2.2454","1.3577","1.5662"
"1420.0","0.2281","1.3034","1.3229"
"1440.0","0.4901","1.2439","1.1715"
"1460.0","0.5794","1.1770","1.0638"
"1480.0","1.4348","1.1393","1.1313"
"1500.0","1.7676","1.0673","1.2470"
"1520.0","-0.1519","1.0125","0.9926"
"1540.0","0.3247","0.9572","0.8712"
"1560.0","0.6384","0.9223","0.8289"
"1580.0","0.6852","0.8242","0.8027"
"1600.0","1.3978","0.7394","0.9109"
"1620.0","0.2582","0.7424","0.7923"
"1640.0","2.4616","0.9396","1.0958"
"1660.0","3.5934","1.2410","1.5499"
"1680.0","2.8764","1.3851","1.7911"
"1700.0","2.1635","1.4247","1.8588"
"1720.0","0.2021","1.4601","1.5576"
"1740.0","1.2988","1.5575","1.5105"
"1760.0","1.9594","1.6896","1.5921"
