Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","6.4974","6.4974","6.4974"
"40.0","5.9908","5.9908","6.4053"
"60.0","5.2930","5.2930","6.2031"
"80.0","5.2002","5.2002","6.0207"
"100.0","5.3803","5.3803","5.9043"
"120.0","6.2720","6.2720","5.9711"
"140.0","5.9571","5.9571","5.9686"
"160.0","5.0831","5.0831","5.8076"
"180.0","4.7752","4.7752","5.6199"
"200.0","5.1587","5.5608","5.5361"
"220.0","5.8951","5.5006","5.6013"
"240.0","5.7017","5.4717","5.6196"
"260.0","5.0890","5.4513","5.5231"
"280.0","4.3787","5.3691","5.3150"
"300.0","4.5996","5.2910","5.1849"
"320.0","5.5861","5.2224","5.2579"
"340.0","5.2337","5.1501","5.2535"
"360.0","4.5939","5.1012","5.1336"
"380.0","3.6226","4.9859","4.8589"
"400.0","3.7639","4.8464","4.6598"
"420.0","4.7065","4.7276","4.6683"
"440.0","4.3761","4.5950","4.6151"
"460.0","3.8001","4.4661","4.4670"
"480.0","2.8659","4.3149","4.1759"
"500.0","2.9901","4.1539","3.9603"
"520.0","3.9983","3.9951","3.9672"
"540.0","3.8000","3.8517","3.9368"
"560.0","2.9826","3.6906","3.7633"
"580.0","2.2741","3.5558","3.4925"
"600.0","2.5688","3.4363","3.3246"
"620.0","3.7539","3.3410","3.4026"
"640.0","3.6431","3.2677","3.4464"
"660.0","2.6300","3.1507","3.2979"
"680.0","2.3115","3.0952","3.1186"
"700.0","2.8949","3.0857","3.0779"
"720.0","3.6789","3.0538","3.1872"
"740.0","3.6524","3.0390","3.2718"
"760.0","2.8309","3.0238","3.1916"
"780.0","2.6103","3.0575","3.0859"
"800.0","2.9794","3.0985","3.0665"
"820.0","3.9751","3.1206","3.2317"
"840.0","3.8588","3.1422","3.3457"
"860.0","3.4942","3.2286","3.3727"
"880.0","2.7652","3.2740","3.2623"
"900.0","3.0414","3.2887","3.2221"
"920.0","4.0969","3.3305","3.3812"
"940.0","3.8570","3.3509","3.4677"
"960.0","2.2609","3.2939","3.2483"
"980.0","2.2630","3.2592","3.0691"
"1000.0","2.3311","3.1944","2.9349"
"1020.0","1.4399","2.9408","2.6631"
"1040.0","0.8819","2.6431","2.3392"
"1060.0","1.3311","2.4268","2.1560"
"1080.0","2.1229","2.3626","2.1499"
"1100.0","1.8294","2.2414","2.0917"
"1120.0","1.1428","1.9460","1.9192"
"1140.0","0.6143","1.6217","1.6819"
"1160.0","0.9955","1.4952","1.5571"
"1180.0","1.8694","1.4558","1.6139"
"1200.0","1.6205","1.3848","1.6151"
"1220.0","0.8210","1.3229","1.4707"
"1240.0","0.4138","1.2761","1.2786"
"1260.0","0.7110","1.2141","1.1754"
"1280.0","1.4882","1.1506","1.2322"
"1300.0","1.3056","1.0982","1.2456"
"1320.0","0.6260","1.0465","1.1329"
"1340.0","0.0931","0.9944","0.9439"
"1360.0","0.2605","0.9209","0.8196"
"1380.0","1.0343","0.8374","0.8586"
"1400.0","1.0089","0.7762","0.8860"
"1420.0","0.7995","0.7741","0.8702"
"1440.0","1.6271","0.8954","1.0078"
"1460.0","2.7194","1.0963","1.3190"
"1480.0","3.2683","1.2743","1.6735"
"1500.0","2.0243","1.3461","1.7372"
"1520.0","0.7549","1.3590","1.5586"
"1540.0","0.9120","1.4409","1.4411"
"1560.0","1.7790","1.5928","1.5025"
"1580.0","2.8266","1.7720","1.7432"
"1600.0","2.7498","1.9461","1.9263"
"1620.0","2.0463","2.0708","1.9481"
"1640.0","1.6500","2.0731","1.8939"
"1660.0","2.2964","2.0308","1.9671"
"1680.0","3.5839","2.0623","2.2611"
"1700.0","3.8097","2.2409","2.5426"
"1720.0","3.0543","2.4708","2.6356"
"1740.0","2.6908","2.6487","2.6457"
"1760.0","3.4563","2.8164","2.7931"
"1780.0","4.8016","3.0139","3.1583"
"1800.0","4.9564","3.2346","3.4852"
"1820.0","4.4995","3.4799","3.6696"
"1840.0","4.0589","3.7208","3.7404"
"1860.0","4.6936","3.9605","3.9137"
"1880.0","5.8281","4.1849","4.2618"
"1900.0","5.9533","4.3993","4.5693"
"1920.0","5.6950","4.6634","4.7740"
"1940.0","4.9851","4.8928","4.8124"
"1960.0","5.3668","5.0838","4.9132"
"1980.0","6.2196","5.2256","5.1507"
"2020.0","5.5615","5.4559","5.3811"
"2040.0","4.7780","5.5278","5.2714"
"2060.0","5.3043","5.5889","5.2774"
"2080.0","6.4279","5.6489","5.4866"
"2100.0","6.1735","5.6709","5.6115"
"2120.0","5.4780","5.6492","5.5872"
"2140.0","4.9037","5.6410","5.4629"
"2160.0","5.1078","5.6151","5.3984"
"2180.0","6.2836","5.6215","5.5593"
"2200.0","6.2360","5.6254","5.6823"
"2220.0","5.2335","5.5926","5.6007"
"2240.0","4.4542","5.5603","5.3923"
"2260.0","4.9767","5.5275","5.3167"
"2280.0","5.8399","5.4687","5.4119"
"2300.0","5.7978","5.4311","5.4820"
"2320.0","4.8199","5.3653","5.3616"
"2340.0","4.1957","5.2945","5.1497"
"2360.0","4.7624","5.2600","5.0793"
"2380.0","5.4296","5.1746","5.1430"
"2400.0","4.8687","5.0379","5.0931"
"2420.0","4.4693","4.9614","4.9797"
"2440.0","3.6529","4.8813","4.7384"
"2460.0","4.0286","4.7865","4.6094"
"2480.0","4.7679","4.6793","4.6382"
"2500.0","4.1910","4.5186","4.5569"
"2520.0","3.5206","4.3887","4.3685"
"2540.0","2.6666","4.2358","4.0591"
"2560.0","3.0147","4.0610","3.8692"
"2580.0","3.9204","3.9101","3.8785"
"2600.0","3.6136","3.7846","3.8303"
"2620.0","3.1059","3.6482","3.6986"
"2640.0","2.4227","3.5252","3.4666"
"2660.0","2.8196","3.4043","3.3490"
"2680.0","3.6790","3.2954","3.4090"
"2700.0","3.6350","3.2398","3.4501"
"2720.0","2.8164","3.1694","3.3349"
"2740.0","2.5168","3.1544","3.1861"
"2760.0","2.9930","3.1522","3.1510"
"2780.0","4.0127","3.1615","3.3077"
"2800.0","3.7585","3.1759","3.3896"
"2820.0","3.2183","3.1872","3.3585"
"2840.0","2.8568","3.2306","3.2673"
"2860.0","2.9790","3.2465","3.2148"
"2880.0","3.9191","3.2705","3.3429"
"2900.0","3.9005","3.2971","3.4443"
"2920.0","3.3231","3.3478","3.4222"
"2940.0","3.0677","3.4029","3.3578"
"2960.0","3.2368","3.4272","3.3358"
"2980.0","3.8808","3.4141","3.4349"
"3000.0","3.3740","3.3756","3.4238"
"3020.0","2.4222","3.2960","3.2417"
"3040.0","1.4056","3.1509","2.9079"
"3060.0","1.5614","3.0091","2.6631"
"3080.0","2.7438","2.8916","2.6777"
"3100.0","2.4058","2.7421","2.6283"
"3120.0","1.9853","2.6083","2.5114"
"3140.0","1.0461","2.4062","2.2450"
"3160.0","1.3903","2.2215","2.0896"
"3180.0","2.2087","2.0543","2.1112"
"3200.0","2.0514","1.9221","2.1004"
"3220.0","1.4142","1.8213","1.9756"
"3240.0","0.8242","1.7631","1.7663"
"3260.0","1.0508","1.7121","1.6362"
"3280.0","1.9932","1.6370","1.7011"
"3300.0","1.9252","1.5889","1.7418"
"3320.0","0.9373","1.4841","1.5956"
"3340.0","0.5139","1.4309","1.3989"
"3360.0","0.8182","1.3737","1.2933"
"3380.0","1.7406","1.3269","1.3746"
"3400.0","1.7288","1.2946","1.4390"
"3420.0","0.7309","1.2263","1.3103"
"3440.0","0.1807","1.1620","1.1049"
"3460.0","0.5526","1.1121","1.0045"
"3480.0","1.1867","1.0315","1.0376"
"3500.0","1.3070","0.9697","1.0866"
"3520.0","0.9980","0.9757","1.0705"
"3540.0","0.1686","0.9412","0.9065"
"3560.0","0.4073","0.9001","0.8157"
"3580.0","1.1202","0.8381","0.8711"
"3600.0","1.8863","0.8538","1.0557"
"3620.0","2.9395","1.0747","1.3982"
"3640.0","2.5481","1.3114","1.6073"
"3660.0","1.8251","1.4387","1.6469"
"3680.0","1.6574","1.4857","1.6488"
"3700.0","1.6582","1.5209","1.6505"
"3720.0","1.9455","1.6156","1.7041"
"3740.0","1.3175","1.7305","1.6338"
"3760.0","1.7614","1.8659","1.6570"
"3780.0","2.9318","2.0471","1.8888"
"3800.0","3.0867","2.1671","2.1066"
"3820.0","2.5594","2.1291","2.1889"
"3840.0","2.1235","2.0867","2.1770"
"3860.0","2.7156","2.1757","2.2750"
"3880.0","4.0006","2.4100","2.5887"
"3900.0","4.2297","2.6672","2.8871"
"3920.0","3.5590","2.8285","3.0092"
"3940.0","3.3117","3.0279","3.0642"
"3960.0","3.7816","3.2300","3.1947"
"3980.0","4.9535","3.4321","3.5144"
"4020.0","4.6936","3.8650","3.9917"
"4040.0","4.5967","4.1123","4.1017"
"4060.0","4.9338","4.3342","4.2530"
"4080.0","6.0010","4.5342","4.5708"
"4100.0","6.2807","4.7393","4.8817"
"4120.0","5.9062","4.9740","5.0680"
"4140.0","5.1314","5.1560","5.0795"
"4160.0","5.2472","5.3026","5.1100"
"4180.0","6.0747","5.4147","5.2854"
"4200.0","6.1181","5.4983","5.4368"
"4220.0","5.8650","5.6155","5.5146"
"4240.0","5.0202","5.6578","5.4248"
"4260.0","5.1971","5.6842","5.3834"
"4280.0","6.2230","5.7064","5.5360"
"4300.0","6.1810","5.6964","5.6533"
"4320.0","5.6746","5.6732","5.6572"
"4340.0","5.0333","5.6634","5.5437"
"4360.0","5.1001","5.6487","5.4631"
"4380.0","6.1357","5.6548","5.5854"
"4400.0","6.0638","5.6494","5.6724"
"4420.0","5.4012","5.6030","5.6231"
"4440.0","4.5989","5.5609","5.4369"
"4460.0","4.9909","5.5403","5.3558"
"4480.0","5.7820","5.4962","5.4333"
"4500.0","5.6858","5.4466","5.4792"
"4520.0","4.8468","5.3639","5.3642"
"4540.0","4.0036","5.2609","5.1168"
"4560.0","4.4748","5.1984","5.0001"
"4580.0","5.0973","5.0945","5.0178"
"4600.0","4.7485","4.9630","4.9688"
"4620.0","3.9195","4.8148","4.7780"
"4640.0","3.2939","4.6843","4.5082"
"4660.0","3.6443","4.5497","4.3511"
"4680.0","4.4451","4.4160","4.3682"
"4700.0","4.2994","4.2773","4.3557"
"4720.0","3.4613","4.1388","4.1931"
"4740.0","2.4882","3.9872","3.8831"
"4760.0","2.7945","3.8192","3.6852"
"4780.0","3.6903","3.6785","3.6861"
"4800.0","3.5547","3.5591","3.6622"
"4820.0","3.0028","3.4675","3.5423"
"4840.0","2.3312","3.3712","3.3221"
"4860.0","2.5914","3.2659","3.1893"
"4880.0","3.7333","3.1947","3.2882"
"4900.0","3.7695","3.1417","3.3757"
"4920.0","3.0214","3.0977","3.3113"
"4940.0","2.4493","3.0938","3.1546"
"4960.0","2.9403","3.1084","3.1156"
"4980.0","3.8687","3.1263","3.2525"
"5000.0","3.8749","3.1583","3.3657"
"5020.0","3.4314","3.2011","3.3776"
"5040.0","2.8918","3.2572","3.2893"
"5060.0","3.1207","3.3101","3.2586"
"5080.0","4.2380","3.3606","3.4367"
"5100.0","4.1994","3.4036","3.5754"
"5120.0","3.4074","3.4422","3.5448"
"5140.0","2.6075","3.4580","3.3744"
"5160.0","2.5879","3.4228","3.2314"
"5180.0","3.0215","3.3380","3.1932"
"5200.0","2.7345","3.2240","3.1098"
"5220.0","1.7362","3.0545","2.8601"
"5240.0","1.1866","2.8840","2.5558"
"5260.0","1.6340","2.7353","2.3882"
"5280.0","2.4142","2.5529","2.3929"
"5300.0","2.3372","2.3667","2.3828"
"5320.0","1.7096","2.1969","2.2604"
"5340.0","0.9109","2.0273","2.0150"
"5360.0","1.2078","1.8892","1.8683"
"5380.0","2.0832","1.7954","1.9073"
"5400.0","1.9042","1.7124","1.9068"
"5420.0","1.4340","1.6822","1.8208"
"5440.0","0.8414","1.6476","1.6427"
"5460.0","1.3026","1.6145","1.5809"
"5480.0","2.0658","1.5797","1.6690"
"5500.0","1.7205","1.5180","1.6784"
"5520.0","1.2193","1.4690","1.5949"
"5540.0","0.5511","1.4330","1.4051"
"5560.0","0.8891","1.4011","1.3113"
"5580.0","1.6894","1.3617","1.3801"
"5600.0","1.4059","1.3119","1.3848"
"5620.0","0.7274","1.2413","1.2652"
"5640.0","0.3048","1.1876","1.0906"
"5660.0","0.5030","1.1076","0.9838"
"5680.0","1.2913","1.0302","1.0397"
"5700.0","1.1310","0.9712","1.0563"
"5720.0","0.5096","0.9002","0.9569"
"5740.0","0.0018","0.8453","0.7832"
"5760.0","0.3710","0.7935","0.7083"
"5780.0","2.6778","0.8924","1.0664"
"5800.0","4.0536","1.1571","1.6095"
"5820.0","2.7084","1.3552","1.8093"
"5840.0","0.6919","1.3939","1.6061"
"5860.0","0.7491","1.4185","1.4503"
"5880.0","1.9020","1.4796","1.5324"
"5900.0","2.4860","1.6151","1.7058"
"5920.0","2.3952","1.8037","1.8311"
"5940.0","1.5922","1.9627","1.7877"
"5960.0","1.8492","2.1105","1.7989"
"5980.0","3.0241","2.1452","2.0216"
"6020.0","2.9764","2.0859","2.3695"
"6040.0","2.3657","2.2533","2.3688"
"6060.0","3.0279","2.4811","2.4886"
"6080.0","4.4090","2.7318","2.8378"
"6100.0","4.5790","2.9411","3.1544"
"6120.0","3.9829","3.0999","3.3050"
"6140.0","3.7315","3.3138","3.3825"
"6160.0","4.4373","3.5727","3.5743"
