Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","5.1567","5.1567","5.1567"
"40.0","4.9361","4.9361","5.1166"
"60.0","5.2744","5.2744","5.1453"
"80.0","5.9035","5.9035","5.2832"
"100.0","5.4950","5.4950","5.3217"
"120.0","4.7206","4.7206","5.2124"
"140.0","4.2752","4.2752","5.0420"
"160.0","4.3716","4.3716","4.9201"
"180.0","4.9064","4.9064","4.9176"
"200.0","4.6998","4.9739","4.8780"
"220.0","3.5893","4.8172","4.6437"
"240.0","3.3634","4.6599","4.4109"
"260.0","3.2883","4.4613","4.2068"
"280.0","2.5828","4.1292","3.9115"
"300.0","2.4748","3.8272","3.6503"
"320.0","2.9578","3.6509","3.5244"
"340.0","3.6251","3.5859","3.5427"
"360.0","3.4935","3.4981","3.5338"
"380.0","2.6152","3.2690","3.3668"
"400.0","2.5903","3.0581","3.2256"
"420.0","3.2481","3.0239","3.2297"
"440.0","3.8280","3.0704","3.3385"
"460.0","3.7879","3.1204","3.4202"
"480.0","3.2574","3.1878","3.3906"
"500.0","2.9019","3.2305","3.3017"
"520.0","3.3723","3.2720","3.3146"
"540.0","3.9163","3.3011","3.4240"
"560.0","3.7026","3.3220","3.4746"
"580.0","2.8651","3.3470","3.3638"
"600.0","2.2165","3.3096","3.1552"
"620.0","2.0933","3.1941","2.9621"
"640.0","2.5522","3.0666","2.8876"
"660.0","2.0991","2.8977","2.7442"
"680.0","1.5252","2.7245","2.5226"
"700.0","1.2496","2.5592","2.2912"
"720.0","1.5505","2.3770","2.1565"
"740.0","2.1596","2.2014","2.1570"
"760.0","1.7751","2.0086","2.0876"
"780.0","1.0919","1.8313","1.9066"
"800.0","0.7880","1.6885","1.7032"
"820.0","1.3040","1.6095","1.6306"
"840.0","1.8779","1.5421","1.6756"
"860.0","1.5737","1.4896","1.6571"
"880.0","0.8562","1.4227","1.5115"
"900.0","0.6192","1.3596","1.3492"
"920.0","0.8249","1.2871","1.2539"
"940.0","1.3710","1.2082","1.2752"
"960.0","1.3810","1.1688","1.2944"
"980.0","0.5819","1.1178","1.1649"
"1000.0","0.2940","1.0684","1.0065"
"1020.0","0.4889","0.9869","0.9124"
"1040.0","1.1067","0.9098","0.9477"
"1060.0","0.9581","0.8482","0.9496"
"1080.0","0.0531","0.7679","0.7866"
"1100.0","-0.0573","0.7002","0.6332"
"1120.0","0.2123","0.6390","0.5566"
"1140.0","0.6328","0.5651","0.5705"
"1160.0","0.4971","0.4767","0.5571"
"1180.0","0.2320","0.4418","0.4980"
"1200.0","0.1531","0.4277","0.4353"
"1220.0","0.6332","0.4421","0.4713"
"1240.0","1.3641","0.4678","0.6336"
"1260.0","1.0224","0.4743","0.7043"
"1280.0","0.7164","0.5406","0.7065"
"1300.0","0.6047","0.6068","0.6880"
"1320.0","1.0424","0.6898","0.7524"
"1340.0","2.0894","0.8355","0.9955"
"1360.0","2.0769","0.9934","1.1921"
"1380.0","1.7703","1.1473","1.2972"
"1400.0","1.6298","1.2949","1.3577"
"1420.0","2.1391","1.4455","1.4998"
"1440.0","3.2039","1.6295","1.8096"
"1460.0","3.4103","1.8683","2.1006"
"1480.0","3.0001","2.0967","2.2642"
"1500.0","2.8948","2.3257","2.3788"
"1520.0","3.3792","2.5594","2.5607"
"1540.0","4.5546","2.8059","2.9232"
"1560.0","4.7174","3.0699","3.2495"
"1580.0","4.5168","3.3446","3.4799"
"1600.0","4.3366","3.6153","3.6356"
"1620.0","4.5546","3.8568","3.8027"
"1640.0","5.8081","4.1172","4.1673"
"1660.0","5.8203","4.3582","4.4679"
"1680.0","5.4646","4.6047","4.6491"
"1700.0","5.4792","4.8631","4.8000"
"1720.0","5.8757","5.1128","4.9956"
