Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"1.0","0.3692","0.3692","0.3692","0.0000"
"2.0","0.4628","0.4628","0.4160","0.0000"
"3.0","0.3124","0.3124","0.3642","0.0000"
"4.0","0.1541","0.1541","0.2592","0.0000"
"5.0","-0.1945","-0.1945","0.0324","0.0000"
"6.0","-0.5356","-0.5356","-0.2516","0.0000"
"7.0","-0.7452","-0.7452","-0.4984","0.0000"
"8.0","-0.7287","-0.7287","-0.6136","0.0000"
"9.0","-0.6673","-0.6673","-0.6405","0.0000"
"10.0","-0.7508","-0.2324","-0.6956","0.0000"
"11.0","-0.7954","-0.3488","-0.7455","0.0000"
"12.0","-0.7254","-0.4677","-0.7355","0.0000"
"13.0","-0.6368","-0.5626","-0.6861","0.0000"
"14.0","-0.6811","-0.6461","-0.6836","0.0000"
"15.0","-0.5686","-0.6835","-0.6261","0.0000"
"16.0","-0.2917","-0.6591","-0.4589","0.0000"
"17.0","0.0279","-0.5818","-0.2155","0.0000"
"18.0","0.2112","-0.4878","-0.0022","0.0000"
"19.0","0.2271","-0.3984","0.1125","0.0000"
"20.0","0.1222","-0.3111","0.1173","0.0000"
"21.0","-0.1805","-0.2496","-0.0316","0.0000"
"22.0","-0.4254","-0.2196","-0.2285","0.0000"
"23.0","-0.7239","-0.2283","-0.4762","0.0000"
"24.0","-0.8254","-0.2427","-0.6508","0.0000"
"25.0","-0.7638","-0.2622","-0.7073","0.0000"
"26.0","-0.8094","-0.3140","-0.7583","0.0000"
"27.0","-0.8098","-0.3978","-0.7840","0.0000"
"28.0","-0.7183","-0.4907","-0.7511","0.0000"
"29.0","-0.7110","-0.5845","-0.7311","0.0000"
"30.0","-0.6600","-0.6627","-0.6956","0.0000"
"31.0","-0.5472","-0.6994","-0.6214","0.0000"
"32.0","0.2319","-0.6337","-0.1947","0.0000"
"33.0","0.4040","-0.5209","0.1046","0.0000"
"34.0","0.3954","-0.3988","0.2500","0.0000"
"35.0","0.2315","-0.2993","0.2408","0.0000"
"36.0","-0.1698","-0.2353","0.0355","0.0000"
"37.0","-0.4235","-0.1967","-0.1940","0.0000"
"38.0","-0.6115","-0.1860","-0.4027","0.0000"
"39.0","-0.6499","-0.1799","-0.5263","0.0000"
"40.0","-0.5914","-0.1730","-0.5589","0.0000"
"41.0","-0.5693","-0.1753","-0.5641","0.0000"
"42.0","-0.5807","-0.2565","-0.5724","0.0000"
"43.0","-0.5807","-0.3550","-0.5765","0.0000"
"44.0","-0.5571","-0.4502","-0.5668","0.0000"
"45.0","-0.3851","-0.5119","-0.4759","0.0000"
"46.0","-0.3483","-0.5297","-0.4121","0.0000"
"47.0","-0.2870","-0.5161","-0.3496","0.0000"
"48.0","-0.0484","-0.4598","-0.1990","0.0000"
"49.0","0.3576","-0.3590","0.0793","0.0000"
"50.0","0.4991","-0.2500","0.2892","0.0000"
"51.0","0.5001","-0.1430","0.3946","0.0000"
"52.0","0.4128","-0.0437","0.4037","0.0000"
"53.0","0.0985","0.0242","0.2511","0.0000"
"54.0","-0.2481","0.0551","0.0015","0.0000"
"55.0","-0.3286","0.0608","-0.1635","0.0000"
"56.0","-0.3764","0.0580","-0.2700","0.0000"
"57.0","-0.4438","0.0423","-0.3569","0.0000"
"58.0","-0.4460","0.0025","-0.4014","0.0000"
"59.0","-0.5143","-0.0847","-0.4579","0.0000"
"60.0","-0.4096","-0.1755","-0.4337","0.0000"
"61.0","-0.3621","-0.2618","-0.3979","0.0000"
"62.0","-0.3161","-0.3346","-0.3570","0.0000"
"63.0","-0.2205","-0.3665","-0.2887","0.0000"
"64.0","-0.0188","-0.3436","-0.1538","0.0000"
"65.0","0.2405","-0.2867","0.0434","0.0000"
"66.0","0.5292","-0.1961","0.2863","0.0000"
"67.0","0.5507","-0.0967","0.4185","0.0000"
"68.0","0.5048","-0.0016","0.4617","0.0000"
"69.0","0.1828","0.0681","0.3223","0.0000"
"70.0","-0.0998","0.0991","0.1112","0.0000"
"71.0","-0.2717","0.1081","-0.0802","0.0000"
"72.0","-0.4025","0.0995","-0.2414","0.0000"
"73.0","-0.4493","0.0766","-0.3453","0.0000"
"74.0","-0.5420","0.0243","-0.4437","0.0000"
"75.0","-0.5143","-0.0512","-0.4790","0.0000"
"76.0","-0.3841","-0.1425","-0.4316","0.0000"
"77.0","-0.1924","-0.2169","-0.3120","0.0000"
"78.0","-0.1814","-0.2855","-0.2467","0.0000"
"79.0","-0.3133","-0.3351","-0.2800","0.0000"
"80.0","-0.0719","-0.3323","-0.1759","0.0000"
"81.0","0.2178","-0.2833","0.0209","0.0000"
"82.0","0.4918","-0.1939","0.2564","0.0000"
"83.0","0.5971","-0.0893","0.4267","0.0000"
"84.0","0.5251","0.0174","0.4759","0.0000"
"85.0","0.3306","0.1019","0.4033","0.0000"
"86.0","-0.0294","0.1374","0.1869","0.0000"
"87.0","-0.2706","0.1296","-0.0418","0.0000"
"88.0","-0.4891","0.0988","-0.2655","0.0000"
"89.0","-0.4891","0.0812","-0.3773","0.0000"
"90.0","-0.4468","0.0438","-0.4120","0.0000"
"91.0","-0.4522","-0.0232","-0.4321","0.0000"
"92.0","-0.5119","-0.1236","-0.4720","0.0000"
"93.0","-0.4003","-0.2234","-0.4361","0.0000"
"94.0","-0.4258","-0.3184","-0.4310","0.0000"
"95.0","-0.3778","-0.3893","-0.4044","0.0000"
"96.0","-0.3496","-0.4213","-0.3770","0.0000"
"97.0","-0.3211","-0.4264","-0.3491","0.0000"
"98.0","-0.0578","-0.3832","-0.2034","0.0000"
"99.0","0.2782","-0.3065","0.0374","0.0000"
"100.0","0.4295","-0.2189","0.2335","0.0000"
"101.0","0.4550","-0.1281","0.3442","0.0000"
"102.0","0.3171","-0.0453","0.3307","0.0000"
"103.0","-0.0026","-0.0055","0.1640","0.0000"
"104.0","-0.2983","0.0073","-0.0671","0.0000"
"105.0","-0.5298","-0.0079","-0.2984","0.0000"
"106.0","-0.5503","-0.0280","-0.4244","0.0000"
"107.0","-0.4434","-0.0402","-0.4339","0.0000"
"108.0","-0.5301","-0.0875","-0.4820","0.0000"
"109.0","-0.5316","-0.1684","-0.5068","0.0000"
"110.0","-0.4107","-0.2525","-0.4587","0.0000"
"111.0","-0.4265","-0.3406","-0.4426","0.0000"
"112.0","-0.4425","-0.4166","-0.4425","0.0000"
"113.0","-0.4798","-0.4643","-0.4612","0.0000"
"114.0","-0.1188","-0.4463","-0.2900","0.0000"
"115.0","0.0684","-0.3865","-0.1108","0.0000"
"116.0","0.3061","-0.3009","0.0977","0.0000"
"117.0","0.3955","-0.2170","0.2466","0.0000"
"118.0","0.2211","-0.1419","0.2338","0.0000"
"119.0","-0.0199","-0.0907","0.1070","0.0000"
"120.0","-0.2845","-0.0781","-0.0888","0.0000"
"121.0","-0.5719","-0.0926","-0.3303","0.0000"
"122.0","-0.6729","-0.1157","-0.5016","0.0000"
"123.0","-0.7959","-0.1473","-0.6488","0.0000"
"124.0","-0.8037","-0.2158","-0.7263","0.0000"
"125.0","-0.7314","-0.2958","-0.7288","0.0000"
"126.0","-0.6742","-0.3938","-0.7015","0.0000"
"127.0","-0.6162","-0.4950","-0.6588","0.0000"
"128.0","-0.5866","-0.5757","-0.6227","0.0000"
"129.0","-0.4616","-0.6199","-0.5422","0.0000"
"130.0","-0.3697","-0.6284","-0.4559","0.0000"
"131.0","0.0101","-0.5702","-0.2229","0.0000"
"132.0","0.2848","-0.4744","0.0310","0.0000"
"133.0","0.3873","-0.3561","0.2091","0.0000"
"134.0","0.3873","-0.2370","0.2982","0.0000"
"135.0","0.3787","-0.1260","0.3385","0.0000"
"136.0","0.1280","-0.0458","0.2332","0.0000"
"137.0","-0.2510","-0.0093","-0.0089","0.0000"
"138.0","-0.5094","-0.0015","-0.2591","0.0000"
"139.0","-0.6050","-0.0159","-0.4321","0.0000"
"140.0","-0.5927","-0.0382","-0.5124","0.0000"
"141.0","-0.6822","-0.1074","-0.5973","0.0000"
"142.0","-0.6769","-0.2036","-0.6371","0.0000"
"143.0","-0.5354","-0.2959","-0.5862","0.0000"
"144.0","-0.5526","-0.3899","-0.5694","0.0000"
"145.0","-0.5330","-0.4810","-0.5512","0.0000"
"146.0","-0.5250","-0.5463","-0.5381","0.0000"
"147.0","-0.4142","-0.5626","-0.4761","0.0000"
"148.0","-0.0613","-0.5178","-0.2687","0.0000"
"149.0","0.1301","-0.4443","-0.0693","0.0000"
"150.0","0.2916","-0.3559","0.1111","0.0000"
