Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","3.2816","3.2816","3.2816"
"40.0","3.1682","3.1682","3.2610"
"60.0","2.4438","2.4438","3.1124"
"80.0","2.4458","2.4458","2.9912"
"100.0","3.9605","3.9605","3.1675"
"120.0","4.4426","4.4426","3.3993"
"140.0","4.1774","4.1774","3.5408"
"160.0","3.5786","3.5786","3.5477"
"180.0","3.9543","3.9543","3.6216"
"200.0","5.2305","3.6684","3.9141"
"220.0","5.7909","3.9193","4.2554"
"240.0","5.3745","4.1399","4.4589"
"260.0","4.7607","4.3716","4.5137"
"280.0","5.2265","4.6497","4.6433"
"300.0","6.1854","4.8722","4.9237"
"320.0","6.2467","5.0526","5.1643"
"340.0","5.7839","5.2132","5.2769"
"360.0","4.9377","5.3491","5.2152"
"380.0","5.4397","5.4977","5.2560"
"400.0","6.0914","5.5837","5.4079"
"420.0","6.1291","5.6176","5.5391"
"440.0","5.8138","5.6615","5.5890"
"460.0","4.9955","5.6850","5.4811"
"480.0","5.1991","5.6822","5.4298"
"500.0","6.1271","5.6764","5.5566"
"520.0","6.1057","5.6623","5.6564"
"540.0","5.4718","5.6311","5.6229"
"560.0","4.8504","5.6224","5.4824"
"580.0","5.1109","5.5895","5.4149"
"600.0","6.0765","5.5880","5.5352"
"620.0","5.8163","5.5567","5.5863"
"640.0","5.0974","5.4851","5.4974"
"660.0","4.5336","5.4389","5.3222"
"680.0","4.7993","5.3989","5.2271"
"700.0","5.0677","5.2930","5.1981"
"720.0","5.2844","5.2108","5.2138"
"740.0","4.6015","5.1238","5.1025"
"760.0","3.9775","5.0365","4.8979"
"780.0","3.7740","4.9028","4.6936"
"800.0","4.4304","4.7382","4.6457"
"820.0","4.5007","4.6066","4.6194"
"840.0","4.0617","4.5031","4.5180"
"860.0","3.0664","4.3564","4.2540"
"880.0","3.2652","4.2029","4.0743"
"900.0","3.6844","4.0646","4.0034"
"920.0","3.6165","3.8978","3.9330"
"940.0","3.0642","3.7441","3.7751"
"960.0","2.2858","3.5749","3.5043"
"980.0","2.5942","3.4570","3.3388"
"1000.0","2.6570","3.2796","3.2149"
"1020.0","2.5575","3.0853","3.0953"
"1040.0","2.9154","2.9707","3.0626"
"1060.0","3.3633","3.0004","3.1173"
"1080.0","3.5757","3.0314","3.2006"
"1100.0","3.2242","2.9854","3.2049"
"1120.0","2.7257","2.8963","3.1178"
"1140.0","3.0139","2.8913","3.0989"
"1160.0","3.6356","3.0263","3.1965"
"1180.0","3.6914","3.1360","3.2865"
"1200.0","3.0891","3.1792","3.2506"
"1220.0","2.0685","3.1303","3.0357"
"1240.0","1.5288","2.9916","2.7617"
"1260.0","2.2365","2.8789","2.6662"
"1280.0","2.2342","2.7448","2.5876"
"1300.0","2.0251","2.6249","2.4854"
"1320.0","1.0114","2.4534","2.2174"
"1340.0","1.1568","2.2677","2.0245"
"1360.0","1.9484","2.0990","2.0107"
"1380.0","2.0624","1.9361","2.0201"
"1400.0","1.3582","1.7630","1.8998"
"1420.0","0.6762","1.6238","1.6773"
"1440.0","0.8788","1.5588","1.5321"
"1460.0","1.6692","1.5021","1.5571"
"1480.0","1.6855","1.4472","1.5804"
"1500.0","1.1683","1.3615","1.5055"
"1520.0","0.7048","1.3309","1.3599"
"1540.0","0.6127","1.2765","1.2240"
"1560.0","1.2725","1.2089","1.2329"
"1580.0","1.3899","1.1416","1.2614"
"1600.0","1.2444","1.1302","1.2583"
"1620.0","0.2028","1.0829","1.0664"
"1640.0","0.5060","1.0456","0.9645"
"1660.0","1.0562","0.9843","0.9812"
"1680.0","1.3924","0.9550","1.0560"
"1700.0","0.6030","0.8985","0.9736"
"1720.0","0.0488","0.8329","0.8055"
"1740.0","0.0833","0.7799","0.6742"
"1760.0","0.7824","0.7309","0.6938"
"1780.0","0.7278","0.6647","0.7000"
"1800.0","0.6501","0.6053","0.6909"
"1820.0","1.0111","0.6861","0.7491"
"1840.0","2.5238","0.8879","1.0718"
"1860.0","3.1381","1.0961","1.4475"
"1880.0","1.9795","1.1548","1.5442"
"1900.0","0.9295","1.1874","1.4324"
"1920.0","0.5006","1.2326","1.2630"
"1940.0","1.4293","1.3672","1.2933"
"1960.0","2.6608","1.5551","1.5419"
"1980.0","2.5414","1.7364","1.7236"
"2000.0","1.9070","1.8621","1.7570"
"2020.0","1.7040","1.9314","1.7473"
"2040.0","2.2405","1.9031","1.8370"
"2060.0","3.1930","1.9086","2.0836"
"2080.0","3.3464","2.0453","2.3132"
"2100.0","3.3956","2.2919","2.5100"
"2120.0","2.6326","2.5051","2.5323"
"2140.0","3.2057","2.6827","2.6547"
