Time [ms],Corrected Value
"20.0","5.7752"
"40.0","5.7689"
"60.0","5.6177"
"80.0","5.7125"
"100.0","5.7161"
"120.0","5.8065"
"140.0","5.6420"
"160.0","5.6531"
"180.0","5.7544"
"200.0","5.7401"
"220.0","5.6783"
"240.0","5.6031"
"260.0","5.8258"
"280.0","5.8394"
"300.0","5.7182"
"320.0","5.8864"
"340.0","5.7550"
"360.0","5.6069"
"380.0","5.7623"
"400.0","5.7937"
"420.0","5.8662"
"440.0","5.7720"
"460.0","5.6713"
"480.0","5.7848"
"500.0","5.6532"
"520.0","5.7522"
"540.0","5.8438"
"560.0","5.8124"
"580.0","5.8912"
"600.0","5.7269"
"620.0","5.6423"
"640.0","5.7550"
"660.0","5.6608"
"680.0","5.7819"
"700.0","5.7922"
"720.0","5.5730"
"740.0","5.6313"
"760.0","5.4733"
"780.0","5.5927"
"800.0","5.7409"
"820.0","5.7901"
"840.0","5.7234"
"860.0","5.7203"
"880.0","5.6953"
"900.0","5.5013"
"920.0","5.7631"
"940.0","5.6690"
"960.0","5.7123"
"980.0","5.7178"
"1000.0","5.6331"
"1020.0","5.5557"
"1040.0","5.7641"
"1060.0","5.6068"
"1080.0","5.6190"
"1100.0","5.6498"
"1120.0","5.6461"
"1140.0","5.5775"
"1160.0","5.5028"
"1180.0","5.6815"
"1200.0","5.7066"
"1220.0","5.6562"
"1240.0","5.6984"
"1260.0","5.5085"
"1280.0","5.4703"
"1300.0","5.6017"
"1320.0","5.5845"
"1340.0","5.5843"
"1360.0","5.6519"
"1380.0","5.7226"
"1400.0","5.7033"
"1420.0","5.6300"
"1440.0","5.8397"
"1460.0","5.8174"
"1480.0","5.7284"
"1500.0","5.6912"
"1520.0","5.7374"
"1540.0","5.6023"
"1560.0","5.7564"
"1580.0","5.6198"
"1600.0","5.6368"
"1620.0","5.6664"
"1640.0","5.7356"
"1660.0","5.6311"
"1680.0","5.5702"
"1700.0","5.7594"
"1720.0","5.5304"
"1740.0","5.7804"
"1760.0","5.7659"
"1780.0","5.7299"
"1800.0","5.4951"
"1820.0","5.7942"
"1840.0","5.8372"
