Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"20.0","10.2329","10.2329","10.2329","0.0000"
"40.0","10.7652","10.7652","10.4990","0.0000"
"60.0","8.7997","8.7997","9.6494","0.0000"
"80.0","8.4307","8.4307","9.0400","0.0000"
"100.0","7.9916","7.9916","8.5158","0.0000"
"120.0","7.9183","7.9183","8.2171","0.0000"
"140.0","8.1574","8.1574","8.1873","0.0000"
"160.0","6.0204","6.0204","7.1039","0.0000"
"180.0","5.5265","5.5265","6.3152","0.0000"
"200.0","4.8858","7.8729","5.6005","0.0000"
"220.0","4.8554","7.3351","5.2279","0.0000"
"240.0","4.6925","6.7278","4.9602","0.0000"
"260.0","8.3264","6.6805","6.6433","0.0000"
"280.0","30.2863","8.8661","18.4648","0.0000"
"300.0","45.6280","12.6297","32.0464","0.0000"
"320.0","21.1642","13.9543","26.6053","-0.0500"
"340.0","21.5556","15.2941","24.0804","-0.0500"
"360.0","25.5490","17.2470","24.8147","-0.0500"
"380.0","31.0764","19.8020","27.9456","-0.0500"
"400.0","38.0599","23.1194","33.0027","-0.0500"
"420.0","37.1429","26.3481","35.0728","-0.0500"
"440.0","37.6828","29.6471","36.3778","-0.0500"
"460.0","37.5665","32.5712","36.9722","-0.0500"
"480.0","38.1558","33.3581","37.5640","-0.0500"
"500.0","40.0036","32.7957","38.7838","-0.0500"
"520.0","36.0197","34.2812","37.4017","-0.0500"
"540.0","33.8112","35.5068","35.6065","-0.0500"
"560.0","32.0104","36.1529","33.8084","-0.0500"
"580.0","31.6789","36.2132","32.7437","-0.0500"
"600.0","34.0159","35.8088","33.3798","-0.0500"
"620.0","31.6285","35.2573","32.5041","-0.0500"
"640.0","31.9859","34.6876","32.2450","-0.0500"
"660.0","32.5495","34.1859","32.3973","-0.0500"
"680.0","34.4178","33.8121","33.4076","-0.0500"
"700.0","36.1242","33.4242","34.7659","-0.0500"
"720.0","32.8242","33.1047","33.7951","-0.0500"
"740.0","32.4920","32.9727","33.1435","-0.0500"
"760.0","33.5542","33.1271","33.3489","-0.0500"
"780.0","36.4459","33.6038","34.8974","-0.0500"
"800.0","39.1147","34.1137","37.0060","-0.0500"
"820.0","36.3721","34.5881","36.6891","-0.0500"
"840.0","36.6151","35.0510","36.6521","-0.0500"
"860.0","37.9098","35.5870","37.2810","-0.0500"
"880.0","40.2963","36.1749","38.7886","-0.0500"
"900.0","42.9570","36.8581","40.8728","-0.0500"
"920.0","39.5727","37.5330","40.2227","-0.0500"
"940.0","39.7407","38.2578","39.9817","-0.0500"
"960.0","39.1411","38.8165","39.5614","-0.0500"
"980.0","33.7550","38.5474","36.6582","-0.0500"
"1000.0","25.7231","37.2083","31.1907","-0.0500"
"1020.0","14.5715","35.0282","22.8811","-0.0500"
"1040.0","12.6758","32.6343","17.7785","-0.0500"
"1060.0","13.7842","30.2217","15.7813","-0.0500"
"1080.0","14.8125","27.6734","15.2969","-0.0500"
"1100.0","15.0817","24.8858","15.1893","-0.0500"
"1120.0","11.1914","22.0477","13.1904","-0.0500"
"1140.0","9.3587","19.0095","11.2746","-0.0500"
"1160.0","9.4808","16.0435","10.3777","-0.0500"
"1180.0","11.7773","13.8457","11.0775","-0.0500"
"1200.0","9.7634","12.2497","10.4205","-0.0500"
"1220.0","9.2814","11.7207","9.8509","-0.0500"
"1240.0","9.6704","11.4202","9.7607","-0.0500"
"1260.0","10.7544","11.1172","10.2575","-0.0500"
"1280.0","12.0308","10.8390","11.1441","-0.0500"
"1300.0","10.4505","10.3759","10.7973","-0.0500"
"1320.0","10.0789","10.2647","10.4381","-0.0500"
"1340.0","9.8527","10.3141","10.1454","-0.0500"
"1360.0","10.1207","10.3780","10.1331","-0.0500"
"1380.0","11.0794","10.3083","10.6062","-0.0500"
"1400.0","8.6685","10.1988","9.6374","-0.0500"
"1420.0","7.7822","10.0488","8.7098","-0.0500"
"1440.0","7.2046","9.8023","7.9572","-0.0500"
"1460.0","7.6278","9.4896","7.7925","-0.0500"
"1480.0","8.3036","9.1169","8.0480","-0.0500"
"1500.0","5.9786","8.6697","7.0133","-0.0500"
"1520.0","5.2367","8.1855","6.1250","-0.0500"
"1540.0","4.6185","7.6621","5.3717","-0.0500"
"1560.0","4.6400","7.1140","5.0059","-0.0500"
"1580.0","4.9273","6.4988","4.9666","-0.0500"
"1600.0","12.1929","6.8512","8.5798","-0.0500"
"1620.0","33.8843","9.4614","21.2321","-0.0500"
"1640.0","45.3227","13.2732","33.2774","-0.0500"
"1660.0","36.3060","16.1411","34.7917","-0.0500"
"1680.0","26.7692","17.9876","30.7804","-0.0500"
"1700.0","20.1503","19.4048","25.4654","-0.0500"
"1720.0","23.4881","21.2299","24.4767","-0.0500"
"1740.0","28.3113","23.5992","26.3940","-0.0500"
"1760.0","28.6202","25.9972","27.5071","-0.0500"
"1780.0","27.3410","28.2386","27.4241","-0.0500"
"1800.0","21.7924","29.1986","24.6082","-0.0500"
"1820.0","22.5288","28.0630","23.5685","-0.0500"
"1840.0","26.8778","26.2185","25.2232","-0.0500"
"1860.0","32.3967","25.8276","28.8100","-0.0500"
"1880.0","38.8542","27.0361","33.8321","-0.0500"
"1900.0","38.1129","28.8324","35.9725","-0.0500"
"1920.0","37.6745","30.2510","36.8235","-0.0500"
"1940.0","37.0318","31.1230","36.9277","-0.0500"
"1960.0","37.7002","32.0310","37.3139","-0.0500"
"1980.0","39.5117","33.2481","38.4128","-0.0500"
"2000.0","34.8564","34.5545","36.6346","-0.0500"
"2020.0","32.7196","35.5736","34.6771","-0.0500"
"2040.0","31.6921","36.0550","33.1846","-0.0500"
"2060.0","31.9783","36.0132","32.5815","-0.0500"
"2080.0","34.2318","35.5509","33.4066","-0.0500"
"2100.0","31.8719","34.9268","32.6393","-0.0500"
"2120.0","32.1300","34.3724","32.3846","-0.0500"
"2140.0","33.2863","33.9978","32.8355","-0.0500"
"2160.0","34.7149","33.6993","33.7752","-0.0500"
"2180.0","36.8626","33.4344","35.3189","-0.0500"
"2200.0","32.9013","33.2389","34.1101","-0.0500"
"2220.0","32.4900","33.2159","33.3000","-0.0500"
"2240.0","33.6290","33.4096","33.4645","-0.0500"
