Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","2.4641","2.4641","2.4641"
"40.0","2.6585","2.6585","2.4680"
"60.0","2.7178","2.7178","2.4729"
"80.0","2.8892","2.8892","2.4810"
"100.0","3.4069","3.4069","2.4992"
"120.0","3.7129","3.7129","2.5230"
"140.0","3.9369","3.9369","2.5507"
"160.0","3.9762","3.9762","2.5786"
"180.0","4.1536","4.1536","2.6095"
"200.0","4.5974","4.5974","2.6485"
"220.0","4.7826","4.7826","2.6904"
"240.0","4.9249","4.9249","2.7342"
"260.0","4.6677","4.6677","2.7721"
"280.0","4.7192","4.7192","2.8103"
"300.0","4.7934","4.7934","2.8491"
"320.0","5.0586","5.0586","2.8925"
"340.0","5.0692","5.0692","2.9351"
"360.0","4.8838","4.8838","2.9734"
"380.0","4.6896","4.6896","3.0070"
"400.0","4.6291","4.6291","3.0388"
"420.0","4.9968","4.9968","3.0772"
"440.0","4.8757","4.8757","3.1125"
"460.0","4.7738","4.7738","3.1450"
"480.0","4.5686","4.5686","3.1730"
"500.0","4.5659","4.5659","3.2003"
"520.0","4.7822","4.7822","3.2313"
"540.0","4.8314","4.8314","3.2627"
"560.0","4.3699","4.3699","3.2844"
"580.0","4.1998","4.1998","3.3023"
"600.0","4.1472","4.1472","3.3189"
"620.0","4.4148","4.4148","3.3404"
"640.0","4.1443","4.1443","3.3561"
"660.0","3.8619","3.8619","3.3661"
"680.0","3.3473","3.3473","3.3657"
"700.0","3.3748","3.3748","3.3659"
"720.0","3.4151","3.4151","3.3668"
"740.0","3.2363","3.2363","3.3643"
"760.0","2.6348","2.6348","3.3500"
"780.0","2.5995","2.5995","3.3353"
"800.0","2.5646","2.5646","3.3201"
"820.0","2.5687","2.5687","3.3054"
"840.0","2.4120","2.4120","3.2879"
"860.0","2.0969","2.0969","3.2645"
"880.0","2.0074","2.0074","3.2399"
"900.0","2.1334","2.1334","3.2182"
"920.0","2.3928","2.3928","3.2020"
"940.0","2.3378","2.3378","3.1851"
"960.0","2.1577","2.1577","3.1649"
"980.0","2.2723","2.2723","3.1474"
"1000.0","2.2692","3.7017","3.1302"
"1020.0","2.4962","3.7023","3.1178"
"1040.0","2.6047","3.7013","3.1077"
"1060.0","2.4397","3.6957","3.0946"
"1080.0","2.4726","3.6874","3.0824"
"1100.0","2.6704","3.6726","3.0743"
"1120.0","2.8875","3.6561","3.0707"
"1140.0","2.7404","3.6322","3.0642"
"1160.0","2.6515","3.6057","3.0561"
"1180.0","2.5358","3.5733","3.0459"
"1200.0","2.4000","3.5294","3.0332"
"1220.0","2.3438","3.4806","3.0197"
"1240.0","1.8224","3.4186","2.9962"
"1260.0","1.1972","3.3492","2.9610"
"1280.0","1.0712","3.2762","2.9239"
"1300.0","1.3167","3.2067","2.8924"
"1320.0","1.3774","3.1330","2.8627"
"1340.0","1.0739","3.0531","2.8276"
"1360.0","0.9331","2.9741","2.7905"
"1380.0","0.8085","2.8965","2.7516"
"1400.0","0.6900","2.8177","2.7112"
"1420.0","0.8750","2.7353","2.6752"
"1440.0","0.7973","2.6537","2.6384"
"1460.0","0.7039","2.5723","2.6004"
"1480.0","0.5511","2.4920","2.5602"
"1500.0","0.4759","2.4102","2.5194"
"1520.0","0.6562","2.3276","2.4828"
"1540.0","0.5615","2.2422","2.4452"
"1560.0","0.3631","2.1621","2.4043"
"1580.0","0.1584","2.0813","2.3603"
"1600.0","0.2032","2.0024","2.3180"
"1620.0","0.3780","1.9217","2.2800"
"1640.0","0.2642","1.8441","2.2404"
"1660.0","0.0887","1.7686","2.1983"
"1680.0","0.0004","1.7017","2.1552"
"1700.0","-0.0504","1.6332","2.1119"
"1720.0","-0.0069","1.5647","2.0704"
"1740.0","-0.0087","1.4998","2.0296"
"1760.0","-0.1758","1.4436","1.9864"
"1780.0","0.5858","1.4033","1.9589"
"1800.0","3.4076","1.4202","1.9873"
"1820.0","2.4182","1.4172","1.9958"
"1840.0","0.3509","1.3760","1.9635"
"1860.0","0.2624","1.3393","1.9301"
"1880.0","1.0642","1.3204","1.9132"
"1900.0","0.8647","1.2950","1.8926"
"1920.0","0.8907","1.2650","1.8730"
"1940.0","1.1625","1.2415","1.8590"
"1960.0","1.5073","1.2285","1.8521"
"1980.0","1.3546","1.2101","1.8424"
"2000.0","1.5584","1.1959","1.8368"
"2020.0","2.0021","1.1860","1.8400"
"2040.0","2.2780","1.1795","1.8486"
"2060.0","2.3037","1.1768","1.8576"
"2080.0","2.3016","1.1733","1.8663"
"2100.0","2.6003","1.1719","1.8807"
"2120.0","3.3560","1.1813","1.9096"
"2140.0","3.5474","1.1975","1.9417"
"2160.0","3.5980","1.2164","1.9742"
"2180.0","3.5983","1.2376","2.0060"
"2200.0","4.0655","1.2709","2.0464"
"2220.0","4.4236","1.3125","2.0930"
"2240.0","4.7228","1.3706","2.1446"
"2260.0","4.7052","1.4407","2.1948"
"2280.0","4.6459","1.5122","2.2429"
"2300.0","4.8147","1.5822","2.2933"
"2320.0","4.8073","1.6508","2.3426"
"2340.0","4.8530","1.7263","2.3918"
"2360.0","4.8703","1.8051","2.4404"
"2380.0","4.6533","1.8820","2.4838"
"2400.0","4.6755","1.9617","2.5268"
"2420.0","5.1363","2.0469","2.5779"
"2440.0","4.9785","2.1305","2.6250"
"2460.0","4.8310","2.2131","2.6683"
"2480.0","4.7548","2.2972","2.7092"
"2500.0","4.6976","2.3816","2.7482"
"2520.0","4.8415","2.4653","2.7892"
"2540.0","4.7502","2.5491","2.8277"
"2560.0","4.6408","2.6346","2.8632"
"2580.0","4.6102","2.7237","2.8975"
"2600.0","4.3703","2.8070","2.9263"
"2620.0","4.5866","2.8912","2.9589"
"2640.0","4.4153","2.9742","2.9874"
"2660.0","4.1408","3.0552","3.0101"
"2680.0","3.8328","3.1319","3.0262"
"2700.0","3.5539","3.2040","3.0365"
"2720.0","3.7748","3.2796","3.0510"
"2740.0","3.7879","3.3555","3.0655"
"2760.0","3.3265","3.4256","3.0706"
"2780.0","2.8223","3.4703","3.0657"
"2800.0","2.9477","3.4611","3.0634"
"2820.0","2.7715","3.4682","3.0577"
"2840.0","2.5068","3.5113","3.0469"
"2860.0","2.4264","3.5546","3.0347"
"2880.0","2.1348","3.5760","3.0171"
"2900.0","2.0979","3.6007","2.9990"
"2920.0","2.2636","3.6281","2.9846"
"2940.0","2.3265","3.6514","2.9717"
"2960.0","2.1761","3.6648","2.9561"
"2980.0","1.8780","3.6752","2.9350"
"3000.0","1.9517","3.6831","2.9157"
"3020.0","2.1833","3.6867","2.9013"
"3040.0","2.4955","3.6911","2.8934"
"3060.0","2.4878","3.6948","2.8854"
"3080.0","2.3232","3.6952","2.8744"
"3100.0","2.3928","3.6911","2.8650"
"3120.0","2.5357","3.6746","2.8585"
"3140.0","2.6251","3.6562","2.8539"
"3160.0","2.6209","3.6367","2.8494"
"3180.0","2.5494","3.6157","2.8435"
"3200.0","2.6227","3.5868","2.8391"
"3220.0","2.8182","3.5547","2.8387"
"3240.0","2.6935","3.5141","2.8359"
"3260.0","2.2353","3.4647","2.8241"
"3280.0","1.3390","3.3986","2.7950"
"3300.0","1.1651","3.3256","2.7630"
"3320.0","1.5218","3.2599","2.7387"
"3340.0","1.3827","3.1905","2.7121"
"3360.0","1.1691","3.1165","2.6819"
"3380.0","0.8201","3.0398","2.6453"
"3400.0","0.8238","2.9628","2.6096"
"3420.0","0.9715","2.8795","2.5775"
"3440.0","0.9571","2.7990","2.5457"
"3460.0","0.6267","2.7149","2.5081"
"3480.0","0.5167","2.6302","2.4691"
"3500.0","0.4825","2.5459","2.4301"
"3520.0","0.6659","2.4624","2.3955"
"3540.0","0.6574","2.3805","2.3614"
"3560.0","0.4567","2.2968","2.3241"
"3580.0","0.2423","2.2095","2.2833"
"3600.0","0.2910","2.1279","2.2442"
"3620.0","0.4612","2.0454","2.2092"
"3640.0","0.5127","1.9673","2.1760"
"3660.0","0.2118","1.8887","2.1375"
"3680.0","0.1691","1.8155","2.0989"
"3700.0","0.1296","1.7470","2.0603"
"3720.0","0.1796","1.6751","2.0234"
"3740.0","0.1235","1.6018","1.9861"
"3760.0","-0.0482","1.5343","1.9462"
"3780.0","-0.1978","1.4739","1.9042"
"3800.0","-0.2662","1.4096","1.8616"
"3820.0","0.8306","1.3708","1.8414"
"3840.0","3.5123","1.3909","1.8742"
"3860.0","2.6655","1.3957","1.8897"
"3880.0","0.1625","1.3563","1.8558"
"3900.0","0.2921","1.3201","1.8252"
"3920.0","1.3337","1.3015","1.8155"
"3940.0","1.2876","1.2808","1.8052"
"3960.0","0.8976","1.2552","1.7874"
"3980.0","0.9656","1.2369","1.7713"
"4000.0","1.4328","1.2266","1.7646"
"4020.0","1.7528","1.2180","1.7644"
"4040.0","1.8895","1.2058","1.7669"
"4060.0","2.0575","1.1972","1.7726"
"4080.0","2.0610","1.1920","1.7782"
"4100.0","2.2415","1.1890","1.7873"
"4120.0","2.7502","1.1932","1.8062"
"4140.0","3.0984","1.2027","1.8315"
"4160.0","3.1546","1.2134","1.8575"
"4180.0","3.2050","1.2265","1.8839"
"4200.0","3.4171","1.2424","1.9139"
"4220.0","4.0434","1.2669","1.9557"
"4240.0","4.4992","1.3030","2.0056"
"4260.0","4.5357","1.3490","2.0552"
"4280.0","4.5839","1.4139","2.1048"
"4300.0","4.5539","1.4817","2.1528"
"4320.0","4.8978","1.5492","2.2066"
"4340.0","4.9452","1.6205","2.2603"
"4360.0","4.6282","1.6896","2.3067"
"4380.0","4.4022","1.7613","2.3478"
"4400.0","4.6598","1.8380","2.3932"
"4420.0","4.9417","1.9174","2.4431"
"4440.0","4.8030","1.9943","2.4894"
"4460.0","4.7265","2.0763","2.5333"
"4480.0","4.5524","2.1570","2.5729"
"4500.0","4.7299","2.2420","2.6152"
"4520.0","4.7572","2.3238","2.6572"
"4540.0","5.0050","2.4108","2.7032"
"4560.0","4.7471","2.4966","2.7433"
"4580.0","4.5407","2.5825","2.7785"
"4600.0","4.4651","2.6660","2.8116"
"4620.0","4.5620","2.7480","2.8459"
"4640.0","4.5313","2.8284","2.8789"
"4660.0","4.4860","2.9139","2.9105"
"4680.0","4.0732","2.9920","2.9333"
"4700.0","4.0702","3.0708","2.9556"
"4720.0","4.0987","3.1492","2.9780"
"4740.0","3.9022","3.2247","2.9961"
"4760.0","3.6919","3.2995","3.0097"
"4780.0","3.4675","3.3729","3.0187"
"4800.0","3.3186","3.4446","3.0246"
"4820.0","3.1027","3.4900","3.0261"
"4840.0","3.0331","3.4804","3.0263"
"4860.0","2.7280","3.4817","3.0204"
"4880.0","2.4751","3.5279","3.0097"
"4900.0","2.4935","3.5719","2.9996"
"4920.0","2.3589","3.5924","2.9870"
"4940.0","2.4865","3.6164","2.9772"
"4960.0","2.3433","3.6453","2.9648"
"4980.0","1.9601","3.6652","2.9451"
"5000.0","2.2156","3.6809","2.9308"
"5020.0","2.3755","3.6933","2.9199"
"5040.0","2.4920","3.7054","2.9115"
"5060.0","2.2347","3.7089","2.8982"
"5080.0","2.2497","3.7127","2.8855"
"5100.0","2.2984","3.7138","2.8740"
"5120.0","2.5252","3.7093","2.8672"
"5140.0","2.7766","3.7029","2.8654"
"5160.0","2.6627","3.6931","2.8614"
"5180.0","2.3793","3.6766","2.8520"
"5200.0","2.5720","3.6596","2.8465"
"5220.0","2.7859","3.6345","2.8453"
"5240.0","2.8127","3.6008","2.8446"
"5260.0","2.6926","3.5639","2.8417"
