Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","3.6405","3.6405","3.6405"
"40.0","3.3807","3.3807","3.5932"
"60.0","3.8006","3.8006","3.6309"
"80.0","4.2906","4.2906","3.7509"
"100.0","4.9846","4.9846","3.9752"
"120.0","5.1015","5.1015","4.1800"
"140.0","4.8748","4.8748","4.3063"
"160.0","4.9128","4.9128","4.4166"
"180.0","5.3482","5.3482","4.5860"
"200.0","5.9879","4.6322","4.8409"
"220.0","5.9225","4.8604","5.0375"
"240.0","5.3784","5.0602","5.0995"
"260.0","5.3958","5.2197","5.1534"
"280.0","5.4809","5.3387","5.2129"
"300.0","6.1668","5.4570","5.3864"
"320.0","6.2098","5.5678","5.5361"
"340.0","5.3565","5.6160","5.5034"
"360.0","5.3115","5.6558","5.4685"
"380.0","5.4200","5.6630","5.4597"
"400.0","6.1452","5.6787","5.5843"
"420.0","6.1496","5.7015","5.6871"
"440.0","5.5300","5.7166","5.6585"
"460.0","5.0709","5.6841","5.5517"
"480.0","5.1738","5.6534","5.4830"
"500.0","6.0387","5.6406","5.5840"
"520.0","5.8824","5.6078","5.6383"
"540.0","4.9324","5.5654","5.5099"
"560.0","4.6250","5.4968","5.3490"
"580.0","4.8797","5.4428","5.2637"
"600.0","5.8888","5.4171","5.3774"
"620.0","5.6171","5.3639","5.4210"
"640.0","4.3558","5.2465","5.2273"
"660.0","4.1576","5.1551","5.0328"
"680.0","4.5880","5.0966","4.9519"
"700.0","5.1149","5.0042","4.9816"
"720.0","4.7126","4.8872","4.9327"
"740.0","3.7325","4.7672","4.7144"
"760.0","3.4729","4.6520","4.4887"
"780.0","3.9357","4.5576","4.3882"
"800.0","4.1995","4.3887","4.3539"
"820.0","3.7497","4.2019","4.2440"
"840.0","2.8823","4.0546","3.9964"
"860.0","2.7326","3.9121","3.7666"
"880.0","3.1011","3.7634","3.6456"
"900.0","3.6245","3.6143","3.6418"
"920.0","3.6620","3.5093","3.6455"
"940.0","3.0850","3.4445","3.5436"
"960.0","3.9756","3.4948","3.6221"
"980.0","3.8390","3.4851","3.6616"
"1000.0","2.9659","3.3618","3.5351"
"1020.0","2.8266","3.2695","3.4063"
