Time [ms],Corrected Value
"20.0","5.6306"
"40.0","5.7281"
"60.0","5.4941"
"80.0","5.7521"
"100.0","5.5673"
"120.0","5.6662"
"140.0","5.6550"
"160.0","5.6998"
"180.0","5.7382"
"200.0","5.8193"
"220.0","5.7300"
"240.0","5.8312"
"260.0","5.5395"
"280.0","5.7604"
"300.0","5.8461"
"320.0","5.7596"
"340.0","5.7176"
"360.0","5.8282"
"380.0","5.7014"
"400.0","5.7315"
"420.0","5.8139"
"440.0","5.6182"
"460.0","5.7157"
"480.0","5.8266"
"500.0","5.7308"
"520.0","5.6102"
"540.0","5.7421"
"560.0","5.8577"
"580.0","5.6375"
"600.0","5.7759"
"620.0","5.7659"
"640.0","5.8702"
"660.0","5.6521"
"680.0","5.5663"
"700.0","5.8588"
"720.0","5.7881"
"740.0","5.7954"
"760.0","5.7808"
"780.0","5.6549"
"800.0","5.8499"
"820.0","5.8240"
"840.0","5.7119"
"860.0","5.7913"
"880.0","5.5599"
"900.0","5.8138"
"920.0","5.6356"
"940.0","5.6996"
"960.0","5.6734"
"980.0","5.7914"
"1000.0","5.8239"
"1020.0","5.6112"
"1040.0","5.6765"
"1060.0","5.5937"
"1080.0","5.7792"
"1100.0","5.5944"
"1120.0","5.7279"
"1140.0","5.6687"
"1160.0","5.5603"
"1180.0","5.6980"
"1200.0","5.7510"
"1220.0","5.9258"
"1240.0","5.6263"
"1260.0","5.6322"
"1280.0","5.7750"
"1300.0","5.6904"
"1320.0","5.5844"
"1340.0","5.5766"
"1360.0","5.7827"
"1380.0","5.6508"
"1400.0","5.6434"
"1420.0","5.7756"
"1440.0","5.5790"
"1460.0","5.7901"
"1480.0","5.6652"
"1500.0","5.8108"
"1520.0","5.7912"
"1540.0","5.5738"
"1560.0","5.6516"
"1580.0","5.7680"
"1600.0","5.6936"
"1620.0","5.8483"
"1640.0","5.7340"
"1660.0","5.7381"
"1680.0","5.6737"
"1700.0","5.8176"
"1720.0","5.7529"
"1740.0","5.6238"
"1760.0","5.6671"
"1780.0","5.7578"
"1800.0","5.8460"
"1820.0","5.8441"
"1840.0","5.8947"
"1860.0","5.7516"
"1880.0","5.8153"
"1900.0","5.7242"
"1920.0","5.7229"
"1940.0","5.7441"
"1960.0","5.8397"
"1980.0","5.8146"
"2000.0","5.9056"
"2020.0","5.7009"
"2040.0","5.6953"
"2060.0","5.8644"
"2080.0","5.7483"
"2100.0","5.7979"
"2120.0","5.8181"
"2140.0","5.7242"
"2160.0","5.7933"
"2180.0","5.7889"
"2200.0","5.7074"
"2220.0","5.9240"
"2240.0","5.9183"
"2260.0","5.9096"
"2280.0","5.7671"
"2300.0","5.7010"
"2320.0","5.7149"
"2340.0","5.7805"
"2360.0","5.7723"
"2380.0","5.6664"
"2400.0","5.6090"
"2420.0","5.6450"
"2440.0","5.5868"
"2460.0","5.7558"
"2480.0","5.8128"
"2500.0","5.8635"
"2520.0","5.7481"
"2540.0","5.8267"
"2560.0","5.9022"
"2580.0","5.7148"
"2600.0","5.8502"
"2620.0","6.2411"
"2640.0","6.1893"
"2660.0","6.3170"
"2680.0","6.0288"
"2700.0","5.9861"
"2720.0","5.8837"
"2740.0","6.0936"
"2760.0","5.8551"
"2780.0","5.8528"
"2800.0","6.0647"
"2820.0","5.8167"
"2840.0","5.8359"
"2860.0","5.9335"
"2880.0","5.4032"
"2900.0","5.6296"
"2920.0","6.0795"
"2940.0","5.8919"
"2960.0","5.6428"
"2980.0","3.4349"
"3000.0","5.2688"
"3020.0","5.8387"
"3040.0","5.7516"
"3060.0","5.7736"
"3080.0","6.0960"
"3100.0","6.6990"
"3120.0","5.6017"
"3140.0","5.5815"
"3160.0","4.0495"
"3180.0","4.6246"
"3200.0","5.7895"
"3220.0","5.8326"
"3240.0","6.1689"
"3260.0","5.9753"
"3280.0","6.9685"
"3300.0","5.7361"
"3320.0","5.5052"
"3340.0","3.0693"
"3360.0","5.4945"
"3380.0","6.1473"
"3400.0","6.1834"
"3420.0","6.1608"
"3440.0","6.4253"
"3460.0","5.8381"
"3480.0","5.7971"
"3500.0","3.0596"
"3520.0","5.5296"
"3540.0","6.1799"
"3560.0","6.1414"
"3580.0","6.2341"
"3600.0","7.5542"
"3620.0","5.7258"
"3640.0","5.6985"
"3660.0","1.8810"
"3680.0","4.9458"
"3700.0","5.9199"
"3720.0","6.4477"
"3740.0","6.2277"
"3760.0","6.5494"
"3780.0","6.1306"
"3800.0","5.6940"
"3820.0","5.4043"
"3840.0","5.9174"
"3860.0","5.6209"
"3880.0","3.3178"
"3900.0","5.0637"
"3920.0","6.0245"
"3940.0","6.3381"
"3960.0","6.2071"
"3980.0","6.0925"
"4000.0","6.1398"
"4020.0","4.6373"
"4040.0","5.3747"
"4060.0","5.8701"
"4080.0","6.0819"
"4100.0","6.3989"
"4120.0","6.4115"
"4140.0","6.4082"
"4160.0","6.3472"
"4180.0","5.8941"
"4200.0","5.6001"
"4220.0","5.4261"
"4240.0","5.4571"
"4260.0","5.4180"
"4280.0","5.6889"
"4300.0","5.7398"
"4320.0","5.5782"
"4340.0","5.5328"
"4360.0","5.7482"
"4380.0","5.7944"
"4400.0","5.6656"
"4420.0","5.7906"
"4440.0","5.7715"
"4460.0","5.6893"
"4480.0","5.8250"
"4500.0","5.6299"
"4520.0","5.5744"
"4540.0","5.7309"
"4560.0","5.4913"
"4580.0","5.7041"
"4600.0","5.7254"
"4620.0","5.8427"
"4640.0","5.8021"
"4660.0","5.6537"
"4680.0","5.7331"
"4700.0","5.7758"
"4720.0","5.6628"
"4740.0","5.7773"
"4760.0","5.8482"
"4780.0","5.6966"
"4800.0","5.7704"
"4820.0","5.7091"
"4840.0","5.7136"
"4860.0","5.5742"
"4880.0","5.7297"
"4900.0","5.7598"
"4920.0","5.5929"
"4940.0","5.6460"
"4960.0","5.5613"
"4980.0","5.5925"
"5000.0","5.5674"
"5020.0","5.5102"
"5040.0","5.6255"
"5060.0","5.5456"
"5080.0","5.4713"
"5100.0","5.6738"
"5120.0","5.5506"
"5140.0","5.6255"
"5160.0","5.5766"
"5180.0","5.6630"
"5200.0","5.5533"
"5220.0","5.6575"
"5240.0","5.5941"
"5260.0","5.6810"
"5280.0","5.7726"
"5300.0","5.6110"
"5320.0","5.5605"
"5340.0","5.6488"
"5360.0","5.6444"
"5380.0","5.6503"
"5400.0","5.5896"
"5420.0","5.5996"
"5440.0","5.8474"
"5460.0","5.6674"
"5480.0","5.6713"
"5500.0","5.6832"
"5520.0","5.7900"
"5540.0","5.8760"
"5560.0","5.8254"
"5580.0","5.6170"
"5600.0","5.5199"
"5620.0","5.7418"
"5640.0","5.8579"
"5660.0","5.7693"
"5680.0","5.8293"
"5700.0","5.8527"
"5720.0","5.8167"
"5740.0","5.7848"
"5760.0","5.7507"
"5780.0","5.7030"
"5800.0","5.8271"
"5820.0","5.8433"
"5840.0","5.6955"
"5860.0","5.6767"
"5880.0","5.8328"
"5900.0","5.8273"
"5920.0","5.8579"
"5940.0","5.7195"
"5960.0","5.7149"
"5980.0","5.9275"
"6000.0","6.0593"
"6020.0","5.8551"
"6040.0","5.6287"
"6060.0","5.8931"
"6080.0","5.6830"
"6100.0","5.8848"
"6120.0","5.8134"
"6140.0","5.6963"
"6160.0","5.7667"
"6180.0","5.6371"
"6200.0","5.8130"
"6220.0","5.7801"
"6240.0","5.7416"
"6260.0","5.8407"
"6280.0","5.8203"
"6300.0","6.0216"
"6320.0","5.8248"
"6340.0","5.8518"
"6360.0","5.7889"
"6380.0","5.8567"
"6400.0","5.7897"
"6420.0","5.5511"
"6440.0","5.6618"
"6460.0","5.6419"
"6480.0","5.7715"
"6500.0","5.7980"
"6520.0","5.6244"
"6540.0","5.5756"
"6560.0","5.5475"
"6580.0","5.6123"
"6600.0","5.6123"
"6620.0","5.6737"
"6640.0","5.6765"
"6660.0","5.4947"
"6680.0","5.6403"
"6700.0","5.6823"
"6720.0","5.6008"
"6740.0","5.7160"
"6760.0","5.5874"
"6780.0","5.5971"
"6800.0","5.7313"
"6820.0","5.8469"
"6840.0","5.8806"
"6860.0","5.7765"
"6880.0","5.7809"
"6900.0","5.7216"
"6920.0","5.7852"
"6940.0","5.9199"
"6960.0","5.9015"
"6980.0","5.5956"
"7000.0","5.5807"
