Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"1.0","-375.0000","-375.0000","-375.0000","-0.0500"
"2.0","-375.0000","-375.0000","-375.0000","-0.0500"
"3.0","-375.0000","-375.0000","-375.0000","-0.0500"
"4.0","-375.0000","-375.0000","-375.0000","-0.0500"
"5.0","-375.0000","-375.0000","-375.0000","-0.0500"
"6.0","-375.0000","-375.0000","-375.0000","-0.0500"
"7.0","-375.0000","-375.0000","-375.0000","-0.0500"
"8.0","-375.0000","-375.0000","-375.0000","-0.0500"
"9.0","-375.0000","-375.0000","-375.0000","-0.0500"
"10.0","-375.0000","-375.0000","-375.0000","-0.0500"
"11.0","-375.0000","-375.0000","-375.0000","-0.0500"
"12.0","-375.0000","-375.0000","-375.0000","-0.0500"
"13.0","-375.0000","-375.0000","-375.0000","-0.0500"
"14.0","-375.0000","-375.0000","-375.0000","-0.0500"
"15.0","-375.0000","-375.0000","-375.0000","-0.0500"
"16.0","-375.0000","-375.0000","-375.0000","-0.0500"
"17.0","-375.0000","-375.0000","-375.0000","-0.0500"
"18.0","-375.0000","-375.0000","-375.0000","-0.0500"
"19.0","-375.0000","-375.0000","-375.0000","-0.0500"
"20.0","-375.0000","-375.0000","-375.0000","-0.0500"
"21.0","-375.0000","-375.0000","-375.0000","-0.0500"
"22.0","-375.0000","-375.0000","-375.0000","-0.0500"
"23.0","-375.0000","-375.0000","-375.0000","-0.0500"
"24.0","-375.0000","-375.0000","-375.0000","-0.0500"
"25.0","-375.0000","-375.0000","-375.0000","-0.0500"
"26.0","-375.0000","-375.0000","-375.0000","-0.0500"
"27.0","-375.0000","-375.0000","-375.0000","-0.0500"
"28.0","-375.0000","-375.0000","-375.0000","-0.0500"
"29.0","-375.0000","-375.0000","-375.0000","-0.0500"
"30.0","-375.0000","-375.0000","-375.0000","-0.0500"
"31.0","-375.0000","-375.0000","-375.0000","-0.0500"
"32.0","-375.0000","-375.0000","-375.0000","-0.0500"
"33.0","-375.0000","-375.0000","-375.0000","-0.0500"
"34.0","-375.0000","-375.0000","-375.0000","-0.0500"
"35.0","-375.0000","-375.0000","-375.0000","-0.0500"
"36.0","-375.0000","-375.0000","-375.0000","-0.0500"
"37.0","-375.0000","-375.0000","-375.0000","-0.0500"
"38.0","-375.0000","-375.0000","-375.0000","-0.0500"
"39.0","-375.0000","-375.0000","-375.0000","-0.0500"
"40.0","-375.0000","-375.0000","-375.0000","-0.0500"
"41.0","-375.0000","-375.0000","-375.0000","-0.0500"
"42.0","-375.0000","-375.0000","-375.0000","-0.0500"
"43.0","-375.0000","-375.0000","-375.0000","-0.0500"
"44.0","-375.0000","-375.0000","-375.0000","-0.0500"
"45.0","-375.0000","-375.0000","-375.0000","-0.0500"
"46.0","-375.0000","-375.0000","-375.0000","-0.0500"
"47.0","-375.0000","-375.0000","-375.0000","-0.0500"
"48.0","-375.0000","-375.0000","-375.0000","-0.0500"
"49.0","-375.0000","-375.0000","-375.0000","-0.0500"
"50.0","-375.0000","-375.0000","-375.0000","-0.0500"
"51.0","-375.0000","-375.0000","-375.0000","-0.0500"
"52.0","-375.0000","-375.0000","-375.0000","-0.0500"
"53.0","-375.0000","-375.0000","-375.0000","-0.0500"
"54.0","-375.0000","-375.0000","-375.0000","-0.0500"
