Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","4.4557","4.4557","4.4557"
"40.0","4.5062","4.5062","4.4649"
"60.0","5.1610","5.1610","4.5915"
"80.0","4.8090","4.8090","4.6310"
"100.0","4.5038","4.5038","4.6079"
"120.0","3.6282","3.6282","4.4298"
"140.0","3.7384","3.7384","4.3041"
"160.0","4.3779","4.3779","4.3175"
"180.0","4.2025","4.2025","4.2966"
"200.0","3.7711","4.3154","4.2010"
"220.0","2.7148","4.1413","3.9308"
"240.0","2.8445","3.9751","3.7333"
"260.0","3.5426","3.8133","3.6986"
"280.0","3.1864","3.6510","3.6055"
"300.0","2.8103","3.4817","3.4609"
"320.0","2.0260","3.3215","3.2000"
"340.0","2.3391","3.1815","3.0435"
"360.0","2.9325","3.0370","3.0233"
"380.0","3.0505","2.9218","3.0283"
"400.0","2.6338","2.8081","2.9565"
"420.0","2.1783","2.7544","2.8150"
"440.0","2.3527","2.7052","2.7310"
"460.0","2.8334","2.6343","2.7496"
"480.0","3.2638","2.6420","2.8431"
"500.0","3.0958","2.6706","2.8890"
"520.0","2.3645","2.7044","2.7937"
"540.0","2.6000","2.7305","2.7585"
"560.0","3.2242","2.7597","2.8431"
"580.0","3.4069","2.7953","2.9456"
"600.0","3.1696","2.8489","2.9864"
"620.0","2.5530","2.8864","2.9076"
"640.0","2.7240","2.9235","2.8742"
"660.0","3.4345","2.9836","2.9761"
"680.0","3.3199","2.9892","3.0386"
"700.0","2.4016","2.9198","2.9228"
"720.0","1.3184","2.8152","2.6311"
"740.0","1.4275","2.6980","2.4122"
"760.0","2.1100","2.5865","2.3573"
"780.0","2.0276","2.4486","2.2973"
"800.0","1.6148","2.2931","2.1732"
"820.0","0.8220","2.1200","1.9275"
"840.0","0.8753","1.9352","1.7362"
"860.0","1.6496","1.7567","1.7205"
"880.0","1.7245","1.5971","1.7212"
"900.0","1.1695","1.4739","1.6209"
"920.0","0.5878","1.4008","1.4330"
"940.0","0.5946","1.3176","1.2806"
"960.0","1.4972","1.2563","1.3200"
"980.0","1.4241","1.1959","1.3389"
"1000.0","0.9164","1.1261","1.2621"
"1020.0","0.3315","1.0770","1.0929"
"1040.0","0.5116","1.0407","0.9872"
"1060.0","1.2124","0.9970","1.0282"
"1080.0","1.1002","0.9345","1.0413"
"1100.0","0.7294","0.8905","0.9846"
"1120.0","0.1457","0.8463","0.8321"
"1140.0","0.2275","0.8096","0.7221"
"1160.0","0.6250","0.7224","0.7045"
"1180.0","0.8477","0.6648","0.7305"
"1200.0","0.3405","0.6072","0.6596"
"1220.0","-0.0293","0.5711","0.5343"
"1240.0","0.1257","0.5325","0.4600"
"1260.0","0.4726","0.4585","0.4623"
"1280.0","0.6270","0.4112","0.4923"
"1300.0","0.4295","0.3812","0.4808"
"1320.0","1.0005","0.4667","0.5753"
"1340.0","2.3472","0.6786","0.8975"
"1360.0","2.0341","0.8195","1.1041"
"1380.0","1.4559","0.8804","1.1681"
"1400.0","1.4439","0.9907","1.2182"
"1420.0","1.0444","1.0981","1.1866"
"1440.0","0.8930","1.1748","1.1332"
"1460.0","1.8309","1.3106","1.2601"
"1480.0","2.2719","1.4751","1.4440"
"1500.0","1.9843","1.6306","1.5423"
"1520.0","1.7237","1.7029","1.5753"
"1540.0","1.9259","1.6608","1.6390"
"1560.0","2.6941","1.7268","1.8308"
"1580.0","3.1370","1.8949","2.0683"
"1600.0","3.1838","2.0689","2.2711"
"1620.0","2.7224","2.2367","2.3532"
"1640.0","2.7628","2.4237","2.4276"
"1660.0","3.9418","2.6348","2.7029"
"1680.0","4.4523","2.8528","3.0210"
"1700.0","4.4992","3.1043","3.2898"
"1720.0","4.0524","3.3372","3.4284"
"1740.0","4.2681","3.5714","3.5811"
"1760.0","5.5465","3.8566","3.9385"
"1780.0","5.9148","4.1344","4.2978"
"1800.0","5.8035","4.3964","4.5716"
"1820.0","5.0491","4.6291","4.6584"
"1840.0","5.2195","4.8747","4.7604"
"1860.0","5.9418","5.0747","4.9752"
"1880.0","5.8484","5.2143","5.1340"
"1900.0","5.6034","5.3247","5.2193"
"1920.0","4.8037","5.3999","5.1437"
"1940.0","5.0239","5.4755","5.1219"
"1960.0","6.0092","5.5217","5.2833"
"1980.0","6.0457","5.5348","5.4219"
"2000.0","5.7364","5.5281","5.4791"
"2020.0","4.9119","5.5144","5.3760"
"2040.0","5.0438","5.4968","5.3156"
"2060.0","5.8014","5.4828","5.4039"
"2080.0","5.9857","5.4965","5.5097"
"2100.0","5.7416","5.5103","5.5518"
"2120.0","4.7929","5.5092","5.4138"
"2140.0","4.9717","5.5040","5.3335"
"2160.0","5.5071","5.4538","5.3650"
"2180.0","5.4575","5.3950","5.3818"
"2200.0","5.0605","5.3274","5.3234"
"2220.0","4.1678","5.2530","5.1133"
"2240.0","4.3942","5.1880","4.9826"
"2260.0","4.8350","5.0914","4.9557"
"2280.0","4.9964","4.9925","4.9631"
"2300.0","4.1783","4.8362","4.8204"
"2320.0","3.3573","4.6926","4.5544"
"2340.0","3.6204","4.5575","4.3846"
"2360.0","4.1266","4.4194","4.3377"
"2380.0","4.2068","4.2943","4.3139"
"2400.0","3.4791","4.1362","4.1621"
"2420.0","2.6736","3.9868","3.8915"
"2440.0","2.5462","3.8020","3.6469"
"2460.0","3.2934","3.6478","3.5826"
"2480.0","3.2129","3.4695","3.5154"
"2500.0","2.6446","3.3161","3.3571"
"2520.0","2.2074","3.2011","3.1480"
"2540.0","2.1746","3.0565","2.9710"
"2560.0","2.6934","2.9132","2.9206"
"2580.0","3.0226","2.7948","2.9391"
"2600.0","2.8308","2.7299","2.9194"
"2620.0","2.1788","2.6805","2.7848"
"2640.0","2.2273","2.6486","2.6834"
"2660.0","2.8190","2.6011","2.7081"
"2680.0","3.3251","2.6124","2.8203"
"2700.0","3.4139","2.6893","2.9282"
"2720.0","2.6476","2.7333","2.8772"
"2740.0","2.6570","2.7816","2.8372"
"2760.0","3.3906","2.8513","2.9378"
"2780.0","3.4976","2.8988","3.0396"
"2800.0","3.4904","2.9647","3.1215"
"2820.0","2.6243","3.0093","3.0311"
"2840.0","2.4726","3.0338","2.9296"
"2860.0","3.0289","3.0548","2.9476"
"2880.0","2.5814","2.9804","2.8811"
"2900.0","2.0780","2.8468","2.7350"
"2920.0","1.1008","2.6922","2.4379"
"2940.0","1.1341","2.5399","2.2008"
"2960.0","1.7187","2.3727","2.1132"
"2980.0","1.9071","2.2136","2.0757"
"3000.0","1.7219","2.0368","2.0114"
"3020.0","0.7071","1.8451","1.7742"
"3040.0","0.9629","1.6941","1.6267"
"3060.0","1.4726","1.5385","1.5987"
"3080.0","1.5705","1.4374","1.5936"
"3100.0","1.2475","1.3543","1.5306"
"3120.0","0.5033","1.2946","1.3439"
"3140.0","0.5944","1.2406","1.2076"
"3160.0","1.1366","1.1824","1.1947"
"3180.0","1.3665","1.1283","1.2259"
"3200.0","0.9246","1.0486","1.1711"
"3220.0","0.3461","1.0125","1.0211"
"3240.0","0.4017","0.9564","0.9085"
"3260.0","0.6208","0.8712","0.8562"
"3280.0","1.1712","0.8313","0.9135"
"3300.0","0.5679","0.7633","0.8506"
"3320.0","0.1790","0.7309","0.7285"
"3340.0","0.2283","0.6943","0.6376"
"3360.0","0.5533","0.6359","0.6223"
"3380.0","0.8612","0.5854","0.6657"
"3400.0","0.4783","0.5408","0.6316"
"3420.0","-0.2633","0.4798","0.4689"
"3440.0","-0.2401","0.4157","0.3400"
"3460.0","0.2649","0.3801","0.3264"
"3480.0","0.6178","0.3247","0.3793"
"3500.0","2.0005","0.4680","0.6741"
"3520.0","1.9089","0.6410","0.8986"
"3540.0","0.8582","0.7040","0.8913"
"3560.0","1.1321","0.7619","0.9350"
"3580.0","1.7443","0.8502","1.0822"
"3600.0","1.6538","0.9677","1.1861"
"3620.0","0.6716","1.0612","1.0926"
"3640.0","0.8863","1.1738","1.0551"
"3660.0","2.0721","1.3546","1.2400"
"3680.0","2.4446","1.5372","1.4590"
"3700.0","2.3925","1.5764","1.6287"
"3720.0","1.5752","1.5431","1.6190"
"3740.0","2.0374","1.6610","1.6951"
"3760.0","3.1199","1.8598","1.9541"
"3780.0","3.5330","2.0386","2.2412"
"3800.0","3.4840","2.2217","2.4672"
"3820.0","3.0071","2.4552","2.5653"
"3840.0","3.2680","2.6934","2.6931"
"3860.0","4.2888","2.9151","2.9832"
"3880.0","4.8757","3.1582","3.3273"
"3900.0","4.8197","3.4009","3.5987"
"3920.0","4.4406","3.6874","3.7517"
"3940.0","4.7650","3.9602","3.9360"
"3960.0","5.3718","4.1854","4.1970"
"3980.0","5.9022","4.4223","4.5071"
"4000.0","5.6399","4.6379","4.7130"
"4020.0","4.9970","4.8369","4.7646"
"4040.0","5.1501","5.0251","4.8347"
"4060.0","5.4541","5.1416","4.9474"
"4080.0","5.8795","5.2420","5.1168"
"4100.0","5.4568","5.3057","5.1787"
"4120.0","4.7283","5.3345","5.0968"
"4140.0","5.1081","5.3688","5.0988"
"4160.0","5.5487","5.3865","5.1806"
"4180.0","5.8935","5.3856","5.3102"
"4200.0","5.6637","5.3880","5.3745"
"4220.0","5.0807","5.3964","5.3211"
"4240.0","5.1700","5.3984","5.2936"
"4260.0","5.5133","5.4043","5.3336"
"4280.0","6.0323","5.4196","5.4606"
"4300.0","5.6166","5.4355","5.4890"
"4320.0","4.8783","5.4505","5.3779"
"4340.0","4.5277","5.3925","5.2233"
"4360.0","5.1944","5.3571","5.2181"
"4380.0","5.4756","5.3153","5.2649"
"4400.0","4.8864","5.2375","5.1961"
"4420.0","4.1754","5.1470","5.0105"
"4440.0","3.9462","5.0246","4.8170"
"4460.0","4.6435","4.9376","4.7854"
"4480.0","4.6234","4.7967","4.7560"
"4500.0","4.3110","4.6662","4.6751"
"4520.0","3.1765","4.4960","4.4026"
"4540.0","3.0695","4.3502","4.1602"
"4560.0","3.8074","4.2115","4.0961"
"4580.0","3.8832","4.0522","4.0574"
"4600.0","3.3319","3.8968","3.9255"
"4620.0","2.5797","3.7372","3.6808"
"4640.0","2.4043","3.5830","3.4487"
"4660.0","3.0879","3.4275","3.3831"
"4680.0","3.1274","3.2779","3.3366"
"4700.0","2.8696","3.1337","3.2517"
"4720.0","2.1267","3.0288","3.0472"
"4740.0","2.0976","2.9316","2.8745"
"4760.0","2.4962","2.8005","2.8057"
"4780.0","3.1010","2.7222","2.8594"
"4800.0","2.8840","2.6774","2.8639"
"4820.0","2.0717","2.6267","2.7199"
"4840.0","2.3619","2.6224","2.6548"
"4860.0","2.8174","2.5954","2.6843"
"4880.0","3.4542","2.6280","2.8243"
"4900.0","3.2539","2.6665","2.9024"
"4920.0","2.3689","2.6907","2.8054"
"4940.0","2.5026","2.7312","2.7504"
"4960.0","3.2326","2.8048","2.8380"
"4980.0","3.7111","2.8658","2.9968"
"5000.0","3.2533","2.9028","3.0434"
"5020.0","2.3519","2.9308","2.9177"
"5040.0","2.0261","2.8972","2.7556"
"5060.0","2.1394","2.8294","2.6435"
"5080.0","2.3588","2.7199","2.5918"
"5100.0","2.0774","2.6022","2.4983"
"5120.0","1.1946","2.4848","2.2612"
"5140.0","0.9126","2.3258","2.0160"
"5160.0","1.5838","2.1609","1.9374"
"5180.0","1.9691","1.9867","1.9432"
"5200.0","1.4251","1.8039","1.8490"
"5220.0","0.6571","1.6344","1.6323"
"5240.0","0.4749","1.4793","1.4219"
"5260.0","1.2662","1.3920","1.3936"
"5280.0","1.6067","1.3168","1.4323"
"5300.0","1.2480","1.2338","1.3988"
"5320.0","0.4028","1.1546","1.2177"
"5340.0","0.6216","1.1255","1.1093"
"5360.0","1.0896","1.0761","1.1057"
"5380.0","0.9646","0.9757","1.0801"
"5400.0","0.8613","0.9193","1.0403"
"5420.0","0.3110","0.8847","0.9077"
"5440.0","0.4913","0.8863","0.8320"
"5460.0","0.3378","0.7935","0.7421"
"5480.0","0.9269","0.7255","0.7757"
"5500.0","0.6246","0.6631","0.7482"
"5520.0","-0.1136","0.6115","0.5916"
"5540.0","-0.1107","0.5383","0.4639"
"5560.0","0.3052","0.4598","0.4350"
"5580.0","0.5372","0.4171","0.4536"
"5600.0","0.5692","0.3879","0.4746"
"5620.0","-0.2501","0.3318","0.3429"
"5640.0","-0.1217","0.2705","0.2584"
"5660.0","0.2752","0.2642","0.2615"
"5680.0","2.2434","0.3959","0.6218"
"5700.0","2.6282","0.5962","0.9866"
"5720.0","0.6927","0.6769","0.9332"
"5740.0","0.4638","0.7343","0.8478"
"5760.0","1.3266","0.8365","0.9349"
"5780.0","2.1635","0.9991","1.1582"
"5800.0","1.7632","1.1185","1.2682"
"5820.0","1.1509","1.2586","1.2469"
"5840.0","1.4168","1.4124","1.2778"
"5860.0","1.9752","1.5824","1.4046"
"5880.0","2.4909","1.6072","1.6021"
"5900.0","2.9903","1.6434","1.8545"
"5920.0","2.4203","1.8161","1.9574"
"5940.0","2.2941","1.9992","2.0186"
"5960.0","2.9088","2.1574","2.1805"
"5980.0","3.9147","2.3325","2.4958"
"6000.0","3.8552","2.5417","2.7429"
"6020.0","3.6075","2.7874","2.9001"
"6040.0","3.4288","2.9886","2.9962"
"6060.0","4.4797","3.2390","3.2660"
"6080.0","5.2384","3.5138","3.6246"
"6100.0","5.5024","3.7650","3.9660"
"6120.0","4.9371","4.0167","4.1426"
"6140.0","4.8163","4.2689","4.2651"
"6160.0","5.2188","4.4999","4.4385"
"6180.0","6.3462","4.7430","4.7853"
"6200.0","6.2559","4.9831","5.0527"
"6220.0","5.1319","5.1355","5.0671"
"6240.0","4.7756","5.2702","5.0141"
"6260.0","5.2751","5.3498","5.0616"
"6280.0","6.1021","5.4361","5.2507"
"6300.0","5.8415","5.4701","5.3582"
"6320.0","5.0615","5.4825","5.3042"
"6340.0","4.9929","5.5001","5.2476"
"6360.0","5.3780","5.5161","5.2713"
"6380.0","5.9465","5.4761","5.3941"
"6400.0","5.8227","5.4328","5.4720"
"6420.0","4.9020","5.4098","5.3684"
"6440.0","4.7034","5.4026","5.2475"
"6460.0","5.3132","5.4064","5.2594"
"6480.0","6.0113","5.3973","5.3961"
"6500.0","5.6457","5.3777","5.4415"
"6520.0","4.3906","5.3106","5.2504"
"6540.0","4.4272","5.2541","5.1007"
"6560.0","4.8868","5.2049","5.0618"
"6580.0","5.4337","5.1537","5.1294"
"6600.0","4.6955","5.0409","5.0505"
"6620.0","4.0030","4.9510","4.8601"
"6640.0","3.9689","4.8776","4.6980"
"6660.0","4.3030","4.7766","4.6262"
"6680.0","4.6939","4.6448","4.6385"
"6700.0","4.2512","4.5054","4.5681"
"6720.0","3.5010","4.4164","4.3741"
"6740.0","2.9372","4.2674","4.1128"
"6760.0","3.2929","4.1080","3.9638"
"6780.0","3.4533","3.9100","3.8709"
"6800.0","3.1542","3.7559","3.7406"
"6820.0","2.3791","3.5935","3.4931"
"6840.0","2.5012","3.4467","3.3127"
"6860.0","2.9088","3.3073","3.2393"
"6880.0","3.1929","3.1572","3.2308"
"6900.0","3.0085","3.0329","3.1904"
