Time [ms],Timestamp,Raw Value,Corrected Value,Temperature Value,LD20 Flow,LD20 Temperature,LD20 Status,Heater Voltage,Thermistor Voltage,Heater Current,Thermistor Current,Series R Voltage
"10.0","11:17:03.172","2212657.0000","1.0651","60924.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"20.0","11:17:03.182","2210466.0000","0.7700","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"30.0","11:17:03.192","2217985.0000","1.7828","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"40.0","11:17:03.202","2208822.0000","0.5858","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"50.0","11:17:03.212","2212632.0000","1.0618","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"60.0","11:17:03.222","2209831.0000","0.6892","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"70.0","11:17:03.232","2207318.0000","0.4317","60930.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"80.0","11:17:03.242","2215147.0000","1.4005","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"90.0","11:17:03.252","2207639.0000","0.4646","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"100.0","11:17:03.262","2211790.0000","0.9483","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"110.0","11:17:03.272","2211378.0000","0.8928","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"120.0","11:17:03.282","2208540.0000","0.5569","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"130.0","11:17:03.292","2215036.0000","1.3856","60935.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"140.0","11:17:03.302","2208648.0000","0.5680","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"150.0","11:17:03.312","2210062.0000","0.7156","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"160.0","11:17:03.322","2210170.0000","0.7301","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"170.0","11:17:03.332","2206730.0000","0.3714","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"180.0","11:17:03.342","2215250.0000","1.4144","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"190.0","11:17:03.352","2207494.0000","0.4497","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"200.0","11:17:03.362","2210410.0000","0.7624","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"210.0","11:17:03.372","2209917.0000","0.6980","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"220.0","11:17:03.382","2207191.0000","0.4186","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"230.0","11:17:03.392","2215255.0000","1.4150","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"240.0","11:17:03.402","2207489.0000","0.4492","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"250.0","11:17:03.412","2209583.0000","0.6638","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"260.0","11:17:03.422","2209562.0000","0.6617","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"270.0","11:17:03.432","2205544.0000","0.2498","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"280.0","11:17:03.442","2214057.0000","1.2537","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"290.0","11:17:03.452","2209065.0000","0.6107","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"300.0","11:17:03.462","2212542.0000","1.0496","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"310.0","11:17:03.472","2217114.0000","1.6655","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"320.0","11:17:03.482","2216001.0000","1.5155","60938.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"330.0","11:17:03.492","2229132.0000","3.2843","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"340.0","11:17:03.502","2228680.0000","3.2234","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"350.0","11:17:03.512","2236342.0000","4.2555","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"360.0","11:17:03.522","2242857.0000","5.1331","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"370.0","11:17:03.532","2243985.0000","5.2851","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"380.0","11:17:03.542","2252452.0000","6.4256","60936.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"390.0","11:17:03.552","2245290.0000","5.4608","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"400.0","11:17:03.562","2243296.0000","5.1923","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"410.0","11:17:03.572","2240245.0000","4.7813","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"420.0","11:17:03.582","2229191.0000","3.2923","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"430.0","11:17:03.592","2231740.0000","3.6356","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"440.0","11:17:03.602","2218152.0000","1.8053","60927.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"450.0","11:17:03.612","2215722.0000","1.4780","60922.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"460.0","11:17:03.622","2212728.0000","1.0747","60922.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"470.0","11:17:03.632","2206358.0000","0.3333","60922.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
