Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
145,36:31.7,2240641,3.4519,,,,,
146,36:31.7,2240634,3.4511,,,,,
147,36:31.7,2241924,3.5917,,,,,
148,36:31.7,2241742,3.5719,,,,,
149,36:31.7,2241557,3.5517,,,,,
150,36:31.7,2242254,3.6277,,,,,
151,36:31.7,2242500,3.6546,,,,,
152,36:31.7,2242744,3.6812,,,,,
153,36:31.7,2242225,3.6246,,,,,
154,36:31.7,2242344,3.6375,,,,,
155,36:31.7,2241917,3.591,,,,,
156,36:31.7,2240648,3.4526,,,,,
157,36:31.7,2240371,3.4225,,,,,
158,36:31.7,2241192,3.512,,,,,
159,36:31.7,2240420,3.4278,,,,,
160,36:31.7,2240122,3.3953,,,,,
161,36:31.7,2240757,3.4645,,,,,
162,36:31.7,2241464,3.5416,,,,,
163,36:31.7,2240824,3.4718,,,,,
164,36:31.7,2241242,3.5174,,,,,
165,36:31.7,2241242,3.5174,,,,,
166,36:31.7,2242662,3.6722,,,,,
167,36:31.7,2241991,3.599,,,,,
168,36:31.7,2241192,3.512,,,,,
169,36:31.7,2242086,3.6094,,,,,
170,36:31.7,2242804,3.6877,,,,,
171,36:31.7,2242884,3.6964,,,,,
172,36:31.7,2243332,3.7453,,,,,
173,36:31.7,2243564,3.7705,,,,,
174,36:31.7,2243677,3.7829,,,,,
175,36:31.7,2244372,3.8586,,,,,
176,36:31.7,2243837,3.8003,,,,,
177,36:31.7,2243409,3.7536,,,,,
178,36:31.7,2243403,3.753,,,,,
179,36:31.7,2243499,3.7635,,,,,
180,36:31.7,2244249,3.8452,,,,,
181,36:31.7,2244609,3.8845,,,,,
182,36:31.7,2243006,3.7097,,,,,
183,36:31.7,2243357,3.748,,,,,
184,36:31.7,2242049,3.6054,,,,,
185,36:31.7,2242265,3.6289,,,,,
186,36:31.7,2241685,3.5657,,,,,
187,36:31.7,2242147,3.6161,,,,,
188,36:31.7,2241930,3.5924,,,,,
189,36:31.7,2241556,3.5516,,,,,
190,36:31.7,2242100,3.6109,,,,,
191,36:31.7,2243027,3.712,,,,,
192,36:31.7,2242482,3.6526,,,,,
193,36:31.7,2242028,3.6031,,,,,
194,36:31.7,2242293,3.632,,,,,
195,36:31.7,2243396,3.7522,,,,,
196,36:31.7,2243739,3.7896,,,,,
197,36:31.7,2242802,3.6875,,,,,
198,36:31.7,2243230,3.7341,,,,,
199,36:31.7,2244304,3.8512,,,,,
200,36:31.7,2243052,3.7147,,,,,
201,36:31.7,2243232,3.7344,,,,,
202,36:31.7,2244060,3.8246,,,,,
203,36:31.7,2244135,3.8328,,,,,
204,36:31.7,2244419,3.8637,,,,,
205,36:31.7,2244108,3.8298,,,,,
206,36:31.7,2243707,3.7861,,,,,
207,36:31.7,2243320,3.7439,,,,,
208,36:31.7,2243038,3.7132,,,,,
209,36:31.7,2243079,3.7177,,,,,
210,36:31.7,2243079,3.7177,,,,,
211,36:31.7,2241470,3.5423,,,,,
212,36:31.7,2241745,3.5722,,,,,
213,36:31.7,2241568,3.5529,,,,,
214,36:31.7,2243002,3.7093,,,,,
215,36:31.7,2242218,3.6238,,,,,
216,36:31.7,2241750,3.5728,,,,,
217,36:31.7,2241822,3.5806,,,,,
218,36:31.7,2242151,3.6165,,,,,
219,36:31.7,2242587,3.664,,,,,
220,36:31.7,2243018,3.711,,,,,
221,36:31.7,2242827,3.6902,,,,,
222,36:31.7,2243485,3.7619,,,,,
223,36:31.7,2244258,3.8462,,,,,
224,36:31.7,2244517,3.8744,,,,,
225,36:31.7,2244559,3.879,,,,,
226,36:31.7,2244988,3.9258,,,,,
227,36:31.7,2243709,3.7863,,,,,
228,36:31.7,2243379,3.7504,,,,,
229,36:31.7,2243063,3.7159,,,,,
230,36:31.7,2243591,3.7735,,,,,
231,36:31.7,2243244,3.7356,,,,,
232,36:31.7,2242836,3.6912,,,,,
233,36:31.7,2242786,3.6857,,,,,
234,36:31.7,2243217,3.7327,,,,,
235,36:31.7,2242423,3.6462,,,,,
236,36:31.7,2241924,3.5917,,,,,
237,36:31.7,2242489,3.6533,,,,,
238,36:31.7,2241549,3.5508,,,,,
239,36:31.7,2241954,3.595,,,,,
240,36:31.8,2242195,3.6213,,,,,
241,36:31.8,2242285,3.6311,,,,,
242,36:31.8,2242718,3.6783,,,,,
243,36:31.8,2241297,3.5234,,,,,
244,36:31.8,2241564,3.5525,,,,,
245,36:31.8,2243361,3.7484,,,,,
246,36:31.8,2243440,3.757,,,,,
247,36:31.8,2244658,3.8898,,,,,
248,36:31.8,2245031,3.9305,,,,,
249,36:31.8,2244743,3.8991,,,,,
250,36:31.8,2243327,3.7447,,,,,
251,36:31.8,2243519,3.7656,,,,,
252,36:31.8,2244804,3.9057,,,,,
253,36:31.8,2245637,3.9965,,,,,
254,36:31.8,2245683,4.0015,,,,,
255,36:31.8,2245168,3.9454,,,,,
256,36:31.8,2245168,3.9454,,,,,
257,36:31.8,2244404,3.8621,,,,,
258,36:31.8,2243986,3.8166,,,,,
259,36:31.8,2244453,3.8674,,,,,
260,36:31.8,2242883,3.6963,,,,,
261,36:31.8,2242661,3.6721,,,,,
262,36:31.8,2242686,3.6748,,,,,
263,36:31.8,2242116,3.6127,,,,,
264,36:31.8,2243331,3.7451,,,,,
265,36:31.8,2243091,3.719,,,,,
266,36:31.8,2242718,3.6783,,,,,
267,36:31.8,2243098,3.7197,,,,,
268,36:31.8,2242102,3.6111,,,,,
269,36:31.8,2242312,3.634,,,,,
270,36:31.8,2243905,3.8077,,,,,
271,36:31.8,2243336,3.7457,,,,,
272,36:31.8,2243021,3.7113,,,,,
273,36:31.8,2244467,3.869,,,,,
274,36:31.8,2244768,3.9018,,,,,
275,36:31.8,2244545,3.8775,,,,,
276,36:31.8,2243569,3.7711,,,,,
277,36:31.8,2243392,3.7518,,,,,
278,36:31.8,2244128,3.832,,,,,
279,36:31.8,2244758,3.9007,,,,,
280,36:31.8,2245324,3.9624,,,,,
281,36:31.8,2244910,3.9173,,,,,
282,36:31.8,2245359,3.9662,,,,,
283,36:31.8,2244153,3.8348,,,,,
284,36:31.8,2244756,3.9005,,,,,
285,36:31.8,2244688,3.893,,,,,
286,36:31.8,2243173,3.7279,,,,,
287,36:31.8,2244089,3.8278,,,,,
288,36:31.8,2244277,3.8483,,,,,
289,36:31.8,2245677,4.0009,,,,,
290,36:31.8,2244902,3.9164,,,,,
291,36:31.8,2244703,3.8947,,,,,
292,36:31.8,2244584,3.8817,,,,,
293,36:31.8,2243900,3.8072,,,,,
294,36:31.8,2243104,3.7204,,,,,
295,36:31.8,2244696,3.8939,,,,,
296,36:31.8,2245558,3.9879,,,,,
297,36:31.8,2245604,3.9929,,,,,
298,36:31.8,2246082,4.045,,,,,
299,36:31.8,2246506,4.0913,,,,,
300,36:31.8,2245678,4.001,,,,,
301,36:31.8,2245678,4.001,,,,,
302,36:31.8,2246552,4.0963,,,,,
303,36:31.8,2246734,4.1161,,,,,
304,36:31.8,2248098,4.2648,,,,,
305,36:31.8,2246728,4.1154,,,,,
306,36:31.8,2246342,4.0734,,,,,
307,36:31.8,2247327,4.1808,,,,,
308,36:31.8,2246316,4.0706,,,,,
309,36:31.8,2246596,4.1011,,,,,
310,36:31.8,2245946,4.0302,,,,,
311,36:31.8,2245779,4.012,,,,,
312,36:31.8,2245419,3.9728,,,,,
313,36:31.8,2245595,3.9919,,,,,
314,36:31.8,2245219,3.9509,,,,,
315,36:31.8,2245960,4.0317,,,,,
316,36:31.8,2245002,3.9273,,,,,
317,36:31.8,2244470,3.8693,,,,,
318,36:31.8,2245553,3.9874,,,,,
319,36:31.8,2244159,3.8354,,,,,
320,36:31.8,2244514,3.8741,,,,,
321,36:31.8,2244533,3.8761,,,,,
322,36:31.8,2245363,3.9667,,,,,
323,36:31.8,2245658,3.9988,,,,,
324,36:31.8,2246041,4.0406,,,,,
325,36:31.8,2246550,4.096,,,,,
326,36:31.8,2246238,4.062,,,,,
327,36:31.8,2245764,4.0104,,,,,
328,36:31.8,2245922,4.0276,,,,,
329,36:31.8,2245709,4.0044,,,,,
330,36:31.8,2245980,4.0339,,,,,
331,36:31.8,2246415,4.0813,,,,,
332,36:31.8,2245566,3.9888,,,,,
333,36:31.8,2245025,3.9298,,,,,
334,36:31.8,2245716,4.0051,,,,,
335,36:31.8,2244928,3.9192,,,,,
336,36:31.8,2245507,3.9824,,,,,
337,36:31.8,2246045,4.041,,,,,
338,36:31.8,2245139,3.9422,,,,,
339,36:31.9,2245518,3.9836,,,,,
340,36:31.9,2245039,3.9313,,,,,
341,36:31.9,2244752,3.9001,,,,,
342,36:31.9,2245120,3.9402,,,,,
343,36:31.9,2245868,4.0217,,,,,
344,36:31.9,2243911,3.8084,,,,,
345,36:31.9,2245274,3.957,,,,,
346,36:31.9,2244716,3.8961,,,,,
347,36:31.9,2244716,3.8961,,,,,
348,36:31.9,2245566,3.9888,,,,,
349,36:31.9,2246458,4.086,,,,,
350,36:31.9,2245269,3.9564,,,,,
351,36:31.9,2245323,3.9623,,,,,
352,36:31.9,2245669,4,,,,,
353,36:31.9,2246723,4.1149,,,,,
354,36:31.9,2247019,4.1472,,,,,
355,36:31.9,2247184,4.1652,,,,,
356,36:31.9,2246924,4.1368,,,,,
357,36:31.9,2247276,4.1752,,,,,
358,36:31.9,2247596,4.2101,,,,,
359,36:31.9,2246839,4.1276,,,,,
360,36:31.9,2245668,3.9999,,,,,
361,36:31.9,2245854,4.0202,,,,,
362,36:31.9,2245523,3.9841,,,,,
363,36:31.9,2245522,3.984,,,,,
364,36:31.9,2245336,3.9637,,,,,
365,36:31.9,2245053,3.9329,,,,,
366,36:31.9,2244871,3.913,,,,,
367,36:31.9,2243996,3.8176,,,,,
368,36:31.9,2243670,3.7821,,,,,
369,36:31.9,2245074,3.9352,,,,,
370,36:31.9,2246023,4.0386,,,,,
