Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","4.4402","4.4402","4.4402"
"40.0","4.4119","4.4119","4.4351"
"60.0","4.5091","4.5091","4.4485"
"80.0","4.2824","4.2824","4.4183"
"100.0","3.7576","3.7576","4.2982"
"120.0","3.6802","3.6802","4.1858"
"140.0","3.5921","3.5921","4.0779"
"160.0","3.4476","3.4476","3.9633"
"180.0","3.0951","3.0951","3.8054"
"200.0","2.7745","3.7991","3.6180"
"220.0","2.8150","3.6365","3.4720"
"240.0","2.6426","3.4596","3.3212"
"260.0","2.6825","3.2770","3.2051"
"280.0","2.5810","3.1068","3.0916"
"300.0","2.1736","2.9484","2.9247"
"320.0","2.0948","2.7899","2.7738"
"340.0","2.2555","2.6562","2.6796"
"360.0","2.5082","2.5623","2.6484"
"380.0","2.4096","2.4937","2.6050"
"400.0","2.3717","2.4534","2.5626"
"420.0","2.4850","2.4204","2.5485"
"440.0","2.5742","2.4136","2.5531"
"460.0","2.6639","2.4117","2.5733"
"480.0","2.7954","2.4332","2.6137"
"500.0","2.0078","2.4166","2.5035"
"520.0","1.6089","2.3680","2.3408"
"540.0","1.2905","2.2715","2.1499"
"560.0","1.2323","2.1439","1.9830"
"580.0","1.0169","2.0046","1.8074"
"600.0","1.0293","1.8704","1.6659"
"620.0","0.8877","1.7107","1.5244"
"640.0","0.9823","1.5515","1.4258"
"660.0","0.7096","1.3560","1.2956"
"680.0","0.6568","1.1422","1.1795"
"700.0","0.7051","1.0119","1.0932"
"720.0","0.7486","0.9259","1.0305"
"740.0","0.6936","0.8662","0.9693"
"760.0","0.4657","0.7896","0.8777"
"780.0","0.6018","0.7480","0.8276"
"800.0","0.5565","0.7008","0.7783"
"820.0","0.5188","0.6639","0.7311"
"840.0","0.3505","0.6007","0.6619"
"860.0","0.3255","0.5623","0.6007"
"880.0","0.2500","0.5216","0.5370"
"900.0","0.2237","0.4735","0.4800"
"920.0","0.3004","0.4287","0.4474"
"940.0","0.0886","0.3682","0.3821"
"960.0","-0.0071","0.3209","0.3114"
"980.0","-0.1275","0.2479","0.2316"
"1000.0","-0.0306","0.1892","0.1839"
"1020.0","-0.1221","0.1251","0.1283"
"1040.0","-0.1311","0.0770","0.0811"
"1060.0","-0.4580","-0.0014","-0.0169"
"1080.0","-0.1214","-0.0385","-0.0359"
"1100.0","2.2971","0.1688","0.3883"
"1120.0","4.0075","0.5395","1.0463"
"1140.0","1.6382","0.6945","1.1539"
"1160.0","0.1567","0.7109","0.9726"
"1180.0","0.6486","0.7885","0.9137"
"1200.0","1.5845","0.9500","1.0357"
"1220.0","1.3780","1.1000","1.0979"
"1240.0","1.1196","1.2251","1.1019"
"1260.0","1.2813","1.3990","1.1345"
"1280.0","1.7957","1.5907","1.2547"
"1300.0","1.8104","1.5421","1.3557"
