Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","0.8874","0.8874","0.8874"
"40.0","1.0178","1.0178","0.9111"
"60.0","0.6716","0.6716","0.8676"
"80.0","0.0365","0.0365","0.7165"
"100.0","0.1454","0.1454","0.6126"
"120.0","0.8018","0.8018","0.6470"
"140.0","0.7426","0.7426","0.6644"
"160.0","0.4037","0.4037","0.6170"
"180.0","-0.3437","-0.3437","0.4423"
"200.0","-0.1628","0.4200","0.3323"
"220.0","0.3684","0.3681","0.3389"
"240.0","0.7872","0.3451","0.4204"
"260.0","2.0712","0.4850","0.7205"
"280.0","1.4158","0.6230","0.8470"
"300.0","0.7228","0.6807","0.8244"
"320.0","1.5965","0.7602","0.9648"
"340.0","2.0662","0.8925","1.1650"
"360.0","1.5309","1.0053","1.2316"
"380.0","0.8796","1.1276","1.1676"
"400.0","1.2107","1.2649","1.1754"
"420.0","2.4861","1.4767","1.4137"
"440.0","2.5343","1.6514","1.6175"
"460.0","2.4356","1.6879","1.7662"
"480.0","1.8865","1.7349","1.7881"
"500.0","2.2514","1.8878","1.8723"
"520.0","3.2000","2.0481","2.1137"
"540.0","3.7174","2.2133","2.4053"
"560.0","3.4124","2.4014","2.5884"
"580.0","3.0899","2.6224","2.6796"
"600.0","3.5376","2.8551","2.8356"
"620.0","4.6207","3.0686","3.1602"
"640.0","5.0570","3.3209","3.5051"
"660.0","4.7624","3.5536","3.7337"
"680.0","4.3815","3.8031","3.8515"
"700.0","4.8658","4.0645","4.0359"
"720.0","5.8120","4.3257","4.3588"
"740.0","6.0809","4.5620","4.6719"
"760.0","5.7470","4.7955","4.8674"
"780.0","5.0819","4.9947","4.9064"
"800.0","5.1482","5.1558","4.9504"
"820.0","5.6820","5.2619","5.0834"
"840.0","6.0782","5.3640","5.2643"
"860.0","5.6313","5.4509","5.3310"
"880.0","5.0010","5.5128","5.2710"
"900.0","5.2483","5.5511","5.2669"
"920.0","5.9288","5.5628","5.3872"
"940.0","5.9717","5.5518","5.4935"
"960.0","5.8246","5.5596","5.5537"
"980.0","4.8001","5.5314","5.4167"
"1000.0","5.1069","5.5273","5.3603"
"1020.0","5.7556","5.5346","5.4322"
"1040.0","5.9584","5.5227","5.5279"
"1060.0","5.5720","5.5167","5.5359"
"1080.0","4.6716","5.4838","5.3788"
"1100.0","4.5406","5.4130","5.2264"
"1120.0","5.4620","5.3663","5.2692"
"1140.0","5.6142","5.3306","5.3319"
"1160.0","5.0225","5.2504","5.2757"
"1180.0","4.2501","5.1954","5.0892"
"1200.0","4.1452","5.0992","4.9176"
"1220.0","4.7279","4.9965","4.8831"
"1240.0","4.8703","4.8876","4.8808"
"1260.0","4.3013","4.7606","4.7754"
"1280.0","3.0936","4.6028","4.4696"
"1300.0","3.2693","4.4756","4.2514"
"1320.0","3.5669","4.2861","4.1269"
"1340.0","3.9684","4.1216","4.0981"
"1360.0","3.3837","3.9577","3.9682"
"1380.0","2.4461","3.7773","3.6915"
"1400.0","2.4494","3.6077","3.4656"
"1420.0","2.8837","3.4233","3.3598"
"1440.0","3.2221","3.2585","3.3348"
"1460.0","3.0188","3.1302","3.2773"
"1480.0","2.0591","3.0268","3.0558"
"1500.0","2.3463","2.9345","2.9268"
"1520.0","2.8545","2.8632","2.9137"
"1540.0","3.2803","2.7944","2.9803"
"1560.0","2.9783","2.7539","2.9800"
"1580.0","2.1915","2.7284","2.8366"
"1600.0","2.3275","2.7162","2.7440"
"1620.0","3.2053","2.7484","2.8279"
"1640.0","3.4775","2.7739","2.9460"
"1660.0","3.2997","2.8020","3.0103"
"1680.0","2.4959","2.8457","2.9168"
"1700.0","2.6454","2.8756","2.8675"
"1720.0","3.4927","2.9394","2.9811"
"1740.0","3.5904","2.9704","3.0919"
"1760.0","3.3714","3.0097","3.1427"
"1780.0","2.1220","3.0028","2.9571"
"1800.0","1.7622","2.9462","2.7399"
"1820.0","2.2531","2.8510","2.6514"
"1840.0","2.4225","2.7455","2.6098"
"1860.0","1.9892","2.6145","2.4969"
"1880.0","1.1349","2.4784","2.2493"
"1900.0","0.9623","2.3101","2.0153"
"1920.0","1.7479","2.1356","1.9667"
"1940.0","1.8262","1.9592","1.9411"
"1960.0","1.4926","1.7713","1.8596"
"1980.0","0.7495","1.6340","1.6578"
"2000.0","0.7710","1.5349","1.4965"
"2020.0","1.4922","1.4588","1.4958"
"2040.0","1.6927","1.3859","1.5316"
"2060.0","1.1188","1.2988","1.4565"
"2080.0","0.4009","1.2254","1.2646"
"2100.0","0.6003","1.1892","1.1438"
"2120.0","0.9354","1.1080","1.1059"
"2140.0","1.4516","1.0705","1.1688"
"2160.0","0.9407","1.0153","1.1273"
"2180.0","0.2482","0.9652","0.9675"
"2200.0","0.3054","0.9186","0.8471"
"2220.0","0.6559","0.8350","0.8123"
"2240.0","1.0826","0.7740","0.8615"
"2260.0","0.8422","0.7463","0.8580"
"2280.0","-0.0143","0.7048","0.6994"
"2300.0","0.0817","0.6529","0.5871"
"2320.0","0.2992","0.5893","0.5347"
"2340.0","0.7996","0.5241","0.5829"
"2360.0","0.5273","0.4828","0.5728"
"2380.0","-0.2945","0.4285","0.4151"
"2400.0","-0.3607","0.3619","0.2741"
"2420.0","0.7591","0.3722","0.3622"
"2440.0","2.6782","0.5318","0.7833"
"2460.0","2.1496","0.6625","1.0317"
"2480.0","0.4897","0.7129","0.9332"
"2500.0","0.5594","0.7607","0.8652"
"2520.0","1.5564","0.8864","0.9909"
"2540.0","2.0982","1.0163","1.1922"
"2560.0","1.6703","1.1306","1.2791"
"2580.0","1.1403","1.2740","1.2539"
"2600.0","1.4441","1.4545","1.2885"
"2620.0","2.2432","1.6029","1.4621"
"2640.0","2.8463","1.6197","1.7137"
"2660.0","2.8849","1.6933","1.9267"
"2680.0","2.1016","1.8545","1.9585"
"2700.0","2.3537","2.0339","2.0303"
"2720.0","3.2879","2.2071","2.2590"
"2740.0","4.1638","2.4136","2.6053"
