Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"400001.0","1.9003","2.1992","12.5134","1.2844","0.0000"
"400002.0","1.9211","2.1376","12.4075","1.2844","0.0000"
"400003.0","1.8564","2.0801","12.3019","1.2844","0.0000"
"400004.0","1.6253","2.0282","12.1952","1.2844","0.0000"
"400005.0","1.6884","1.9823","12.0901","1.2844","0.0000"
"400006.0","1.5595","1.9394","11.9848","1.2844","0.0000"
"400007.0","1.6174","1.9053","11.8811","1.2844","0.0000"
"400008.0","1.7125","1.8757","11.7794","1.2844","0.0000"
"400009.0","1.6439","1.8465","11.6781","1.2844","0.0000"
"400010.0","1.6795","1.8165","11.5781","1.2844","0.0000"
"400011.0","1.6923","1.7865","11.4792","1.2844","0.0000"
"400012.0","1.7767","1.7614","11.3822","1.2844","0.0000"
"400013.0","1.7885","1.7366","11.2863","1.2844","0.0000"
"400014.0","1.7393","1.7107","11.1908","1.2844","0.0000"
"400015.0","1.7990","1.6889","11.0969","1.2844","0.0000"
"400016.0","1.6479","1.6655","11.0024","1.2844","0.0000"
"400017.0","1.6661","1.6464","10.9090","1.2844","0.0000"
"400018.0","1.6243","1.6290","10.8162","1.2844","0.0000"
"400019.0","1.4650","1.6112","10.7227","1.2844","0.0000"
"400020.0","1.4334","1.5993","10.6298","1.2844","0.0000"
"400021.0","1.2666","1.5865","10.5362","1.2844","0.0000"
"400022.0","1.1357","1.5764","10.4422","1.2844","0.0000"
"400023.0","1.1039","1.5665","10.3488","1.2844","0.0000"
"400024.0","0.9930","1.5568","10.2552","1.2844","0.0000"
"400025.0","0.9431","1.5475","10.1621","1.2844","0.0000"
"400026.0","0.9779","1.5371","10.0703","1.2844","0.0000"
"400027.0","1.0602","1.5297","9.9802","1.2844","0.0000"
"400028.0","1.0694","1.5217","9.8910","1.2844","0.0000"
"400029.0","1.0598","1.5113","9.8027","1.2844","0.0000"
"400030.0","1.0646","1.4984","9.7153","1.2844","0.0000"
"400031.0","1.1663","1.4883","9.6299","1.2844","0.0000"
"400032.0","1.0088","1.4771","9.5436","1.2844","0.0000"
"400033.0","0.9168","1.4641","9.4574","1.2844","0.0000"
"400034.0","0.8113","1.4475","9.3709","1.2844","0.0000"
"400035.0","0.7585","1.4303","9.2848","1.2844","0.0000"
"400036.0","0.7585","1.4144","9.1995","1.2844","0.0000"
"400037.0","0.6911","1.4021","9.1144","1.2844","0.0000"
"400038.0","0.5476","1.3873","9.0288","1.2844","0.0000"
"400039.0","0.5321","1.3727","8.9438","1.2844","0.0000"
"400040.0","0.4918","1.3572","8.8593","1.2844","0.0000"
"400041.0","0.4692","1.3409","8.7754","1.2844","0.0000"
"400042.0","0.4621","1.3231","8.6923","1.2844","0.0000"
"400043.0","0.4293","1.3029","8.6096","1.2844","0.0000"
"400044.0","0.5061","1.2833","8.5286","1.2844","0.0000"
"400045.0","0.4600","1.2611","8.4479","1.2844","0.0000"
"400046.0","0.6430","1.2415","8.3699","1.2844","0.0000"
"400047.0","0.6716","1.2197","8.2929","1.2844","0.0000"
"400048.0","0.6106","1.2013","8.2161","1.2844","0.0000"
"400049.0","0.6081","1.1779","8.1400","1.2844","0.0000"
"400050.0","0.4532","1.1501","8.0631","1.2844","0.0000"
"400051.0","0.4703","1.1215","7.9872","1.2844","0.0000"
"400052.0","0.4050","1.0912","7.9114","1.2844","0.0000"
"400053.0","0.3149","1.0604","7.8354","1.2844","0.0000"
"400054.0","0.3275","1.0344","7.7603","1.2844","0.0000"
"400055.0","0.2099","1.0049","7.6848","1.2844","0.0000"
"400056.0","0.1152","0.9760","7.6091","1.2844","0.0000"
"400057.0","0.1169","0.9460","7.5342","1.2844","0.0000"
"400058.0","0.1948","0.9156","7.4608","1.2844","0.0000"
"400059.0","0.2372","0.8875","7.3886","1.2844","0.0000"
"400060.0","0.2735","0.8594","7.3174","1.2844","0.0000"
"400061.0","0.3318","0.8322","7.2476","1.2844","0.0000"
"400062.0","0.4204","0.8050","7.1793","1.2844","0.0000"
"400063.0","0.3755","0.7768","7.1112","1.2844","0.0000"
"400064.0","0.3273","0.7485","7.0434","1.2844","0.0000"
"400065.0","0.3081","0.7187","6.9761","1.2844","0.0000"
"400066.0","0.2498","0.6907","6.9088","1.2844","0.0000"
"400067.0","0.2490","0.6624","6.8422","0.2490","0.0000"
"400068.0","0.1289","0.6325","6.7751","0.2490","0.0000"
"400069.0","0.0494","0.6042","6.7078","0.2490","0.0000"
"400070.0","-0.0064","0.5754","6.6407","0.2490","0.0000"
"400071.0","-0.0491","0.5491","6.5738","0.2490","0.0000"
"400072.0","-0.0359","0.5256","6.5077","0.2490","0.0000"
"400073.0","-0.0616","0.5023","6.4420","0.2490","0.0000"
"400074.0","-0.0127","0.4822","6.3774","0.2490","0.0000"
"400075.0","0.1078","0.4655","6.3147","0.2490","0.0000"
"400076.0","0.1761","0.4495","6.2533","0.2490","0.0000"
"400077.0","0.2620","0.4335","6.1934","0.2490","0.0000"
"400078.0","0.2793","0.4177","6.1343","0.2490","0.0000"
"400079.0","0.4079","0.4047","6.0770","0.2490","0.0000"
"400080.0","0.3892","0.3912","6.0201","0.2490","0.0000"
"400081.0","0.5129","0.3781","5.9651","0.2490","0.0000"
"400082.0","0.5129","0.3682","5.9106","0.2490","0.0000"
"400083.0","0.4328","0.3585","5.8558","0.2490","0.0000"
"400084.0","0.3241","0.3488","5.8005","0.2490","0.0000"
"400085.0","0.3239","0.3401","5.7457","0.2490","0.0000"
"400086.0","0.2038","0.3290","5.6903","0.2490","0.0000"
"400087.0","0.0548","0.3162","5.6339","0.2490","0.0000"
"400088.0","0.0679","0.3066","5.5783","0.2490","0.0000"
"400089.0","0.0624","0.2973","5.5231","0.2490","0.0000"
"400090.0","0.0150","0.2877","5.4680","0.2490","0.0000"
"400091.0","0.0024","0.2784","5.4134","0.2490","0.0000"
"400092.0","0.0957","0.2710","5.3602","0.2490","0.0000"
"400093.0","0.1959","0.2664","5.3085","0.2490","0.0000"
"400094.0","0.2658","0.2616","5.2581","0.2490","0.0000"
"400095.0","0.3458","0.2593","5.2090","0.2490","0.0000"
"400096.0","0.4700","0.2558","5.1616","0.2490","0.0000"
"400097.0","0.4887","0.2522","5.1149","0.2490","0.0000"
"400098.0","0.5969","0.2519","5.0697","0.2490","0.0000"
"400099.0","0.6192","0.2521","5.0252","0.2490","0.0000"
"400100.0","0.5111","0.2533","4.9800","0.2490","0.0000"
"400101.0","0.5615","0.2551","4.9359","0.2490","0.0000"
"400102.0","0.4684","0.2564","4.8912","0.2490","0.0000"
"400103.0","0.4922","0.2599","4.8472","0.2490","0.0000"
"400104.0","0.3168","0.2597","4.8019","0.2490","0.0000"
"400105.0","0.2482","0.2605","4.7564","0.2490","0.0000"
"400106.0","0.2228","0.2626","4.7110","0.2490","0.0000"
"400107.0","0.2749","0.2658","4.6667","0.2490","0.0000"
"400108.0","0.2269","0.2664","4.6223","0.2490","0.0000"
"400109.0","0.2656","0.2670","4.5787","0.2490","0.0000"
"400110.0","0.3891","0.2693","4.5368","0.2490","0.0000"
"400111.0","0.4018","0.2707","4.4955","0.2490","0.0000"
"400112.0","0.4961","0.2722","4.4555","0.2490","0.0000"
"400113.0","0.5640","0.2760","4.4165","0.2490","0.0000"
"400114.0","0.6046","0.2815","4.3784","0.2490","0.0000"
"400115.0","0.5992","0.2874","4.3406","0.2490","0.0000"
"400116.0","0.5878","0.2941","4.3031","0.2490","0.0000"
"400117.0","0.5458","0.3001","4.2655","0.2490","0.0000"
"400118.0","0.5283","0.3080","4.2282","0.2490","0.0000"
"400119.0","0.5146","0.3173","4.1910","0.2490","0.0000"
"400120.0","0.4896","0.3273","4.1540","0.2490","0.0000"
"400121.0","0.4550","0.3373","4.1170","0.2490","0.0000"
"400122.0","0.3255","0.3446","4.0791","0.2490","0.0000"
"400123.0","0.4382","0.3546","4.0427","0.2490","0.0000"
"400124.0","0.4123","0.3631","4.0064","0.2490","0.0000"
"400125.0","0.4186","0.3693","3.9705","0.2490","0.0000"
"400126.0","0.4718","0.3752","3.9355","0.2490","0.0000"
"400127.0","0.5467","0.3809","3.9016","0.2490","0.0000"
"400128.0","0.5467","0.3862","3.8681","0.2490","0.0000"
"400129.0","0.6173","0.3904","3.8356","0.2490","0.0000"
"400130.0","0.6515","0.3957","3.8037","0.2490","0.0000"
"400131.0","0.7306","0.4000","3.7730","0.2490","0.0000"
"400132.0","0.6571","0.4029","3.7418","0.2490","0.0000"
"400133.0","0.6560","0.4074","3.7110","0.2490","0.0000"
"400134.0","0.6980","0.4149","3.6809","0.2490","0.0000"
"400135.0","0.6144","0.4207","3.6502","0.2490","0.0000"
"400136.0","0.5950","0.4285","3.6196","0.2490","0.0000"
"400137.0","0.4967","0.4373","3.5884","0.2490","0.0000"
"400138.0","0.4392","0.4448","3.5569","0.2490","0.0000"
"400139.0","0.4788","0.4531","3.5261","0.2490","0.0000"
"400140.0","0.3866","0.4605","3.4947","0.2490","0.0000"
"400141.0","0.3867","0.4682","3.4637","0.2490","0.0000"
"400142.0","0.4780","0.4758","3.4338","0.2490","0.0000"
"400143.0","0.4049","0.4800","3.4035","0.4049","0.0000"
"400144.0","0.5745","0.4862","3.3752","0.4049","0.0000"
"400145.0","0.5988","0.4913","3.3475","0.4049","0.0000"
"400146.0","0.6778","0.4954","3.3208","0.4049","0.0000"
"400147.0","0.6894","0.4994","3.2945","0.4049","0.0000"
"400148.0","0.7572","0.5026","3.2691","0.4049","0.0000"
"400149.0","0.7628","0.5055","3.2440","0.4049","0.0000"
"400150.0","0.6491","0.5083","3.2181","0.4049","0.0000"
"400151.0","0.7621","0.5123","3.1935","0.4049","0.0000"
"400152.0","0.6276","0.5155","3.1679","0.4049","0.0000"
"400153.0","0.5445","0.5165","3.1416","0.4049","0.0000"
"400154.0","0.5629","0.5214","3.1158","0.4049","0.0000"
"400155.0","0.5409","0.5273","3.0901","0.4049","0.0000"
"400156.0","0.4932","0.5327","3.0641","0.4049","0.0000"
"400157.0","0.4802","0.5368","3.0383","0.4049","0.0000"
"400158.0","0.5442","0.5432","3.0133","0.4049","0.0000"
"400159.0","0.6190","0.5502","2.9894","0.4049","0.0000"
"400160.0","0.7612","0.5577","2.9671","0.4049","0.0000"
"400161.0","0.6988","0.5636","2.9444","0.4049","0.0000"
"400162.0","0.7349","0.5684","2.9223","0.4049","0.0000"
"400163.0","0.8806","0.5747","2.9019","0.4049","0.0000"
"400164.0","0.8252","0.5791","2.8811","0.4049","0.0000"
"400165.0","0.8189","0.5835","2.8605","0.4049","0.0000"
"400166.0","0.8260","0.5883","2.8402","0.4049","0.0000"
"400167.0","0.7199","0.5918","2.8190","0.4049","0.0000"
"400168.0","0.6422","0.5940","2.7972","0.4049","0.0000"
"400169.0","0.5423","0.5946","2.7747","0.4049","0.0000"
"400170.0","0.5134","0.5951","2.7520","0.4049","0.0000"
"400171.0","0.3755","0.5935","2.7283","0.4049","0.0000"
"400172.0","0.3990","0.5949","2.7050","0.4049","0.0000"
"400173.0","0.3864","0.5939","2.6818","0.4049","0.0000"
"400174.0","0.3864","0.5934","2.6588","0.4049","0.0000"
"400175.0","0.4106","0.5932","2.6364","0.4049","0.0000"
"400176.0","0.5113","0.5940","2.6151","0.4049","0.0000"
"400177.0","0.5385","0.5939","2.5943","0.4049","0.0000"
"400178.0","0.6616","0.5962","2.5750","0.4049","0.0000"
"400179.0","0.7011","0.5978","2.5563","0.4049","0.0000"
"400180.0","0.8098","0.6010","2.5388","0.4049","0.0000"
"400181.0","0.7984","0.6024","2.5214","0.4049","0.0000"
"400182.0","0.8493","0.6062","2.5047","0.4049","0.0000"
"400183.0","0.8597","0.6103","2.4882","0.4049","0.0000"
"400184.0","0.7391","0.6111","2.4707","0.4049","0.0000"
"400185.0","0.6861","0.6125","2.4529","0.4049","0.0000"
"400186.0","0.5594","0.6118","2.4340","0.4049","0.0000"
"400187.0","0.4549","0.6110","2.4142","0.4049","0.0000"
"400188.0","0.4944","0.6121","2.3950","0.4049","0.0000"
"400189.0","0.3956","0.6104","2.3750","0.4049","0.0000"
"400190.0","0.3700","0.6101","2.3549","0.4049","0.0000"
"400191.0","0.2701","0.6078","2.3341","0.4049","0.0000"
"400192.0","0.4396","0.6070","2.3151","0.4049","0.0000"
"400193.0","0.3983","0.6069","2.2960","0.4049","0.0000"
"400194.0","0.4649","0.6047","2.2777","0.4049","0.0000"
"400195.0","0.6530","0.6057","2.2614","0.4049","0.0000"
"400196.0","0.6922","0.6060","2.2457","0.4049","0.0000"
"400197.0","0.7731","0.6077","2.2310","0.4049","0.0000"
"400198.0","0.8463","0.6095","2.2171","0.4049","0.0000"
