Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","4.2305","4.2305","4.2305"
"40.0","3.2955","3.2955","4.0605"
"60.0","3.4935","3.4935","3.9574"
"80.0","3.9648","3.9648","3.9587"
"100.0","4.3704","4.3704","4.0336"
"120.0","3.3409","3.3409","3.9077"
"140.0","2.8805","2.8805","3.7209"
"160.0","2.6599","2.6599","3.5280"
"180.0","2.8703","2.8703","3.4084"
"200.0","3.4575","3.4564","3.4173"
"220.0","2.9604","3.3294","3.3343"
"240.0","2.9341","3.2932","3.2615"
"260.0","2.4784","3.1917","3.1191"
"280.0","2.7248","3.0677","3.0474"
"300.0","3.1364","2.9443","3.0636"
"320.0","3.3382","2.9441","3.1135"
"340.0","3.1502","2.9710","3.1202"
"360.0","2.8218","2.9872","3.0659"
"380.0","2.7323","2.9734","3.0053"
"400.0","3.8727","3.0149","3.1630"
"420.0","3.9744","3.1163","3.3105"
"440.0","3.2477","3.1477","3.2991"
"460.0","2.6324","3.1631","3.1779"
"480.0","3.0388","3.1945","3.1526"
"500.0","3.8784","3.2687","3.2845"
"520.0","4.0357","3.3384","3.4211"
"540.0","3.4717","3.3706","3.4303"
"560.0","2.2145","3.3099","3.2093"
"580.0","2.4185","3.2785","3.0655"
"600.0","2.6512","3.1563","2.9902"
"620.0","2.4004","2.9989","2.8829"
"640.0","1.7450","2.8486","2.6760"
"660.0","1.0895","2.6944","2.3876"
"680.0","1.5914","2.5496","2.2428"
"700.0","2.2544","2.3872","2.2449"
"720.0","1.9304","2.1767","2.1877"
"740.0","1.2200","1.9515","2.0118"
"760.0","1.6364","1.8937","1.9435"
"780.0","1.2130","1.7732","1.8107"
"800.0","0.6995","1.5780","1.6087"
"820.0","0.5219","1.3901","1.4111"
"840.0","0.7778","1.2934","1.2959"
"860.0","1.1428","1.2988","1.2681"
"880.0","0.8094","1.2206","1.1847"
"900.0","0.9126","1.0864","1.1352"
"920.0","0.2991","0.9233","0.9832"
"940.0","0.3094","0.8322","0.8607"
"960.0","0.8528","0.7538","0.8593"
"980.0","0.8780","0.7203","0.8627"
"1000.0","0.3267","0.6831","0.7652"
"1020.0","-0.0688","0.6240","0.6136"
"1040.0","0.1209","0.5583","0.5240"
"1060.0","2.8519","0.7292","0.9473"
"1080.0","4.3287","1.0811","1.5621"
"1100.0","3.5346","1.3433","1.9207"
"1120.0","1.0961","1.4230","1.7708"
"1140.0","0.4266","1.4348","1.5264"
"1160.0","1.5604","1.5055","1.5326"
"1180.0","2.4763","1.6653","1.7041"
"1200.0","2.4219","1.8749","1.8347"
"1220.0","1.6190","2.0436","1.7954"
"1240.0","1.8710","2.2187","1.8092"
"1260.0","2.7676","2.2102","1.9834"
"1280.0","3.1636","2.0937","2.1980"
"1300.0","2.8429","2.0245","2.3153"
"1320.0","2.5332","2.1683","2.3549"
"1340.0","3.0219","2.4278","2.4762"
"1360.0","3.8918","2.6609","2.7336"
"1380.0","4.3239","2.8457","3.0227"
"1400.0","4.2481","3.0283","3.2455"
"1420.0","3.8413","3.2505","3.3538"
"1440.0","4.4137","3.5048","3.5465"
"1460.0","5.3398","3.7620","3.8726"
"1480.0","5.3276","3.9784","4.1371"
"1500.0","5.4494","4.2391","4.3757"
"1520.0","5.1478","4.5005","4.5161"
"1540.0","5.3914","4.7375","4.6753"
"1560.0","6.2862","4.9769","4.9682"
"1580.0","6.2149","5.1660","5.1948"
"1600.0","5.6889","5.3101","5.2847"
"1620.0","5.1307","5.4390","5.2567"
"1640.0","6.2330","5.6210","5.4342"
"1660.0","6.1769","5.7047","5.5692"
"1680.0","5.7305","5.7450","5.5986"
"1700.0","5.1267","5.7127","5.5128"
"1720.0","5.3029","5.7282","5.4746"
"1740.0","5.9746","5.7865","5.5655"
