Time [ms],Corrected Value
"20.0","5.9509"
"40.0","5.8108"
"60.0","5.9264"
"80.0","5.9657"
"100.0","5.9727"
"120.0","5.9748"
"140.0","6.0234"
"160.0","5.9680"
"180.0","6.0589"
"200.0","6.0423"
"220.0","5.9622"
"240.0","5.9604"
"260.0","5.9617"
"280.0","5.9604"
"300.0","6.1026"
"320.0","5.9854"
"340.0","6.0452"
"360.0","5.8252"
"380.0","5.8693"
"400.0","5.9327"
"420.0","6.0064"
"440.0","5.9820"
"460.0","5.9956"
"480.0","5.9331"
"500.0","5.9422"
"520.0","5.9685"
"540.0","5.8018"
"560.0","5.7802"
"580.0","5.8690"
"600.0","5.8216"
"620.0","5.8273"
"640.0","5.8334"
"660.0","5.8474"
"680.0","5.9493"
"700.0","5.7533"
"720.0","5.9504"
"740.0","5.6973"
"760.0","5.8462"
"780.0","5.9663"
"800.0","5.8518"
"820.0","5.9587"
"840.0","5.8803"
"860.0","5.9790"
"880.0","5.9493"
"900.0","6.0933"
"920.0","6.0222"
"940.0","5.9113"
"960.0","5.8403"
"980.0","6.0805"
"1000.0","6.0017"
"1020.0","5.9237"
"1040.0","5.9148"
"1060.0","6.0678"
"1080.0","6.0681"
"1100.0","6.0569"
"1120.0","5.9295"
"1140.0","5.9263"
"1160.0","5.9453"
"1180.0","6.0797"
"1200.0","6.0526"
"1220.0","6.0320"
"1240.0","5.8279"
"1260.0","6.0275"
"1280.0","5.9890"
"1300.0","5.8775"
"1320.0","5.9929"
"1340.0","5.9762"
"1360.0","5.8985"
"1380.0","6.1214"
"1400.0","5.9149"
"1420.0","5.9620"
"1440.0","6.0002"
"1460.0","5.8192"
"1480.0","5.8381"
"1500.0","6.1236"
"1520.0","5.8951"
"1540.0","6.0599"
"1560.0","6.0964"
"1580.0","6.0463"
"1600.0","5.9948"
"1620.0","5.9048"
"1640.0","6.0584"
"1660.0","6.1254"
"1680.0","5.9347"
"1700.0","5.9257"
"1720.0","5.8515"
"1740.0","6.0705"
"1760.0","5.9127"
"1780.0","5.8908"
"1800.0","6.0045"
"1820.0","5.8310"
"1840.0","5.8763"
"1860.0","5.8793"
"1880.0","5.8499"
"1900.0","5.8931"
"1920.0","5.9153"
"1940.0","6.0289"
"1960.0","5.8419"
"1980.0","5.7456"
"2000.0","5.8650"
"2020.0","5.8014"
"2040.0","5.7470"
"2060.0","5.9343"
"2080.0","5.7913"
"2100.0","5.9931"
"2120.0","5.7904"
"2140.0","5.9031"
"2160.0","5.9267"
"2180.0","5.7790"
"2200.0","5.7621"
"2220.0","5.9770"
"2240.0","5.9402"
"2260.0","5.8854"
"2280.0","5.8381"
"2300.0","5.6690"
"2320.0","5.6748"
"2340.0","5.6893"
"2360.0","5.8107"
"2380.0","5.8663"
"2400.0","5.9697"
"2420.0","5.8970"
"2440.0","5.9737"
"2460.0","5.9224"
"2480.0","5.8099"
"2500.0","5.8049"
"2520.0","5.8571"
"2540.0","6.5598"
"2560.0","6.3856"
"2580.0","6.1419"
"2600.0","6.4136"
"2620.0","6.8838"
"2640.0","6.8587"
"2660.0","6.3841"
"2680.0","6.2069"
"2700.0","6.0763"
"2720.0","5.4479"
"2740.0","4.3214"
"2760.0","5.5443"
"2780.0","5.9614"
"2800.0","6.0991"
"2820.0","5.9113"
"2840.0","6.0289"
"2860.0","6.2960"
"2880.0","6.6363"
"2900.0","8.8217"
"2920.0","4.0462"
"2940.0","4.6311"
"2960.0","5.9652"
"2980.0","5.8685"
"3000.0","5.3165"
"3020.0","5.4964"
"3040.0","5.9024"
"3060.0","6.1437"
"3080.0","5.9000"
"3100.0","6.0146"
"3120.0","6.0989"
"3140.0","7.3689"
"3160.0","5.9442"
"3180.0","5.8062"
"3200.0","4.5449"
"3220.0","4.6130"
"3240.0","5.7964"
"3260.0","6.1085"
"3280.0","6.2635"
"3300.0","6.4618"
"3320.0","8.4516"
"3340.0","6.1388"
"3360.0","5.9744"
"3380.0","5.7402"
"3400.0","1.4544"
"3420.0","5.0776"
"3440.0","6.1796"
"3460.0","6.2866"
"3480.0","6.2770"
"3500.0","6.3705"
"3520.0","7.4292"
"3540.0","5.9723"
"3560.0","5.9849"
"3580.0","5.7661"
"3600.0","4.6718"
"3620.0","4.5441"
"3640.0","5.6565"
"3660.0","6.0459"
"3680.0","6.2921"
"3700.0","6.2341"
"3720.0","6.5213"
"3740.0","6.8408"
"3760.0","6.0065"
"3780.0","5.8592"
"3800.0","5.8674"
"3820.0","2.0179"
"3840.0","5.3793"
"3860.0","5.9699"
"3880.0","6.2211"
"3900.0","6.1282"
"3920.0","6.4977"
"3940.0","8.8797"
"3960.0","5.9793"
"3980.0","5.9907"
"4000.0","5.6368"
"4020.0","1.7389"
"4040.0","5.1057"
"4060.0","5.8934"
"4080.0","6.4366"
"4100.0","6.3223"
"4120.0","7.1308"
"4140.0","6.0142"
"4160.0","6.1303"
"4180.0","5.9325"
"4200.0","2.5897"
"4220.0","4.7643"
"4240.0","6.1608"
"4260.0","6.1761"
"4280.0","6.3157"
"4300.0","6.5006"
"4320.0","9.3247"
"4340.0","5.9871"
"4360.0","5.9093"
"4380.0","5.8429"
"4400.0","1.5523"
"4420.0","5.1893"
"4440.0","5.9225"
"4460.0","6.2543"
"4480.0","6.5079"
"4500.0","7.0858"
"4520.0","6.0665"
"4540.0","6.1404"
"4560.0","5.7494"
"4580.0","5.9499"
"4600.0","3.7625"
"4620.0","5.8124"
"4640.0","6.1284"
"4660.0","6.0828"
"4680.0","6.4194"
"4700.0","6.9787"
"4720.0","6.3474"
"4740.0","6.0600"
"4760.0","5.9213"
"4780.0","5.9277"
"4800.0","2.2070"
"4820.0","5.6372"
"4840.0","6.1703"
"4860.0","6.1917"
"4880.0","6.3849"
"4900.0","6.7974"
"4920.0","8.4359"
"4940.0","6.1864"
"4960.0","5.7478"
"4980.0","1.4013"
"5000.0","4.4462"
"5020.0","6.1274"
"5040.0","6.3557"
"5060.0","6.2772"
"5080.0","6.9332"
"5100.0","9.1891"
"5120.0","6.2050"
"5140.0","5.7914"
"5160.0","5.9357"
"5180.0","3.5912"
"5200.0","5.6381"
"5220.0","6.1341"
"5240.0","6.2979"
"5260.0","6.4136"
"5280.0","7.5300"
"5300.0","5.9295"
"5320.0","5.8562"
"5340.0","4.2597"
"5360.0","4.4665"
"5380.0","5.7790"
"5400.0","6.6095"
"5420.0","6.7542"
"5440.0","7.7592"
"5460.0","6.0243"
"5480.0","5.7607"
"5500.0","5.6123"
"5520.0","0.6580"
"5540.0","5.3737"
"5560.0","6.2062"
"5580.0","6.2378"
"5600.0","6.2696"
"5620.0","6.9454"
"5640.0","6.1057"
"5660.0","5.8306"
"5680.0","1.3334"
"5700.0","5.0487"
"5720.0","6.1173"
"5740.0","6.0637"
"5760.0","6.0874"
"5780.0","6.3011"
"5800.0","8.3938"
"5820.0","5.9216"
"5840.0","5.8204"
"5860.0","0.1131"
"5880.0","4.8946"
"5900.0","6.2784"
"5920.0","6.2324"
"5940.0","6.3895"
"5960.0","6.3277"
"5980.0","6.5765"
"6000.0","6.1449"
"6020.0","4.4196"
"6040.0","4.1348"
"6060.0","6.1105"
"6080.0","6.3112"
"6100.0","6.5755"
"6120.0","6.4032"
"6140.0","7.7865"
"6160.0","5.7942"
"6180.0","1.2306"
"6200.0","5.2755"
"6220.0","6.1204"
"6240.0","6.3462"
"6260.0","6.3467"
"6280.0","6.3514"
"6300.0","7.0661"
"6320.0","5.7160"
"6340.0","4.8574"
"6360.0","4.7572"
"6380.0","5.9414"
"6400.0","6.5094"
"6420.0","6.1772"
"6440.0","6.0694"
"6460.0","6.4689"
"6480.0","5.5312"
"6500.0","5.0274"
"6520.0","6.2413"
"6540.0","6.7284"
"6560.0","6.9779"
"6580.0","5.8642"
"6600.0","1.9835"
"6620.0","5.0075"
"6640.0","6.0490"
"6660.0","6.1139"
"6680.0","6.1368"
"6700.0","6.2401"
"6720.0","7.4866"
"6740.0","5.9171"
"6760.0","5.8254"
"6780.0","5.4121"
"6800.0","4.3901"
"6820.0","5.6743"
"6840.0","5.7654"
"6860.0","5.5371"
"6880.0","5.9047"
"6900.0","6.1840"
"6920.0","6.2680"
"6940.0","6.3741"
"6960.0","8.0882"
"6980.0","6.2252"
"7000.0","5.9837"
"7020.0","5.7984"
"7040.0","1.5517"
"7060.0","4.7927"
"7080.0","6.1689"
"7100.0","6.3476"
"7120.0","6.2281"
"7140.0","6.3876"
"7160.0","9.6189"
"7180.0","6.2047"
"7200.0","6.1436"
"7220.0","5.8353"
"7240.0","3.0951"
"7260.0","4.6268"
"7280.0","6.1519"
"7300.0","6.2214"
"7320.0","6.2932"
"7340.0","6.3809"
"7360.0","7.2258"
"7380.0","5.9376"
"7400.0","5.8887"
"7420.0","5.9119"
"7440.0","5.9810"
"7460.0","0.9642"
"7480.0","5.3474"
"7500.0","5.9905"
"7520.0","6.1640"
"7540.0","6.4213"
"7560.0","6.7955"
"7580.0","6.5517"
"7600.0","6.0552"
"7620.0","5.9201"
"7640.0","5.8442"
"7660.0","-0.1262"
"7680.0","5.0987"
"7700.0","5.9907"
"7720.0","6.3988"
"7740.0","6.5455"
"7760.0","7.4261"
"7780.0","5.9591"
"7800.0","5.9148"
"7820.0","5.6525"
"7840.0","0.6600"
"7860.0","4.8434"
"7880.0","6.1723"
"7900.0","6.5421"
"7920.0","6.5258"
"7940.0","9.7991"
"7960.0","5.9962"
"7980.0","5.8714"
"8000.0","5.8359"
"8020.0","2.0135"
"8040.0","5.5794"
"8060.0","6.1262"
"8080.0","6.3254"
"8100.0","6.8412"
"8120.0","10.1219"
"8140.0","6.0212"
"8160.0","5.8231"
"8180.0","5.6982"
"8200.0","-1.1028"
"8220.0","4.6227"
"8240.0","6.1954"
"8260.0","6.4459"
"8280.0","6.5621"
"8300.0","7.2938"
"8320.0","5.7908"
"8340.0","5.7486"
"8360.0","5.8058"
"8380.0","2.7751"
"8400.0","5.8286"
"8420.0","6.7622"
"8440.0","6.4410"
"8460.0","6.5678"
"8480.0","6.5314"
"8500.0","5.7261"
"8520.0","4.9171"
"8540.0","5.0755"
"8560.0","5.9994"
"8580.0","6.1292"
"8600.0","6.0819"
"8620.0","6.0903"
"8640.0","6.0795"
"8660.0","6.0795"
"8680.0","6.0455"
"8700.0","5.8128"
"8720.0","5.6177"
"8740.0","5.6790"
"8760.0","5.6268"
"8780.0","5.9634"
"8800.0","6.2804"
"8820.0","5.5716"
"8840.0","4.6854"
"8860.0","4.4149"
"8880.0","7.7355"
"8900.0","5.6505"
"8920.0","5.2017"
"8940.0","5.3100"
"8960.0","5.4580"
"8980.0","6.4728"
"9000.0","6.6652"
"9020.0","6.0642"
"9040.0","5.6676"
"9060.0","5.2966"
"9080.0","4.7859"
"9100.0","5.3485"
"9120.0","4.3827"
"9140.0","7.4463"
"9160.0","10.1185"
"9180.0","14.6420"
"9200.0","14.4752"
"9220.0","11.3725"
"9240.0","7.0409"
"9260.0","9.8329"
"9280.0","14.2831"
"9300.0","12.2653"
"9320.0","-3.0438"
"9340.0","-2.2012"
"9360.0","-3.4135"
"9380.0","-0.5848"
"9400.0","1.6691"
"9420.0","-0.8673"
"9440.0","-6.1997"
"9460.0","-2.3650"
"9480.0","0.9763"
"9500.0","4.2594"
"9520.0","6.3925"
"9540.0","8.8202"
"9560.0","11.2665"
"9580.0","12.0700"
"9600.0","12.6368"
"9620.0","10.4130"
"9640.0","9.3440"
"9660.0","8.2122"
"9680.0","8.2131"
"9700.0","6.5805"
"9720.0","1.7729"
"9740.0","-6.3875"
"9760.0","-12.3150"
"9780.0","-7.2426"
"9800.0","-2.0401"
"9820.0","7.8727"
"9840.0","11.7890"
"9860.0","6.6663"
"9880.0","13.0998"
"9900.0","18.3619"
"9920.0","31.2636"
"9940.0","26.2216"
"9960.0","29.6685"
"9980.0","34.5713"
"10000.0","37.9367"
"10020.0","40.7473"
"10040.0","40.3892"
"10060.0","37.6496"
"10080.0","35.8572"
"10100.0","37.0100"
"10120.0","41.1728"
"10140.0","47.3785"
"10160.0","42.8067"
"10180.0","36.3576"
"10200.0","32.5488"
"10220.0","32.6631"
"10240.0","34.6123"
"10260.0","35.8459"
"10280.0","43.1543"
"10300.0","39.7078"
"10320.0","35.1372"
"10340.0","31.0505"
"10360.0","31.1177"
"10380.0","30.5505"
"10400.0","29.2760"
"10420.0","25.8696"
"10440.0","24.4653"
"10460.0","23.0813"
"10480.0","21.8035"
"10500.0","22.4892"
"10520.0","20.9666"
"10540.0","18.3364"
"10560.0","17.2818"
"10580.0","17.0378"
"10600.0","14.7381"
"10620.0","13.2401"
"10640.0","12.6609"
"10660.0","26.0150"
"10680.0","56.1993"
"10700.0","52.1494"
"10720.0","49.1569"
"10740.0","57.4244"
"10760.0","54.0341"
"10780.0","53.1841"
"10800.0","50.9204"
"10820.0","43.0124"
"10840.0","30.1310"
"10860.0","28.4589"
"10880.0","25.2351"
"10900.0","24.7405"
"10920.0","36.1687"
"10940.0","25.3656"
"10960.0","26.6065"
"10980.0","27.0667"
"11000.0","27.5457"
"11020.0","28.3273"
"11040.0","28.4630"
"11060.0","26.2426"
"11080.0","25.3852"
"11100.0","25.2985"
"11120.0","26.4916"
"11140.0","26.4791"
"11160.0","26.7776"
"11180.0","25.4517"
"11200.0","25.5140"
"11220.0","25.4460"
"11240.0","26.1706"
"11260.0","26.4814"
"11280.0","25.4726"
"11300.0","25.7052"
"11320.0","25.6600"
"11340.0","25.4754"
"11360.0","24.6691"
"11380.0","24.7788"
"11400.0","23.8566"
"11420.0","24.4043"
"11440.0","26.4925"
"11460.0","26.5078"
"11480.0","26.2472"
"11500.0","23.8042"
"11520.0","23.0687"
"11540.0","22.9522"
"11560.0","22.8593"
"11580.0","22.1422"
"11600.0","22.2824"
"11620.0","22.8042"
"11640.0","22.9957"
"11660.0","22.1775"
"11680.0","21.9990"
"11700.0","22.1170"
"11720.0","22.3588"
"11740.0","22.4835"
"11760.0","22.0218"
"11780.0","21.7197"
"11800.0","22.0123"
"11820.0","23.7676"
"11840.0","24.5514"
"11860.0","24.3965"
