Time [ms],Corrected Value
"20.0","5.8987"
"40.0","6.0237"
"60.0","5.8700"
"80.0","5.8367"
"100.0","5.9236"
"120.0","5.8783"
"140.0","5.9372"
"160.0","5.7570"
"180.0","5.9827"
"200.0","6.0162"
"220.0","6.0064"
"240.0","5.9784"
"260.0","6.0300"
"280.0","5.9190"
"300.0","6.0461"
"320.0","6.0975"
"340.0","5.8925"
"360.0","6.0216"
"380.0","5.9946"
"400.0","6.0495"
"420.0","5.9198"
"440.0","6.0351"
"460.0","5.9419"
"480.0","5.9346"
"500.0","6.0735"
"520.0","5.9345"
"540.0","5.8170"
"560.0","5.9275"
"580.0","6.0702"
"600.0","5.9819"
"620.0","6.0358"
"640.0","6.0129"
"660.0","5.8681"
"680.0","5.8857"
"700.0","5.9512"
"720.0","5.9166"
"740.0","5.9651"
"760.0","6.0459"
"780.0","5.8977"
"800.0","5.8891"
"820.0","5.8092"
"840.0","5.8957"
"860.0","5.8903"
"880.0","5.9317"
"900.0","5.9545"
"920.0","6.0874"
"940.0","6.0576"
"960.0","5.9786"
"980.0","6.0507"
"1000.0","5.7546"
"1020.0","6.0056"
"1040.0","5.8457"
"1060.0","6.0786"
"1080.0","6.0415"
"1100.0","5.9298"
"1120.0","5.7526"
"1140.0","6.1193"
"1160.0","6.1124"
"1180.0","5.9287"
"1200.0","5.8277"
"1220.0","5.8797"
"1240.0","5.8987"
"1260.0","5.9160"
"1280.0","5.9551"
"1300.0","5.9659"
"1320.0","5.9691"
"1340.0","5.9536"
"1360.0","5.8518"
"1380.0","5.8277"
"1400.0","5.7695"
"1420.0","5.8184"
"1440.0","5.8599"
"1460.0","5.8692"
"1480.0","5.8881"
"1500.0","5.8660"
"1520.0","5.9035"
"1540.0","5.8138"
"1560.0","5.9290"
"1580.0","5.8895"
"1600.0","5.8110"
"1620.0","5.8099"
"1640.0","5.7604"
"1660.0","5.8151"
"1680.0","5.7918"
"1700.0","5.7261"
"1720.0","5.9339"
"1740.0","5.8861"
"1760.0","5.8228"
"1780.0","5.8478"
"1800.0","5.7279"
"1820.0","5.7877"
"1840.0","5.8908"
"1860.0","5.9366"
"1880.0","5.9372"
"1900.0","5.9974"
"1920.0","5.9032"
"1940.0","6.0068"
"1960.0","5.8801"
"1980.0","5.9070"
"2000.0","5.9229"
"2020.0","5.8553"
"2040.0","5.9058"
"2060.0","5.7824"
"2080.0","5.9280"
"2100.0","5.8138"
"2120.0","5.9161"
"2140.0","6.0154"
"2160.0","5.8351"
"2180.0","5.7594"
"2200.0","5.8297"
"2220.0","5.9125"
"2240.0","5.7293"
"2260.0","5.8201"
"2280.0","5.9889"
"2300.0","5.8894"
"2320.0","5.8163"
"2340.0","5.8545"
"2360.0","5.6986"
"2380.0","5.8829"
"2400.0","5.8316"
"2420.0","5.8021"
"2440.0","5.8690"
"2460.0","5.9905"
"2480.0","5.8922"
"2500.0","5.9248"
"2520.0","5.8558"
"2540.0","5.9040"
"2560.0","5.8712"
"2580.0","5.7889"
"2600.0","6.0057"
"2620.0","5.8403"
"2640.0","5.8479"
"2660.0","5.8326"
"2680.0","5.8596"
"2700.0","5.9415"
"2720.0","5.9447"
"2740.0","6.0130"
"2760.0","5.9003"
"2780.0","5.9838"
"2800.0","5.8776"
"2820.0","5.9834"
"2840.0","5.8751"
"2860.0","5.8195"
"2880.0","5.8511"
"2900.0","5.7828"
"2920.0","5.8232"
"2940.0","5.7095"
"2960.0","5.8575"
"2980.0","5.8991"
"3000.0","5.9396"
"3020.0","6.1543"
"3040.0","6.1601"
"3060.0","6.4270"
"3080.0","6.5388"
"3100.0","6.4036"
"3120.0","6.4015"
"3140.0","5.9907"
"3160.0","5.4933"
"3180.0","5.6041"
"3200.0","5.6427"
"3220.0","5.7574"
"3240.0","6.0775"
"3260.0","5.7288"
"3280.0","6.3680"
"3300.0","6.0140"
"3320.0","5.9089"
"3340.0","5.8942"
"3360.0","6.0420"
"3380.0","5.8829"
"3400.0","5.9575"
"3420.0","5.9608"
"3440.0","6.2782"
"3460.0","6.4703"
"3480.0","5.8364"
"3500.0","5.4859"
"3520.0","4.0881"
"3540.0","5.3461"
"3560.0","5.9302"
"3580.0","5.9014"
"3600.0","6.1179"
"3620.0","5.9109"
"3640.0","5.7075"
"3660.0","5.8892"
"3680.0","6.2179"
"3700.0","7.4969"
"3720.0","5.8538"
"3740.0","5.8219"
"3760.0","5.0834"
"3780.0","4.5786"
"3800.0","5.5795"
"3820.0","5.9012"
"3840.0","5.8904"
"3860.0","6.1270"
"3880.0","6.0149"
"3900.0","6.4182"
"3920.0","6.1818"
"3940.0","5.8660"
"3960.0","1.7386"
"3980.0","5.4435"
"4000.0","6.1908"
"4020.0","6.2273"
"4040.0","6.2237"
"4060.0","5.9128"
"4080.0","6.0330"
"4100.0","6.3393"
"4120.0","6.0009"
"4140.0","3.5901"
"4160.0","5.0182"
"4180.0","5.8967"
"4200.0","6.2300"
"4220.0","6.1723"
"4240.0","6.0203"
"4260.0","6.3184"
"4280.0","8.3733"
"4300.0","5.9342"
"4320.0","5.8049"
"4340.0","5.9232"
"4360.0","2.3526"
"4380.0","5.4459"
"4400.0","6.3235"
"4420.0","6.3069"
"4440.0","6.2267"
"4460.0","7.5292"
"4480.0","5.8655"
"4500.0","5.7530"
"4520.0","1.5167"
"4540.0","4.9843"
"4560.0","6.1462"
"4580.0","6.4635"
"4600.0","6.5126"
"4620.0","6.5860"
"4640.0","6.4652"
"4660.0","6.1082"
"4680.0","5.7910"
"4700.0","1.0695"
"4720.0","5.4080"
"4740.0","6.2118"
"4760.0","6.4926"
"4780.0","6.9601"
"4800.0","6.5614"
"4820.0","5.8604"
"4840.0","5.6600"
"4860.0","2.4892"
"4880.0","4.5726"
"4900.0","6.0727"
"4920.0","6.5702"
"4940.0","6.4820"
"4960.0","9.3506"
"4980.0","6.0114"
"5000.0","5.7546"
"5020.0","1.2361"
"5040.0","5.0531"
"5060.0","6.4205"
"5080.0","6.5082"
"5100.0","6.2614"
"5120.0","7.8769"
"5140.0","3.8474"
"5160.0","5.2410"
"5180.0","6.3442"
"5200.0","9.4421"
"5220.0","5.9873"
"5240.0","5.8950"
"5260.0","-0.4423"
"5280.0","4.9936"
"5300.0","6.0734"
"5320.0","6.4542"
"5340.0","6.1869"
"5360.0","6.5175"
"5380.0","8.0333"
"5400.0","5.7627"
"5420.0","5.8599"
"5440.0","2.9062"
"5460.0","5.5605"
"5480.0","6.1686"
"5500.0","6.4773"
"5520.0","6.7198"
"5540.0","11.2398"
"5560.0","6.0483"
"5580.0","5.7922"
"5600.0","5.8191"
"5620.0","3.5564"
"5640.0","5.9900"
"5660.0","6.3557"
"5680.0","6.4477"
"5700.0","6.6828"
"5720.0","8.7237"
"5740.0","5.9458"
"5760.0","5.7718"
"5780.0","5.6376"
"5800.0","1.9314"
"5820.0","5.5771"
"5840.0","6.4095"
"5860.0","6.4264"
"5880.0","6.7233"
"5900.0","7.6657"
"5920.0","5.9660"
"5940.0","5.8106"
"5960.0","-0.6309"
"5980.0","4.7170"
"6000.0","6.3771"
"6020.0","6.6484"
"6040.0","6.7863"
"6060.0","8.1912"
"6080.0","5.9389"
"6100.0","5.7930"
"6120.0","-0.5236"
"6140.0","4.9664"
"6160.0","6.2660"
"6180.0","6.4100"
"6200.0","6.5285"
"6220.0","10.8462"
"6240.0","6.2467"
"6260.0","5.8138"
"6280.0","5.6982"
"6300.0","0.7597"
"6320.0","5.5457"
"6340.0","6.3960"
"6360.0","6.3312"
"6380.0","6.6659"
"6400.0","10.4468"
"6420.0","6.0659"
"6440.0","5.8195"
"6460.0","4.7533"
"6480.0","4.1362"
"6500.0","5.9399"
"6520.0","6.5524"
"6540.0","6.5524"
"6560.0","7.1379"
"6580.0","5.9976"
"6600.0","5.9310"
"6620.0","1.7009"
"6640.0","4.6688"
"6660.0","6.2155"
"6680.0","6.3782"
"6700.0","6.0701"
"6720.0","5.6907"
"6740.0","5.7685"
"6760.0","6.1788"
"6780.0","6.8919"
"6800.0","6.3468"
"6820.0","6.1299"
"6840.0","5.8154"
"6860.0","5.7272"
"6880.0","3.3881"
"6900.0","5.7085"
"6920.0","6.1541"
"6940.0","6.1710"
"6960.0","6.3160"
"6980.0","6.3090"
"7000.0","7.8956"
"7020.0","5.7479"
"7040.0","5.8241"
"7060.0","5.6796"
"7080.0","2.0250"
"7100.0","5.3566"
"7120.0","6.0378"
"7140.0","6.2700"
"7160.0","6.3082"
"7180.0","6.5609"
"7200.0","6.4540"
"7220.0","5.7805"
"7240.0","1.1454"
"7260.0","4.9478"
"7280.0","6.0854"
"7300.0","6.6044"
"7320.0","6.0025"
"7340.0","6.2836"
"7360.0","4.5053"
"7380.0","5.2897"
"7400.0","5.9673"
"7420.0","6.9380"
"7440.0","6.3390"
"7460.0","5.8488"
"7480.0","4.5778"
"7500.0","5.5216"
"7520.0","5.7416"
"7540.0","6.1803"
"7560.0","6.2638"
"7580.0","6.9248"
"7600.0","6.5475"
"7620.0","6.6092"
"7640.0","6.4431"
"7660.0","5.9745"
"7680.0","5.8628"
"7700.0","5.8452"
"7720.0","5.6365"
"7740.0","5.9742"
"7760.0","5.8951"
"7780.0","5.9406"
"7800.0","5.8329"
"7820.0","5.8146"
"7840.0","5.8967"
"7860.0","6.0653"
"7880.0","5.7777"
"7900.0","5.9183"
"7920.0","6.0433"
"7940.0","6.0115"
"7960.0","6.0816"
"7980.0","6.0536"
"8000.0","6.0461"
"8020.0","6.0670"
"8040.0","6.0704"
"8060.0","6.0039"
"8080.0","6.1317"
"8100.0","6.0828"
"8120.0","6.1590"
"8140.0","5.9963"
"8160.0","6.1581"
"8180.0","5.9882"
"8200.0","6.0702"
"8220.0","5.8988"
"8240.0","6.1732"
"8260.0","5.9438"
"8280.0","5.9112"
"8300.0","5.8900"
"8320.0","5.8911"
"8340.0","6.0716"
"8360.0","5.9822"
"8380.0","5.9461"
"8400.0","5.9172"
"8420.0","5.9305"
"8440.0","5.8264"
"8460.0","5.9583"
"8480.0","5.8791"
"8500.0","5.8892"
"8520.0","5.7623"
"8540.0","5.8779"
"8560.0","5.8480"
"8580.0","5.8728"
"8600.0","5.8359"
"8620.0","5.9331"
"8640.0","5.9587"
"8660.0","5.9265"
"8680.0","5.9663"
"8700.0","5.9566"
"8720.0","5.9733"
"8740.0","5.9988"
"8760.0","5.9256"
